PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	BANERJEE, A				BANERJEE, A			EFFECTIVENESS OF EYE PROTECTION IN THE METAL WORKING INDUSTRY	BRITISH MEDICAL JOURNAL			English	Article											BANERJEE, A (corresponding author), MANOR HOSP,DEPT ACCID & EMERGENCY,WALSALL WS2 9PS,ENGLAND.							DAVEY JB, 1987, ANN OCCUP HYG, V31, P67, DOI 10.1093/annhyg/31.1.67; 1967, BS2092 BRIT STAND I; 1975, PROTECTION EYES AM 1, P813; 1976, PROTECTION EYES RE 3, P6075	4	13	13	0	1	BRITISH MED JOURNAL PUBL GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND WC1H 9JR	0959-8138			BRIT MED J	Br. Med. J.	SEP 29	1990	301	6753					645	646		10.1136/bmj.301.6753.645	http://dx.doi.org/10.1136/bmj.301.6753.645			2	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EA756	2224220	Bronze, Green Published			2022-12-01	WOS:A1990EA75600019
J	BRAHAMS, D				BRAHAMS, D			CONFIDENTIAL DOCUMENTS IN HIV HEMOPHILIA LITIGATION	LANCET			English	Editorial Material																		BRAHAMS D, 1990, LANCET, V336, P238, DOI 10.1016/0140-6736(90)91753-W; BRAHAMS D, 1990, LANCET, V335, P528, DOI 10.1016/0140-6736(90)90751-P; BRAHAMS D, 1984, LANCET, V2, P1224	3	0	0	0	0	LANCET LTD	LONDON	42 BEDFORD SQUARE, LONDON, ENGLAND WC1B 3SL	0140-6736			LANCET	Lancet	SEP 29	1990	336	8718					805	805		10.1016/0140-6736(90)93260-V	http://dx.doi.org/10.1016/0140-6736(90)93260-V			1	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EB077	1976159				2022-12-01	WOS:A1990EB07700021
J	COLES, C; THOMPSON, AM; ELDER, PA; COHEN, BB; MACKENZIE, IM; CRANSTON, G; CHETTY, U; MACKAY, J; MACDONALD, M; NAKAMURA, Y; HOYHEIM, B; STEEL, CM				COLES, C; THOMPSON, AM; ELDER, PA; COHEN, BB; MACKENZIE, IM; CRANSTON, G; CHETTY, U; MACKAY, J; MACDONALD, M; NAKAMURA, Y; HOYHEIM, B; STEEL, CM			EVIDENCE IMPLICATING AT LEAST 2 GENES ON CHROMOSOME-17P IN BREAST CARCINOGENESIS	LANCET			English	Article									WESTERN GEN HOSP,MRC,HUMAN GENET UNIT,EDINBURGH EH4 2XU,MIDLOTHIAN,SCOTLAND; ROYAL INFIRM,DEPT SURG,EDINBURGH EH3 9HB,MIDLOTHIAN,SCOTLAND; INST CANC RES,DEPT BIOCHEM,TOKYO,JAPAN; UNIV UTAH,MED CTR,HOWARD HUGHES MED INST,SALT LAKE CITY,UT 84112	University of Edinburgh; Royal Infirmary of Edinburgh; Japanese Foundation for Cancer Research; Howard Hughes Medical Institute; Utah System of Higher Education; University of Utah								ALI IU, 1987, SCIENCE, V238, P185, DOI 10.1126/science.3659909; ASHTONRICKARDT PG, 1989, ONCOGENE, V4, P1169; BAKER SJ, 1989, SCIENCE, V244, P217, DOI 10.1126/science.2649981; DEVILEE P, 1990, CYTOGENET CELL GENET, V53, P52, DOI 10.1159/000132893; DEVILEE P, 1989, GENOMICS, V5, P554, DOI 10.1016/0888-7543(89)90023-2; ECCLES DM, 1990, ONCOGENE, V5, P1599; HOYHEIM B, 1989, NUCLEIC ACIDS RES, V17, P88; IGGO R, 1990, LANCET, V335, P675, DOI 10.1016/0140-6736(90)90801-B; KNUDSON AG, 1985, CANCER RES, V45, P1437; LEE JH, 1989, CANCER GENET CYTOGEN, V41, P243; LYNCH HT, 1976, CANCER GENETICS; MACKAY J, 1988, LANCET, V2, P1384; Nakamura Y, 1988, GENOMICS, V2, P302, DOI 10.1016/0888-7543(88)90018-3; NIGRO JM, 1989, NATURE, V342, P705, DOI 10.1038/342705a0; PROSSER J, 1990, ONCOGENE, V5, P1573; TAKAHASHI T, 1989, SCIENCE, V246, P491, DOI 10.1126/science.2554494; THOMPSON AM, 1990, BRIT J CANCER, V61, P74, DOI 10.1038/bjc.1990.17; TOGUCHIDA J, 1989, CANCER RES, V49, P6247	18	225	225	0	0	LANCET LTD	LONDON	42 BEDFORD SQUARE, LONDON, ENGLAND WC1B 3SL	0140-6736			LANCET	Lancet	SEP 29	1990	336	8718					761	763		10.1016/0140-6736(90)93236-I	http://dx.doi.org/10.1016/0140-6736(90)93236-I			3	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EB077	1976143				2022-12-01	WOS:A1990EB07700001
J	FLETCHER, A; METAXAS, N; GRUBB, C; CHAMBERLAIN, J				FLETCHER, A; METAXAS, N; GRUBB, C; CHAMBERLAIN, J			4-1/2-YEAR FOLLOW-UP OF WOMEN WITH DYSKARYOTIC CERVICAL SMEARS	BRITISH MEDICAL JOURNAL			English	Article									UNIV COLL HOSP LONDON,SCH MED,DEPT COMMUNITY MED,WC1 LONDON,ENGLAND; UNIV COLL HOSP LONDON,DEPT CYTOL,WC1 LONDON,ENGLAND; JOINT ROYAL FREE HOSP,LONDON,ENGLAND	University College London Hospitals NHS Foundation Trust; University College London Hospitals NHS Foundation Trust								[Anonymous], 1970, CLASSIFICATION OCCUP; ARMITAGE P, 1971, STATISTICAL METHODS; BARRON BA, 1979, J NATL CANCER I, V45, P1025; BERGET A, 1974, DAN MED BULL, V21, P169; BOUNDS W, 1976, BRIT J OBSTET GYNAEC, V83, P981, DOI 10.1111/j.1471-0528.1976.tb00785.x; CAMPION MJ, 1987, BRIT MED J, V294, P1337, DOI 10.1136/bmj.294.6583.1337; CAMPION MJ, 1986, LANCET, V2, P237; COOK GA, 1984, BRIT J CANCER, V50, P367, DOI 10.1038/bjc.1984.185; FOX H, 1987, BRIT MED J, V294, P1307, DOI 10.1136/bmj.294.6583.1307; HULKA BS, 1971, AM J EPIDEMIOL, V93, P23, DOI 10.1093/oxfordjournals.aje.a121225; HULKA BS, 1968, AM J OBSTET GYNECOL, V101, P190, DOI 10.1016/0002-9378(68)90187-7; HUSAIN OAN, 1974, J CLIN PATHOL, V27, P935, DOI 10.1136/jcp.27.12.935; KOSS LG, 1963, CANCER, V16, P1160, DOI 10.1002/1097-0142(196309)16:9<1160::AID-CNCR2820160910>3.0.CO;2-4; NASIELL K, 1983, OBSTET GYNECOL, V61, P609; PARKIN DM, 1982, PUBLIC HEALTH, V96, P3, DOI 10.1016/S0033-3506(82)80023-1; Pearson E.S., 1962, BIOMETRIKA TABLES ST, VI; ROBERTSON JH, 1988, BRIT MED J, V297, P18, DOI 10.1136/bmj.297.6640.18; SINGER A, 1986, BRIT MED J, V293, P1551, DOI 10.1136/bmj.293.6561.1551; SPRIGGS AI, 1980, J CLIN PATHOL, V33, P517, DOI 10.1136/jcp.33.6.517; WATERHOUSE JAH, 1974, CANCER HDB EPIDEMIOL; 1987, INTERCOLLEGIATE WORK	21	51	51	0	0	BRITISH MED JOURNAL PUBL GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND WC1H 9JR	0959-8138			BRIT MED J	Br. Med. J.	SEP 29	1990	301	6753					641	644		10.1136/bmj.301.6753.641	http://dx.doi.org/10.1136/bmj.301.6753.641			4	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EA756	2224218	Bronze, Green Published			2022-12-01	WOS:A1990EA75600017
J	PORTER, RW; MILLER, CG; GRAINGER, D; PALMER, SB				PORTER, RW; MILLER, CG; GRAINGER, D; PALMER, SB			PREDICTION OF HIP FRACTURE IN ELDERLY WOMEN - A PROSPECTIVE-STUDY	BMJ-BRITISH MEDICAL JOURNAL			English	Article									DONCASTER ROYAL INFIRM, DONCASTER DN2 5LT, ENGLAND; PRINCESS ROYAL HOSP, HULL HU8 9HE, QUEBEC, CANADA; UNIV WARWICK, DEPT PHYS, COVENTRY CV4 7AL, W MIDLANDS, ENGLAND	University of Warwick								AITKEN JM, 1984, BMJ-BRIT MED J, V288, P597, DOI 10.1136/bmj.288.6417.597; [Anonymous], 1987, BRIT MED J, V295, P914; BARAN DT, 1988, CALCIFIED TISSUE INT, V43, P138, DOI 10.1007/BF02571310; BOYCE WJ, 1987, BRIT MED J, V295, P444, DOI 10.1136/bmj.295.6595.444-d; BOYCE WJ, 1985, LANCET, V1, P150; BULSTRODE C, 1987, BRIT MED J, V295, P514, DOI 10.1136/bmj.295.6597.514; COOK PJ, 1982, J ROY COLL PHYS LOND, V16, P45; COOPER C, 1987, BMJ-BRIT MED J, V295, P13, DOI 10.1136/bmj.295.6589.13; HORSMAN A, 1982, CLIN ORTHOP RELAT R, P143; Langton C M, 1984, Eng Med, V13, P89, DOI 10.1243/EMED_JOUR_1984_013_022_02; MELTON LJ, 1987, CALCIFIED TISSUE INT, V41, P57; PALMER SB, 1987, SHORT M SERIES, V6; PATTIE AH, 1978, BRIT J PSYCHIAT, V133, P457, DOI 10.1192/bjp.133.5.457; PORTER RW, IN PRESS BONE; SCHAPIRA AHV, 1989, BRIT MED J, V298, P1127, DOI 10.1136/bmj.298.6681.1127; SHER JL, 1983, J BONE JOINT SURG BR, V65, P660; WASNICH RD, 1987, CLIN ORTHOP RELAT R, P262; 1989, FRACTURED NECK FEMUR; 1989, LANCET, V2, P842	19	262	268	0	5	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	1756-1833			BMJ-BRIT MED J	BMJ-British Medical Journal	SEP 29	1990	301	6753					638	641		10.1136/bmj.301.6753.638	http://dx.doi.org/10.1136/bmj.301.6753.638			4	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EA756	2224217	Green Published, Bronze			2022-12-01	WOS:A1990EA75600016
J	TWYCROSS, RG				TWYCROSS, RG			ASSISTED DEATH - A REPLY	LANCET			English	Editorial Material											TWYCROSS, RG (corresponding author), SIR MICHAEL SOBELL HOUSE, CHURCHILL HOUSE, OXFORD OX3 7LJ, ENGLAND.							ANGELL M, 1988, NEW ENGL J MED, V319, P1348, DOI 10.1056/NEJM198811173192010; DRAIN G, 1990, LANCET, V2, P610; FENIGSEN R, 1989, HASTINGS CENT REP, V19, pS22; GAYLIN W, 1988, JAMA-J AM MED ASSOC, V259, P2139; RAGLAN, 1972, CONTACT, V39, P9; Roy D J, 1990, J Palliat Care, V6, P3	6	11	11	0	0	ELSEVIER SCIENCE INC	NEW YORK	STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA	0140-6736	1474-547X		LANCET	Lancet	SEP 29	1990	336	8718					796	798		10.1016/0140-6736(90)93253-L	http://dx.doi.org/10.1016/0140-6736(90)93253-L			3	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EB077	1698235				2022-12-01	WOS:A1990EB07700016
J	WALKER, JD; TARIQ, T; VIBERTI, G				WALKER, JD; TARIQ, T; VIBERTI, G			SODIUM-LITHIUM COUNTERTRANSPORT ACTIVITY IN RED-CELLS OF PATIENTS WITH INSULIN-DEPENDENT DIABETES AND NEPHROPATHY AND THEIR PARENTS	BRITISH MEDICAL JOURNAL			English	Article									UNITED MED & DENT SCH GUYS & ST THOMAS HOSP,GUYS HOSP,METAB MED UNIT,LONDON SE1 9RT,ENGLAND	Guy's & St Thomas' NHS Foundation Trust; University of London; King's College London								ANDERSEN AR, 1983, DIABETOLOGIA, V25, P496; BOERWINKLE E, 1986, GENET EPIDEMIOL, V3, P365, DOI 10.1002/gepi.1370030509; BRENT GA, 1989, J CLIN ENDOCR METAB, V68, P1; CANESSA M, 1980, NEW ENGL J MED, V302, P772, DOI 10.1056/NEJM198004033021403; CANESSA M, 1981, CLIN EXP HYPERTENS, V3, P783, DOI 10.3109/10641968109033702; CANESSA ML, 1988, J CARDIOVASC PHARM, V12, pS92; CARR SJ, 1989, EUR J CLIN INVEST, V19, P101, DOI 10.1111/j.1365-2362.1989.tb00203.x; CHANTLER C, 1969, CLIN SCI, V37, P811; CORROCHER R, 1985, LIFE SCI, V36, P649, DOI 10.1016/0024-3205(85)90169-9; DECKERT T, 1981, DIABETOLOGIA, V21, P178; ERDMANN E, 1984, TOPICS PATHOPHYSIOLO, P162; HASSTEDT SJ, 1988, AM J HUM GENET, V43, P14; HILTON PJ, 1986, NEW ENGL J MED, V314, P222, DOI 10.1056/NEJM198601233140407; JONES SL, 1990, HYPERTENSION, V19, P570; KEEN H, 1963, LANCET, V2, P913; KROLEWSKI AS, 1988, NEW ENGL J MED, V318, P140, DOI 10.1056/NEJM198801213180303; Krowleski AS, 1985, AM J MED, V78, P785; LI LK, 1990, KIDNEY INT, V37, pA199; MAHNENSMITH RL, 1985, CIRC RES, V56, P773, DOI 10.1161/01.RES.56.6.773; MANGILI R, 1988, NEW ENGL J MED, V318, P146, DOI 10.1056/NEJM198801213180304; MORGAN DB, 1986, J HYPERTENS, V4, P609, DOI 10.1097/00004872-198610000-00014; RYAN BF, 1985, MINITAB HDB, P218; SEAQUIST ER, 1989, NEW ENGL J MED, V320, P1161, DOI 10.1056/NEJM198905043201801; SEMPLICINI A, 1989, J MEMBRANE BIOL, V107, P219, DOI 10.1007/BF01871937; SMITH JB, 1983, J CELL PHYSIOL, V114, P284, DOI 10.1002/jcp.1041140306; VIBERTI GC, 1988, DIABETES METAB REV, V4, P147, DOI 10.1002/dmr.5610040205; VIBERTI GC, 1987, BRIT MED J, V295, P515, DOI 10.1136/bmj.295.6597.515; WATKINS PJ, 1972, Q J MED, V41, P437; WEDER AB, 1986, NEW ENGL J MED, V314, P198, DOI 10.1056/NEJM198601233140402; WILLIAMS RR, 1988, CLIN PHYSIOL BIOCH, V6, P136; WOORLEY RJ, 1982, NEW ENGL J MED, V307, P412	31	104	104	0	0	BRITISH MED JOURNAL PUBL GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND WC1H 9JR	0959-8138			BRIT MED J	Br. Med. J.	SEP 29	1990	301	6753					635	638		10.1136/bmj.301.6753.635	http://dx.doi.org/10.1136/bmj.301.6753.635			4	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	EA756	2224216	Green Published, Bronze			2022-12-01	WOS:A1990EA75600015
J	BORROW, J; GODDARD, AD; SHEER, D; SOLOMON, E				BORROW, J; GODDARD, AD; SHEER, D; SOLOMON, E			MOLECULAR ANALYSIS OF ACUTE PROMYELOCYTIC LEUKEMIA BREAKPOINT CLUSTER REGION ON CHROMOSOME-17	SCIENCE			English	Article									IMPERIAL CANC RES FUND,HUMAN CYTOGENET LAB,LONDON WC2A 3PX,ENGLAND	Cancer Research UK	BORROW, J (corresponding author), IMPERIAL CANC RES FUND,SOMAT CELL GENET LAB,LONDON WC2A 3PX,ENGLAND.		Sheer, Denise/C-6705-2011	Sheer, Denise/0000-0001-9067-1796	Cancer Research UK [A3585] Funding Source: Medline	Cancer Research UK(Cancer Research UK)		BAI Y, 1982, ANN HUM GENET, V46, P337, DOI 10.1111/j.1469-1809.1982.tb01584.x; BEN-NERIAH Y, 1986, SCIENCE, V233, P212, DOI 10.1126/science.3460176; BIRD AP, 1987, TRENDS GENET, V3, P342, DOI 10.1016/0168-9525(87)90294-0; BORROW J, UNPUB; BREITMAN TR, 1981, BLOOD, V57, P1000; CROCE CM, 1987, CELL, V49, P155, DOI 10.1016/0092-8674(87)90552-6; DALLAFAVERA R, 1982, P NATL ACAD SCI-BIOL, V79, P7824, DOI 10.1073/pnas.79.24.7824; DEKLEIN A, 1982, NATURE, V300, P765, DOI 10.1038/300765a0; DONTI E, 1989, SCIENCE, V244, P824, DOI 10.1126/science.244.4906.824; FEINBERG AP, 1983, ANAL BIOCHEM, V132, P6, DOI 10.1016/0003-2697(83)90418-9; Frischauf A. M., 1989, Technique, a Journal of Methods in Cell and Molecular Biology, V1, P3; GIGUERE V, 1987, NATURE, V330, P624, DOI 10.1038/330624a0; GODDARD AD, UNPUB; GREEN S, 1988, TRENDS GENET, V4, P309, DOI 10.1016/0168-9525(88)90108-4; HEISTERKAMP N, 1982, NATURE, V299, P747, DOI 10.1038/299747a0; HERRMANN BG, 1987, CELL, V48, P813, DOI 10.1016/0092-8674(87)90078-X; HILLESTAD LK, 1957, ACTA MED SCAND, V159, P189, DOI 10.1111/j.0954-6820.1957.tb00124.x; LARSON RA, 1984, AM J MED, V76, P827, DOI 10.1016/0002-9343(84)90994-X; LEMMONS R, 1990, GENE CHROMOSOME CANC, V2, P79; MATTEI MG, 1988, HUM GENET, V80, P186, DOI 10.1007/BF00702866; MCGUIRE EA, 1989, MOL CELL BIOL, V9, P2124, DOI 10.1128/MCB.9.5.2124; MILLER CW, 1989, SCIENCE, V244, P823; MOORE G, 1989, GENOMICS, V4, P152, DOI 10.1016/0888-7543(89)90294-2; NOURSE J, 1990, CELL, V60, P535, DOI 10.1016/0092-8674(90)90657-Z; PETKOVICH M, 1987, NATURE, V330, P444, DOI 10.1038/330444a0; POUSTKA A, 1986, TRENDS GENET, V2, P174, DOI 10.1016/0168-9525(86)90219-2; SEALEY PG, 1985, NUCLEIC ACIDS RES, V13, P1905, DOI 10.1093/nar/13.6.1905; SHEER D, 1985, BRIT J CANCER, V52, P55, DOI 10.1038/bjc.1985.148; SHEER D, 1983, P NATL ACAD SCI-BIOL, V80, P5007, DOI 10.1073/pnas.80.16.5007; SMITH CL, 1987, METHOD ENZYMOL, V155, P449; TUNNACLIFFE A, 1983, EMBO J, V2, P1577, DOI 10.1002/j.1460-2075.1983.tb01627.x; van Tuinen P, 1987, Genomics, V1, P374, DOI 10.1016/0888-7543(87)90042-5; VANTUINEN P, 1987, ONCOGENE, V1, P319; WANG ZY, 1990, NOUV REV FR HEMATOL, V32, P25; WEIL SC, 1989, SCIENCE, V244, P825, DOI 10.1126/science.244.4906.825; YAGLE MK, IN PRESS P NATL ACAD	36	620	626	1	7	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1577	1580		10.1126/science.2218500	http://dx.doi.org/10.1126/science.2218500			4	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	2218500				2022-12-01	WOS:A1990EA46300041
J	BUSHMAN, FD; FUJIWARA, T; CRAIGIE, R				BUSHMAN, FD; FUJIWARA, T; CRAIGIE, R			RETROVIRAL DNA INTEGRATION DIRECTED BY HIV INTEGRATION PROTEIN INVITRO	SCIENCE			English	Article											BUSHMAN, FD (corresponding author), NIDDKD,MOLEC BIOL LAB,BETHESDA,MD 20892, USA.							ADACHI A, 1986, J VIROL, V59, P284, DOI 10.1128/JVI.59.2.284-291.1986; BOWERMAN B, 1989, GENE DEV, V3, P469, DOI 10.1101/gad.3.4.469; BROWN PO, 1989, P NATL ACAD SCI USA, V86, P2525, DOI 10.1073/pnas.86.8.2525; BROWN PO, 1987, CELL, V49, P347, DOI 10.1016/0092-8674(87)90287-X; BUSHMAN FD, IN PRESS J VIROL; BUSHMAN FD, UNPUB; CLAVEL F, 1989, J VIROL, V63, P1455, DOI 10.1128/JVI.63.3.1455-1459.1989; CRAIGIE R, 1990, CELL, V62, P829, DOI 10.1016/0092-8674(90)90126-Y; CRAIGIE R, 1985, P NATL ACAD SCI USA, V82, P7570, DOI 10.1073/pnas.82.22.7570; DONEHOWER LA, 1984, P NATL ACAD SCI-BIOL, V81, P6461, DOI 10.1073/pnas.81.20.6461; ELLISON V, 1990, J VIROL, V64, P2711, DOI 10.1128/JVI.64.6.2711-2715.1990; FARNET CM, 1990, P NATL ACAD SCI USA, V87, P4164, DOI 10.1073/pnas.87.11.4164; FUJIWARA T, 1988, CELL, V54, P497, DOI 10.1016/0092-8674(88)90071-2; FUJIWARA T, 1989, P NATL ACAD SCI USA, V86, P3065, DOI 10.1073/pnas.86.9.3065; HIPPENMEYER PJ, 1984, VIROLOGY, V137, P358, DOI 10.1016/0042-6822(84)90228-9; JOHNSON MS, 1986, P NATL ACAD SCI USA, V83, P7648, DOI 10.1073/pnas.83.20.7648; KATZMAN M, 1989, J VIROL, V63, P5319, DOI 10.1128/JVI.63.12.5319-5327.1989; LIGHTFOOTE MM, 1986, J VIROL, V60, P771, DOI 10.1128/JVI.60.2.771-775.1986; Martin Mary T., COMMUNICATION; MATSUDAIRA P, 1987, J BIOL CHEM, V262, P10035; MUESING MA, 1985, NATURE, V313, P450, DOI 10.1038/313450a0; PANGANIBAN AT, 1984, P NATL ACAD SCI-BIOL, V81, P7885, DOI 10.1073/pnas.81.24.7885; ROTH MJ, 1989, CELL, V58, P47, DOI 10.1016/0092-8674(89)90401-7; SANGER F, 1977, P NATL ACAD SCI USA, V74, P5463, DOI 10.1073/pnas.74.12.5463; SCHWARTZBERG P, 1984, CELL, V37, P1043, DOI 10.1016/0092-8674(84)90439-2; SHOEMAKER C, 1980, P NATL ACAD SCI-BIOL, V77, P3932, DOI 10.1073/pnas.77.7.3932; SMITH JS, IN PRESS J VIROL; SUMMERS MD, 1987, TEX AGR EXP STN B, V1555; VARMUS H, 1989, MOBILE DNA, P53; Vincent Katy, COMMUNICATION; WHITCOMB JM, IN PRESS J VIROL	31	289	298	0	7	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1555	1558		10.1126/science.2171144	http://dx.doi.org/10.1126/science.2171144			4	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	2171144	Green Submitted			2022-12-01	WOS:A1990EA46300034
J	GABBIANELLI, M; SARGIACOMO, M; PELOSI, E; TESTA, U; ISACCHI, G; PESCHLE, C				GABBIANELLI, M; SARGIACOMO, M; PELOSI, E; TESTA, U; ISACCHI, G; PESCHLE, C			PURE HUMAN HEMATOPOIETIC PROGENITORS - PERMISSIVE ACTION OF BASIC FIBROBLAST GROWTH-FACTOR	SCIENCE			English	Article									UNIV ROME LA SAPIENZA,CTR BLOOD TRANSFUS,I-00185 ROME,ITALY	Sapienza University Rome	GABBIANELLI, M (corresponding author), IST SUPER SANITA,DEPT HEMATOL & ONCOL,I-00161 ROME,ITALY.		pelosi, elvira/J-7298-2016; Gabbianelli, Marco/O-1210-2017; Testa, Ugo/J-6472-2016	pelosi, elvira/0000-0002-3043-6249; Gabbianelli, Marco/0000-0002-7824-780X; Testa, Ugo/0000-0001-7900-8942; Sargiacomo, Massimo/0000-0003-4040-706X				ANDREWS RG, 1986, BLOOD, V67, P842; ANDREWS RG, 1989, J EXP MED, V169, P1721, DOI 10.1084/jem.169.5.1721; BELL AJ, 1986, BONE MARROW TRANSPL, V1, P103; BURGESS WH, 1989, ANNU REV BIOCHEM, V58, P575, DOI 10.1146/annurev.bi.58.070189.003043; CARACCIOLO D, 1987, J EXP MED, V166, P1851, DOI 10.1084/jem.166.6.1851; CARTHY DM, 1984, CRC CRIT REV CLIN LA, V20, P1; CLARK SC, 1987, SCIENCE, V236, P1229, DOI 10.1126/science.3296190; DONAHUE RE, 1985, BLOOD, V66, P1479; ELIASON JF, 1986, J CELL PHYSIOL, V128, P231, DOI 10.1002/jcp.1041280214; EVANS CJ, 1978, BLOOD, V52, P1196; FEIGE JJ, 1989, P NATL ACAD SCI USA, V86, P3174, DOI 10.1073/pnas.86.9.3174; GABBIANELLI M, 1989, BLOOD, V74, P2657; GORDON MY, 1987, NATURE, V326, P403, DOI 10.1038/326403a0; HORIGUCHI J, 1987, BLOOD, V69, P1259; IU L, 1987, J IMMUNOL, V139, P1823; JACOBS K, 1985, NATURE, V313, P806, DOI 10.1038/313806a0; JUTTNER CA, 1988, TRANSPLANT P, V20, P40; KATZ FE, 1985, LEUKEMIA RES, V9, P191, DOI 10.1016/0145-2126(85)90082-7; KESSINGER A, 1988, BLOOD, V71, P723; KESSINGER A, 1989, BLOOD, V74, P1260; KIMELMAN D, 1988, SCIENCE, V242, P1053, DOI 10.1126/science.3194757; KIMELMAN D, 1987, CELL, V51, P869, DOI 10.1016/0092-8674(87)90110-3; LEARY AG, 1987, BLOOD, V70, P1343; LEARY AG, 1989, P NATL ACAD SCI USA, V86, P4535, DOI 10.1073/pnas.86.12.4535; LINCH DC, 1984, NATURE, V312, P775, DOI 10.1038/312775a0; MCLEOD GRC, 1987, INT J CANCER, P31; METCALF D, 1985, SCIENCE, V229, P16, DOI 10.1126/science.2990035; METCALF D, 1989, NATURE, V339, P27, DOI 10.1038/339027a0; METCALF D, 1984, HEMOPOIETIC COLONIES; METCALF D, 1971, HEMOPOIETIC COLONIES; MULLERSIEBURG CE, 1988, J EXP MED, V167, P1825, DOI 10.1084/jem.167.6.1825; OSTER W, 1987, BLOOD, V70, P1700; OTSUKA T, 1988, J IMMUNOL, V140, P2288; PESCHLE C, 1983, CURRENT CONCEPTS ERY, P339; PRUMMER O, 1985, EXP HEMATOL, V13, P891; RIFKIN DB, 1989, J CELL BIOL, V109, P1, DOI 10.1083/jcb.109.1.1; ROBERTS R, 1988, NATURE, V332, P376, DOI 10.1038/332376a0; SACHS L, 1987, SCIENCE, V238, P1374, DOI 10.1126/science.3317831; SCHWEIGERER L, 1987, NATURE, V325, P257, DOI 10.1038/325257a0; SIEFF CA, 1988, BLOOD, V72, P1316; SLACK JMW, 1989, DEVELOPMENT, V105, P147; SLACK JMW, 1987, NATURE, V326, P197, DOI 10.1038/326197a0; SONADA Y, 1988, P NATL ACAD SCI USA, V85, P4360; SPANGRUDE GJ, 1988, J EXP MED, V167, P1671, DOI 10.1084/jem.167.5.1671; SPANGRUDE GJ, 1988, SCIENCE, V241, P58, DOI 10.1126/science.2898810; STRAUSS LC, 1986, EXP HEMATOL, V14, P878; THIELE DL, 1985, J IMMUNOL, V134, P786; TO LB, 1987, BONE MARROW TRANSPL, V2, P111; TO LB, 1987, BRIT J HAEMATOL, V66, P285, DOI 10.1111/j.1365-2141.1987.tb06911.x; VALTIERI M, 1989, BLOOD, V74, P460; VELLENGA E, 1988, BLOOD, V71, P1529; VLODAVSKY I, 1987, P NATL ACAD SCI USA, V84, P2292, DOI 10.1073/pnas.84.8.2292; WONG GG, 1985, SCIENCE, V228, P810, DOI 10.1126/science.3923623; YANG YC, 1986, CELL, V47, P3, DOI 10.1016/0092-8674(86)90360-0	54	247	253	0	5	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1561	1564		10.1126/science.2218497	http://dx.doi.org/10.1126/science.2218497			4	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	2218497				2022-12-01	WOS:A1990EA46300036
