pmid,date,mesh,journal,affil,athrs,pt,gr
26536943,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D022126"" MajorTopicYN=""Y"">Access to Information</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003219"" MajorTopicYN=""N"">Confidentiality</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003709"" MajorTopicYN=""N"">Democracy</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D033181"" MajorTopicYN=""N"">Information Dissemination</DescriptorName>    <QualifierName UI=""Q000379"" MajorTopicYN=""Y"">methods</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D016247"" MajorTopicYN=""N"">Information Storage and Retrieval</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D020407"" MajorTopicYN=""N"">Internet</DescriptorName>    <QualifierName UI=""Q000706"" MajorTopicYN=""Y"">statistics &amp; numerical data</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D000068997"" MajorTopicYN=""N"">Smartphone</DescriptorName>    <QualifierName UI=""Q000706"" MajorTopicYN=""Y"">statistics &amp; numerical data</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D060756"" MajorTopicYN=""Y"">Social Networking</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014478"" MajorTopicYN=""N"">Unemployment</DescriptorName>    <QualifierName UI=""Q000706"" MajorTopicYN=""N"">statistics &amp; numerical data</QualifierName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Swiss Federal Institute of Technology in Zurich, Switzerland.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Helbing</LastName>    <ForeName>Dirk</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>Swiss Federal Institute of Technology in Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Pournaras</LastName>    <ForeName>Evangelos</ForeName>    <Initials>E</Initials>    <AffiliationInfo>      <Affiliation>Swiss Federal Institute of Technology in Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
26536952,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>08</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D057231"" MajorTopicYN=""N"">Climate Change</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""Y"">economics</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003247"" MajorTopicYN=""Y"">Conservation of Natural Resources</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D057217"" MajorTopicYN=""Y"">Economic Development</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D058735"" MajorTopicYN=""Y"">Environmental Policy</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D018803"" MajorTopicYN=""Y"">Models, Economic</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D011050"" MajorTopicYN=""Y"">Policy Making</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Potsdam Institute for Climate Impact Research, 14412 Potsdam, Germany.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Bodirsky</LastName>    <ForeName>Benjamin L</ForeName>    <Initials>BL</Initials>    <AffiliationInfo>      <Affiliation>Potsdam Institute for Climate Impact Research, 14412 Potsdam, Germany.</Affiliation>    </AffiliationInfo>    <AffiliationInfo>      <Affiliation>Commonwealth Scientific and Industrial Research Organisation, St Lucia, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Popp</LastName>    <ForeName>Alexander</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>Potsdam Institute for Climate Impact Research, 14412 Potsdam, Germany.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D016420"">Comment</PublicationType></PublicationTypeList>",NA
26536953,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>08</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Max Planck Institute for Polymer Research, Mainz 55128, Germany.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Vollmer</LastName>    <ForeName>Doris</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>Max Planck Institute for Polymer Research, Mainz 55128, Germany.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Butt</LastName>    <ForeName>Hans-Jürgen</ForeName>    <Initials>HJ</Initials>    <AffiliationInfo>      <Affiliation>Max Planck Institute for Polymer Research, Mainz 55128, Germany.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016420"">Comment</PublicationType>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
26536954,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>23</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D052436"" MajorTopicYN=""N"">Adipose Tissue, White</DescriptorName>    <QualifierName UI=""Q000378"" MajorTopicYN=""Y"">metabolism</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D000818"" MajorTopicYN=""N"">Animals</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D006801"" MajorTopicYN=""N"">Humans</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D020738"" MajorTopicYN=""N"">Leptin</DescriptorName>    <QualifierName UI=""Q000378"" MajorTopicYN=""Y"">metabolism</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D008066"" MajorTopicYN=""Y"">Lipolysis</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Max Planck Institute for Metabolism Research, Cologne 50931, Germany.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Ruud</LastName>    <ForeName>Johan</ForeName>    <Initials>J</Initials>    <AffiliationInfo>      <Affiliation>Max Planck Institute for Metabolism Research, Cologne 50931, Germany.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Brüning</LastName>    <ForeName>Jens C</ForeName>    <Initials>JC</Initials>    <AffiliationInfo>      <Affiliation>Max Planck Institute for Metabolism Research, Cologne 50931, Germany.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D016420"">Comment</PublicationType></PublicationTypeList>",NA
26536955,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>08</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Hewlett Packard Laboratories, Palo Alto, California 94304, USA.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Kielpinski</LastName>    <ForeName>Dave</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>Hewlett Packard Laboratories, Palo Alto, California 94304, USA.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016420"">Comment</PublicationType>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
26536956,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D001315"" MajorTopicYN=""N"" Type=""Geographic"">Australia</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D044822"" MajorTopicYN=""N"">Biodiversity</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D057231"" MajorTopicYN=""N"">Climate Change</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""Y"">economics</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003246"" MajorTopicYN=""N"">Conservation of Energy Resources</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003247"" MajorTopicYN=""Y"">Conservation of Natural Resources</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""N"">economics</QualifierName>    <QualifierName UI=""Q000331"" MajorTopicYN=""N"">legislation &amp; jurisprudence</QualifierName>    <QualifierName UI=""Q000639"" MajorTopicYN=""N"">trends</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D057217"" MajorTopicYN=""Y"">Economic Development</DescriptorName>    <QualifierName UI=""Q000331"" MajorTopicYN=""N"">legislation &amp; jurisprudence</QualifierName>    <QualifierName UI=""Q000639"" MajorTopicYN=""N"">trends</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D058735"" MajorTopicYN=""Y"">Environmental Policy</DescriptorName>    <QualifierName UI=""Q000191"" MajorTopicYN=""N"">economics</QualifierName>    <QualifierName UI=""Q000331"" MajorTopicYN=""N"">legislation &amp; jurisprudence</QualifierName>    <QualifierName UI=""Q000639"" MajorTopicYN=""N"">trends</QualifierName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D005523"" MajorTopicYN=""N"">Food Supply</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D018803"" MajorTopicYN=""Y"">Models, Economic</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D011050"" MajorTopicYN=""Y"">Policy Making</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D011057"" MajorTopicYN=""N"">Politics</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D014881"" MajorTopicYN=""N"">Water Supply</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Hatfield-Dodds</LastName>    <ForeName>Steve</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Schandl</LastName>    <ForeName>Heinz</ForeName>    <Initials>H</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Adams</LastName>    <ForeName>Philip D</ForeName>    <Initials>PD</Initials>    <AffiliationInfo>      <Affiliation>Victoria University, Flinders Street, Melbourne, VIC 3000, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Baynes</LastName>    <ForeName>Timothy M</ForeName>    <Initials>TM</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Julius Avenue, North Ryde, NSW 2113, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Brinsmead</LastName>    <ForeName>Thomas S</ForeName>    <Initials>TS</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Energy Centre, Mayfield West, NSW 2304, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Bryan</LastName>    <ForeName>Brett A</ForeName>    <Initials>BA</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Waite Campus, Urrbrae, SA 5064, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Chiew</LastName>    <ForeName>Francis H S</ForeName>    <Initials>FH</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Graham</LastName>    <ForeName>Paul W</ForeName>    <Initials>PW</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Energy Centre, Mayfield West, NSW 2304, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Grundy</LastName>    <ForeName>Mike</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Queensland Biosciences Precinct, St Lucia, QLD 4067, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Harwood</LastName>    <ForeName>Tom</ForeName>    <Initials>T</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>McCallum</LastName>    <ForeName>Rebecca</ForeName>    <Initials>R</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>McCrea</LastName>    <ForeName>Rod</ForeName>    <Initials>R</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Ecosciences Precinct, Dutton Park, QLD 4102, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>McKellar</LastName>    <ForeName>Lisa E</ForeName>    <Initials>LE</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Ecosciences Precinct, Dutton Park, QLD 4102, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Newth</LastName>    <ForeName>David</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Yarralumla Laboratories, Yarralumla, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Nolan</LastName>    <ForeName>Martin</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Waite Campus, Urrbrae, SA 5064, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Prosser</LastName>    <ForeName>Ian</ForeName>    <Initials>I</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Black Mountain Laboratories, Acton, ACT 2601, Australia.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Wonhas</LastName>    <ForeName>Alex</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>CSIRO, Julius Avenue, North Ryde, NSW 2113, Australia.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D013485"">Research Support, Non-U.S. Gov't</PublicationType></PublicationTypeList>",NA
26536957,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Astronomy Department, Yale University, New Haven, Connecticut 06511, USA.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Plunkett</LastName>    <ForeName>Adele L</ForeName>    <Initials>AL</Initials>    <AffiliationInfo>      <Affiliation>Astronomy Department, Yale University, New Haven, Connecticut 06511, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Arce</LastName>    <ForeName>Héctor G</ForeName>    <Initials>HG</Initials>    <AffiliationInfo>      <Affiliation>Astronomy Department, Yale University, New Haven, Connecticut 06511, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Mardones</LastName>    <ForeName>Diego</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>Departamento de Astronomía, Universidad de Chile, Casilla 36-D, Santiago, Chile.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>van Dokkum</LastName>    <ForeName>Pieter</ForeName>    <Initials>P</Initials>    <AffiliationInfo>      <Affiliation>Astronomy Department, Yale University, New Haven, Connecticut 06511, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Dunham</LastName>    <ForeName>Michael M</ForeName>    <Initials>MM</Initials>    <AffiliationInfo>      <Affiliation>Harvard-Smithsonian Center for Astrophysics, 60 Garden Street, MS 78, Cambridge, Massachusetts 02138, USA.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Fernández-López</LastName>    <ForeName>Manuel</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>Instituto Argentino de Radioastronomía, CCT-La Plata (CONICET), C.C.5, 1894, Villa Elisa, Argentina.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Gallardo</LastName>    <ForeName>José</ForeName>    <Initials>J</Initials>    <AffiliationInfo>      <Affiliation>Joint ALMA Observatory, Av. Alonso de Córdova 3107, Vitacura, Santiago, Chile.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Corder</LastName>    <ForeName>Stuartt A</ForeName>    <Initials>SA</Initials>    <AffiliationInfo>      <Affiliation>Joint ALMA Observatory, Av. Alonso de Córdova 3107, Vitacura, Santiago, Chile.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D013485"">Research Support, Non-U.S. Gov't</PublicationType>  <PublicationType UI=""D013486"">Research Support, U.S. Gov't, Non-P.H.S.</PublicationType></PublicationTypeList>",NA
26536958,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka 560-8531, Japan.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Toyoda</LastName>    <ForeName>Kenji</ForeName>    <Initials>K</Initials>    <AffiliationInfo>      <Affiliation>Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka 560-8531, Japan.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Hiji</LastName>    <ForeName>Ryoto</ForeName>    <Initials>R</Initials>    <AffiliationInfo>      <Affiliation>Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka 560-8531, Japan.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Noguchi</LastName>    <ForeName>Atsushi</ForeName>    <Initials>A</Initials>    <AffiliationInfo>      <Affiliation>Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka 560-8531, Japan.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Urabe</LastName>    <ForeName>Shinji</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>Graduate School of Engineering Science, Osaka University, 1-3 Machikaneyama, Toyonaka, Osaka 560-8531, Japan.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D013485"">Research Support, Non-U.S. Gov't</PublicationType></PublicationTypeList>",NA
26536959,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,NA,"<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>","<AffiliationInfo>  <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation></AffiliationInfo>","<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Schutzius</LastName>    <ForeName>Thomas M</ForeName>    <Initials>TM</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Jung</LastName>    <ForeName>Stefan</ForeName>    <Initials>S</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Maitra</LastName>    <ForeName>Tanmoy</ForeName>    <Initials>T</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Graeber</LastName>    <ForeName>Gustav</ForeName>    <Initials>G</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Köhme</LastName>    <ForeName>Moritz</ForeName>    <Initials>M</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author>  <Author ValidYN=""Y"">    <LastName>Poulikakos</LastName>    <ForeName>Dimos</ForeName>    <Initials>D</Initials>    <AffiliationInfo>      <Affiliation>Laboratory of Thermodynamics in Emerging Technologies, Department of Mechanical and Process Engineering, ETH Zurich, 8092 Zurich, Switzerland.</Affiliation>    </AffiliationInfo>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType>  <PublicationType UI=""D013485"">Research Support, Non-U.S. Gov't</PublicationType></PublicationTypeList>",NA
26536960,<DateCompleted>  <Year>2015</Year>  <Month>12</Month>  <Day>07</Day></DateCompleted>,"<MeshHeadingList>  <MeshHeading>    <DescriptorName UI=""D001634"" MajorTopicYN=""Y"">Bibliographies as Topic</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D003628"" MajorTopicYN=""Y"">Database Management Systems</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D033181"" MajorTopicYN=""N"">Information Dissemination</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D020407"" MajorTopicYN=""N"">Internet</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D063731"" MajorTopicYN=""N"">Mobile Applications</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D012108"" MajorTopicYN=""N"">Research Personnel</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D058028"" MajorTopicYN=""Y"">Research Report</DescriptorName>  </MeshHeading>  <MeshHeading>    <DescriptorName UI=""D012984"" MajorTopicYN=""Y"">Software</DescriptorName>  </MeshHeading></MeshHeadingList>","<Journal>  <ISSN IssnType=""Electronic"">1476-4687</ISSN>  <JournalIssue CitedMedium=""Internet"">    <Volume>527</Volume>    <Issue>7576</Issue>    <PubDate>      <Year>2015</Year>      <Month>Nov</Month>      <Day>05</Day>    </PubDate>  </JournalIssue>  <Title>Nature</Title>  <ISOAbbreviation>Nature</ISOAbbreviation></Journal>",NA,"<AuthorList CompleteYN=""Y"">  <Author ValidYN=""Y"">    <LastName>Perkel</LastName>    <ForeName>Jeffrey M</ForeName>    <Initials>JM</Initials>  </Author></AuthorList>","<PublicationTypeList>  <PublicationType UI=""D016428"">Journal Article</PublicationType></PublicationTypeList>",NA
