id,which_concept,concept_id,term,level,score
W1983706762,1,C2778776759,Sprue,3,0.8152039
W1983706762,2,C2777624356,Tropical sprue,4,0.53272593
W1983706762,3,C71924100,Medicine,0,0.42863017
W1983706762,4,C86803240,Biology,0,0.1970979
W1983706762,5,C54355233,Genetics,1,0.082330465
W1983706762,6,C2780566776,Mold,2,0
W2039160699,1,C2778640784,Ankle,2,0.68901306
W2039160699,2,C2777202286,Vein,2,0.56821156
W2039160699,3,C2910595225,Long Saphenous Vein,3,0.52722096
W2039160699,4,C71924100,Medicine,0,0.48060223
W2039160699,5,C126322002,Internal medicine,1,0.30830413
W2039160699,6,C141071460,Surgery,1,0.29451984
W1985688958,1,C174802600,Penicillin,3,0.781402
W1985688958,2,C2777914695,Pneumonia,2,0.6371838
W1985688958,3,C71924100,Medicine,0,0.6154691
W1985688958,4,C89423630,Microbiology,1,0.42599744
W1985688958,5,C501593827,Antibiotics,2,0.35521096
W1985688958,6,C126322002,Internal medicine,1,0.2355819
W1985688958,7,C86803240,Biology,0,0.1059666
W2017797852,1,C61511704,Incidence (geometry),2,0.7756913
W2017797852,2,C71924100,Medicine,0,0.50561357
W2017797852,3,C187212893,Pediatrics,1,0.3829373
W2017797852,4,C33923547,Mathematics,0,0.054519832
W2017797852,5,C2524010,Geometry,1,0
W4211230359,1,C36454342,Radiography,2,0.6478467
W4211230359,2,C71924100,Medicine,0,0.4586977
W4211230359,3,C2989005,Nuclear medicine,1,0.34023
W4211230359,4,C126838900,Radiology,1,0.22813419
W2004302808,1,C71924100,Medicine,0,0.6782676
W2004302808,2,C2781132756,Inguinal hernia,3,0.66812
W2004302808,3,C2780378348,Ring (chemistry),2,0.4685591
W2004302808,4,C2779096551,Hernia,2,0.4116
W2004302808,5,C105702510,Anatomy,1,0.32528022
W2004302808,6,C141071460,Surgery,1,0.25657725
W2004302808,7,C185592680,Chemistry,0,0.07640731
W2004302808,8,C178790620,Organic chemistry,1,0
W2005814011,1,C174802600,Penicillin,3,0.79275453
W2005814011,2,C71924100,Medicine,0,0.7024832
W2005814011,3,C2776291583,Intramuscular injection,2,0.69448155
W2005814011,4,C181268634,Aseptic processing,2,0.54233617
W2005814011,5,C503630168,Necrosis,2,0.45722547
W2005814011,6,C42219234,Anesthesia,1,0.36448348
W2005814011,7,C501593827,Antibiotics,2,0.3298092
W2005814011,8,C141071460,Surgery,1,0.26806146
W2005814011,9,C89423630,Microbiology,1,0.17221057
W2005814011,10,C126322002,Internal medicine,1,0.16337833
W2005814011,11,C86803240,Biology,0,0.07458997
W4300663584,1,C71924100,Medicine,0,0.50534993
W4300663584,2,C159047783,Virology,1,0.4986298
W2134842207,1,C190385971,Injury prevention,3,0.47205526
W2134842207,2,C71924100,Medicine,0,0.47199655
W2134842207,3,C2780289543,Accident (philosophy),2,0.45167345
W2134842207,4,C545542383,Medical emergency,1,0.42666426
W2134842207,5,C2779473830,MEDLINE,2,0.4228579
W2134842207,6,C526869908,Suicide prevention,3,0.41881508
W2134842207,7,C3017944768,Poison control,2,0.41686898
W2134842207,8,C86803240,Biology,0,0.09152624
W2134842207,9,C138885662,Philosophy,0,0
W2134842207,10,C111472728,Epistemology,1,0
W2134842207,11,C55493867,Biochemistry,1,0
W2207969917,1,C71924100,Medicine,0,0.88603485
W2207969917,2,C2780606744,Starvation,2,0.76983625
W2207969917,3,C177713679,Intensive care medicine,1,0.49992204
W2207969917,4,C145912823,Dynamics (music),2,0.48228815
W2207969917,5,C540031477,Oxygen,2,0.41354078
W2207969917,6,C126322002,Internal medicine,1,0.26385105
W2207969917,7,C185592680,Chemistry,0,0
W2207969917,8,C121332964,Physics,0,0
W2207969917,9,C178790620,Organic chemistry,1,0
W2207969917,10,C24890656,Acoustics,1,0
W2395243349,1,C71924100,Medicine,0,0.9364253
W2395243349,2,C2781175652,Nephrosis,2,0.9055203
W2395243349,3,C2777633098,Amyloid (mycology),2,0.57894063
W2395243349,4,C142724271,Pathology,1,0.4228856
W2395243349,5,C177713679,Intensive care medicine,1,0.3505649
W2401884750,1,C71924100,Medicine,0,0.8838082
W2401884750,2,C2776958162,Diabetes insipidus,2,0.8035375
W2401884750,3,C137627325,Etiology,2,0.6983692
W2401884750,4,C2780942790,Pathogenesis,2,0.6784004
W2401884750,5,C555293320,Diabetes mellitus,2,0.51378113
W2401884750,6,C187212893,Pediatrics,1,0.33766216
W2401884750,7,C134018914,Endocrinology,1,0.3017423
W2401884750,8,C126322002,Internal medicine,1,0.2775936
W2407437466,1,C71924100,Medicine,0,0.9464909
W2407437466,2,C2777552389,Course (navigation),2,0.6884819
W2407437466,3,C3018886096,Acute hepatitis,3,0.5531006
W2407437466,4,C2776029263,Hepatitis,2,0.5348035
W2407437466,5,C2779234561,Pregnancy,2,0.49976516
W2407437466,6,C131872663,Obstetrics,1,0.44153473
W2407437466,7,C159047783,Virology,1,0.3208481
W2407437466,8,C121332964,Physics,0,0
W2407437466,9,C1276947,Astronomy,1,0
W2407437466,10,C86803240,Biology,0,0
W2407437466,11,C54355233,Genetics,1,0
W2409823169,1,C71924100,Medicine,0,0.8584763
W2409823169,2,C2778425758,Angina,3,0.53617793
W2409823169,3,C177713679,Intensive care medicine,1,0.37488502
W2409823169,4,C118552586,Psychiatry,1,0.16877612
W2409823169,5,C500558357,Myocardial infarction,2,0
W2410577625,1,C71924100,Medicine,0,0.9667902
W2410577625,2,C2776256026,Lung cancer,2,0.6279808
W2410577625,3,C2778978224,Pleurisy,3,0.52533484
W2410577625,4,C142724271,Pathology,1,0.42326224
W2410577625,5,C2777714996,Lung,2,0.41072053
