id,which_mesh,term,is_major_topic,qualifier_name
W2048988008,1,Calcium,TRUE,pharmacology
W2048988008,2,Liposomes,TRUE,pharmacology
W2048988008,3,Mast Cells,TRUE,metabolism
W2048988008,4,Animals,FALSE,
W2048988008,5,Ascitic Fluid,FALSE,
W2048988008,6,Ascitic Fluid,FALSE,cytology
W2048988008,7,Calcium,FALSE,
W2048988008,8,Exocytosis,FALSE,
W2048988008,9,In Vitro Techniques,FALSE,
W2048988008,10,Liposomes,FALSE,
W2048988008,11,Mast Cells,FALSE,
W2048988008,12,Mast Cells,FALSE,drug effects
W2048988008,13,Mast Cells,FALSE,cytology
W2048988008,14,Rats,FALSE,
W2048988008,15,Ruthenium Red,FALSE,
W184901588,1,"Administration, Intranasal",TRUE,
W184901588,2,Aerosols,TRUE,administration & dosage
W184901588,3,Nasal Cavity,TRUE,metabolism
W184901588,4,Aerosols,FALSE,
W184901588,5,Humans,FALSE,
W184901588,6,Nasal Cavity,FALSE,
W184901588,7,Tissue Distribution,FALSE,
W2072619893,1,Carboxymethylcellulose Sodium,TRUE,toxicity
W2072619893,2,Methylcellulose,TRUE,toxicity
W2072619893,3,Methylcellulose,TRUE,analogs & derivatives
W2072619893,4,"Mitochondria, Heart",TRUE,metabolism
W2072619893,5,"Mitochondria, Liver",TRUE,metabolism
W2072619893,6,Oxidative Phosphorylation,TRUE,drug effects
W2072619893,7,Oxidoreductases,TRUE,metabolism
W2072619893,8,Pharmaceutic Aids,TRUE,toxicity
W2072619893,9,Polysaccharides,TRUE,toxicity
W2072619893,10,Tragacanth,TRUE,toxicity
W2072619893,11,Acacia,FALSE,
W2072619893,12,Animals,FALSE,
W2072619893,13,Biphenyl Compounds,FALSE,
W2072619893,14,Carboxymethylcellulose Sodium,FALSE,
W2072619893,15,Endoplasmic Reticulum,FALSE,
W2072619893,16,Endoplasmic Reticulum,FALSE,enzymology
W2072619893,17,Female,FALSE,
W2072619893,18,Methylcellulose,FALSE,
W2072619893,19,"Mitochondria, Heart",FALSE,drug effects
W2072619893,20,"Mitochondria, Heart",FALSE,
W2072619893,21,"Mitochondria, Liver",FALSE,drug effects
W2072619893,22,"Mitochondria, Liver",FALSE,
W2072619893,23,Oxidative Phosphorylation,FALSE,
W2072619893,24,Oxidoreductases,FALSE,
W2072619893,25,Pharmaceutic Aids,FALSE,
W2072619893,26,Polysaccharides,FALSE,
W2072619893,27,Rats,FALSE,
W2072619893,28,Suspensions,FALSE,
W2072619893,29,Tragacanth,FALSE,
W1648908477,1,Adolescent,TRUE,
