id,which_concept,concept_id,term,level,score
W2090873931,1,C185592680,Chemistry,0,0.96386915
W2090873931,2,C2780416096,Raphanus,2,0.8927484
W2090873931,3,C71240020,Stereochemistry,1,0.3554318
W2090873931,4,C59822182,Botany,1,0.22700527
W2090873931,5,C86803240,Biology,0,0
W2109030068,1,C2779718451,Phycomyces blakesleeanus,4,0.9503
W2109030068,2,C2776832059,Phycomyces,2,0.9309085
W2109030068,3,C185592680,Chemistry,0,0.87296027
W2109030068,4,C55493867,Biochemistry,1,0.12154454
W2109030068,5,C143065580,Mutant,3,0
W2109030068,6,C104317684,Gene,2,0
W1977786112,1,C185592680,Chemistry,0,0.97341204
W1977786112,2,C155647269,Medicinal chemistry,1,0.38358313
W1561436398,1,C185592680,Chemistry,0,0.58419377
W1561436398,2,C2776125364,Albumin,2,0.5581732
W1561436398,3,C165616093,Serum albumin,2,0.5452254
W1561436398,4,C43617362,Chromatography,1,0.38469225
W1561436398,5,C55493867,Biochemistry,1,0.37608236
W2070239544,1,C2779516018,Puffinus,4,0.89661765
W2070239544,2,C2778511750,Epizootic,3,0.7095723
W2070239544,3,C2777004236,Shearwater,4,0.6625756
W2070239544,4,C90856448,Zoology,1,0.4992771
W2070239544,5,C86803240,Biology,0,0.45005935
W2070239544,6,C505870484,Fishery,1,0.44818285
W2070239544,7,C140530291,Dorsum,2,0.41888678
W2070239544,8,C105702510,Anatomy,1,0.33134264
W2070239544,9,C2522874641,Virus,2,0.22048649
W2070239544,10,C18903297,Ecology,1,0.19224656
W2070239544,11,C159047783,Virology,1,0.10371578
W2070239544,12,C188382862,Predation,2,0.06875354
W2070239544,13,C2777981335,Seabird,3,0
W2078765747,1,C174802600,Penicillin,3,0.8853718
W2078765747,2,C2778740566,Glutamic acid,3,0.6898366
W2078765747,3,C18762648,Work (physics),2,0.4451022
W2078765747,4,C185592680,Chemistry,0,0.43691975
W2078765747,5,C89423630,Microbiology,1,0.37344974
W2078765747,6,C501593827,Antibiotics,2,0.33586866
W2078765747,7,C86803240,Biology,0,0.283366
W2078765747,8,C55493867,Biochemistry,1,0.23639506
W2078765747,9,C121332964,Physics,0,0.11065346
W2078765747,10,C515207424,Amino acid,2,0.0973303
W2078765747,11,C97355855,Thermodynamics,1,0.045193195
W3089352597,1,C185592680,Chemistry,0,0.9701762
W3089352597,2,C2777207669,Hydrocarbon,2,0.7151278
W3089352597,3,C2776940978,Vitamin,2,0.41592157
W3089352597,4,C107872376,Environmental chemistry,1,0.34338754
W3089352597,5,C178790620,Organic chemistry,1,0.31994337
W3089352597,6,C55493867,Biochemistry,1,0.1439546
W2074193192,1,C2780009758,Measure (data warehouse),2,0.68669266
W2074193192,2,C199343813,Dentistry,1,0.5599892
W2074193192,3,C2775924081,Control (management),2,0.46089616
W2074193192,4,C71924100,Medicine,0,0.3196741
W2074193192,5,C41008148,Computer science,0,0.25152272
W2074193192,6,C124101348,Data mining,1,0.08580944
W2074193192,7,C154945302,Artificial intelligence,1,0.07712644
W2073046234,1,C185592680,Chemistry,0,0.968421
W2073046234,2,C2780859938,Pyridoxal,3,0.8178263
W2073046234,3,C55493867,Biochemistry,1,0.40534577
W2073046234,4,C153911025,Molecular biology,1,0.35821515
W2073046234,5,C71240020,Stereochemistry,1,0.35414183
W2073046234,6,C181199279,Enzyme,2,0.2610711
W2073046234,7,C86803240,Biology,0,0
W1990519723,1,C199096232,Sarcolemma,3,0.9468945
W1990519723,2,C93877712,Electron microscope,2,0.77585846
W1990519723,3,C151193507,Phase contrast microscopy,2,0.61958164
W1990519723,4,C95190701,Reticular connective tissue,2,0.5952219
W1990519723,5,C12554922,Biophysics,1,0.48590413
W1990519723,6,C27523624,Fibril,2,0.48052678
W1990519723,7,C185592680,Chemistry,0,0.4720303
W1990519723,8,C105702510,Anatomy,1,0.41886452
W1990519723,9,C41625074,Membrane,2,0.34893042
W1990519723,10,C192562407,Materials science,0,0.33049482
W1990519723,11,C8010536,Crystallography,1,0.33046973
W1990519723,12,C86803240,Biology,0,0.19913656
W1990519723,13,C121332964,Physics,0,0.13827956
W1990519723,14,C120665830,Optics,1,0.13002703
W1990519723,15,C55493867,Biochemistry,1,0.06214997
W2125107657,1,C550196577,Radium,2,0.95460916
W2125107657,2,C131253125,Antrum,3,0.7643683
W2125107657,3,C71924100,Medicine,0,0.6697683
W2125107657,4,C509974204,Radiation therapy,2,0.5566561
W2125107657,5,C2989005,Nuclear medicine,1,0.4468195
W2125107657,6,C2777546739,Carcinoma,2,0.4238432
W2125107657,7,C141071460,Surgery,1,0.29366416
W2125107657,8,C126322002,Internal medicine,1,0.11822939
W2125107657,9,C2779422922,Stomach,2,0.09345761
W2125107657,10,C177322064,Radiochemistry,1,0.08355567
W2125107657,11,C185592680,Chemistry,0,0.054377228
W2029403312,1,C185592680,Chemistry,0,0.94913673
W2258405114,1,C71924100,Medicine,0,0.44482926
W2258405114,2,C99454951,Environmental health,1,0.4275258
W2258405114,3,C74909509,Gerontology,1,0.35523933
W2337976717,1,C2778803964,Histoplasma capsulatum,3,0.8502871
W2337976717,2,C2777802930,Histoplasma,4,0.7181313
W2337976717,3,C2780847362,Hydrogen ion,3,0.50868493
W2337976717,4,C2780318139,Histoplasmosis,2,0.5072512
W2337976717,5,C512968161,Hydrogen,2,0.46991932
W2337976717,6,C44280652,Phase (matter),2,0.46046257
W2337976717,7,C185592680,Chemistry,0,0.43197307
W2337976717,8,C89423630,Microbiology,1,0.41239703
W2337976717,9,C145148216,Ion,2,0.4001449
W2337976717,10,C71924100,Medicine,0,0.3211934
W2337976717,11,C86803240,Biology,0,0.3088928
W2337976717,12,C203014093,Immunology,1,0.19146436
W2337976717,13,C178790620,Organic chemistry,1,0
W2071247853,1,C515207424,Amino acid,2,0.89385974
W2071247853,2,C2777608289,Cystine,4,0.843896
