id,which_concept,concept_id,term,level,score
W2950395494,1,C81941488,Quantitative trait locus,3,0.8239634
W2950395494,2,C86803240,Biology,0,0.6901238
W2950395494,3,C2777904410,Software,2,0.6344336
W2950395494,4,C70721500,Computational biology,1,0.48042393
W2950395494,5,C141231307,Genome,3,0.4660531
W2950395494,6,C54355233,Genetics,1,0.42966026
W2950395494,7,C2908647359,Population,2,0.42148927
W2950395494,8,C41008148,Computer science,0,0.2785739
W2950395494,9,C104317684,Gene,2,0.2517323
W2950395494,10,C199360897,Programming language,1,0.09692553
W2950395494,11,C149923435,Demography,1,0
W2950395494,12,C144024400,Sociology,0,0
W2906197736,1,C15744967,Psychology,0,0.7625272
W2906197736,2,C94487597,Sensory system,2,0.6257222
W2906197736,3,C11054436,Saccadic masking,3,0.5878049
W2906197736,4,C169760540,Neuroscience,1,0.56799066
W2906197736,5,C2779338814,Covert,2,0.5524793
W2906197736,6,C135343436,Rhythm,2,0.5484309
W2906197736,7,C26760741,Perception,2,0.49407294
W2906197736,8,C153050134,Eye movement,2,0.47595546
W2906197736,9,C180747234,Cognitive psychology,1,0.4539835
W2906197736,10,C46312422,Communication,1,0.36391044
W2906197736,11,C41895202,Linguistics,1,0
W2906197736,12,C138885662,Philosophy,0,0
W2906197736,13,C107038049,Aesthetics,1,0
W2904654527,1,C2780087125,Vagus nerve stimulation,4,0.84329325
W2904654527,2,C24998067,Stimulation,2,0.5409767
W2904654527,3,C504460877,Saliva,2,0.5395163
W2904654527,4,C126322002,Internal medicine,1,0.48918846
W2904654527,5,C134018914,Endocrinology,1,0.47311947
W2904654527,6,C2781404750,Vagus nerve,3,0.47002694
W2904654527,7,C15744967,Psychology,0,0.45885777
W2904654527,8,C71924100,Medicine,0,0.4497995
W2904654527,9,C2779918689,Stimulus (psychology),2,0.44531116
W2904654527,10,C522805319,Electroencephalography,2,0.42265612
W2904654527,11,C2778709874,Hydrocortisone,2,0.41662627
W2904654527,12,C2777394604,Pupil,2,0.41276222
W2904654527,13,C169760540,Neuroscience,1,0.37860045
W2904654527,14,C542102704,Psychotherapist,1,0
W2908359717,1,C86803240,Biology,0,0.7257895
W2908359717,2,C86554907,PI3K/AKT/mTOR pathway,3,0.6538577
W2908359717,3,C2780610907,Phosphatidylinositol,3,0.594248
W2908359717,4,C179223381,Avidity,3,0.53172874
W2908359717,5,C2777609662,PTEN,4,0.5283438
W2908359717,6,C53009064,Pi,2,0.5095375
W2908359717,7,C163235415,Second messenger system,3,0.5063726
W2908359717,8,C95444343,Cell biology,1,0.47383174
W2908359717,9,C178666793,Phosphatase,3,0.44020957
W2908359717,10,C203522944,Autophagy,3,0.4366209
W2908359717,11,C62478195,Signal transduction,2,0.42517424
W2908359717,12,C4733338,Lipid metabolism,2,0.42050546
W2908359717,13,C55493867,Biochemistry,1,0.3774266
W2908359717,14,C11960822,Phosphorylation,2,0.3494519
W2908359717,15,C54355233,Genetics,1,0.1489695
W2908359717,16,C190283241,Apoptosis,2,0.11300334
W2908359717,17,C147483822,Antigen,2,0.07000026
W2902937014,1,C2777324860,DNM1L,4,0.8966569
W2902937014,2,C2777229759,Mitochondrial biogenesis,3,0.6417178
W2902937014,3,C2779959927,Skeletal muscle,2,0.63235354
W2902937014,4,C99830354,Endurance training,2,0.62317914
W2902937014,5,C17619807,Mitochondrial fission,3,0.6106439
W2902937014,6,C2779324830,Mitophagy,4,0.5623626
W2902937014,7,C86803240,Biology,0,0.5169734
W2902937014,8,C126322002,Internal medicine,1,0.491505
W2902937014,9,C181588539,Physical exercise,2,0.47768193
W2902937014,10,C28859421,Mitochondrion,2,0.42156088
W2902937014,11,C134018914,Endocrinology,1,0.4187582
W2902937014,12,C71924100,Medicine,0,0.2980191
W2902937014,13,C95444343,Cell biology,1,0.261293
W2902937014,14,C54355233,Genetics,1,0.13986826
W2902937014,15,C190283241,Apoptosis,2,0.08765477
W2902937014,16,C203522944,Autophagy,3,0.0710004
W2905845365,1,C2776551883,Enzalutamide,5,0.9703759
W2905845365,2,C71924100,Medicine,0,0.9094118
W2905845365,3,C2780192828,Prostate cancer,3,0.8155513
W2905845365,4,C102959455,Repeated measures design,2,0.60327417
W2905845365,5,C2775832370,Abiraterone acetate,5,0.58115566
W2905845365,6,C2776632958,Montreal Cognitive Assessment,4,0.5604117
W2905845365,7,C2779951463,Quality of life (healthcare),2,0.52380455
W2905845365,8,C126322002,Internal medicine,1,0.50699544
W2905845365,9,C2778720950,Prednisone,2,0.49814725
W2905845365,10,C143998085,Oncology,1,0.47215557
W2905845365,11,C168563851,Randomized controlled trial,2,0.45908466
W2905845365,12,C1862650,Physical therapy,1,0.36784315
W2905845365,13,C121608353,Cancer,2,0.3472941
W2905845365,14,C2777899217,Androgen deprivation therapy,4,0.33891058
W2905845365,15,C2779134260,Disease,2,0.11747867
W2905845365,16,C61367390,Androgen receptor,4,0.11178771
W2905845365,17,C2984915365,Cognitive impairment,3,0.07371813
W2905845365,18,C159110408,Nursing,1,0
W2905845365,19,C105795698,Statistics,1,0
W2905845365,20,C33923547,Mathematics,0,0
W2905828873,1,C168563851,Randomized controlled trial,2,0.6469411
W2905828873,2,C189708586,Systematic review,3,0.5859295
W2905828873,3,C124056412,Scientific evidence,2,0.51725894
W2905828873,4,C19648533,Evidence-based medicine,3,0.46110398
W2905828873,5,C9652623,Field (mathematics),2,0.4519432
W2905828873,6,C2781083858,Scientific literature,2,0.44962463
W2905828873,7,C71924100,Medicine,0,0.4479812
W2905828873,8,C204787440,Alternative medicine,2,0.41681752
W2905828873,9,C2779473830,MEDLINE,2,0.415336
W2905828873,10,C141330323,Evidence-based practice,3,0.4131296
W2905828873,11,C19527891,Medical physics,1,0.41060188
W2905828873,12,C55587333,Engineering ethics,1,0.34965026
W2905828873,13,C15744967,Psychology,0,0.34423912
W2905828873,14,C1862650,Physical therapy,1,0.3435589
W2905828873,15,C509550671,Medical education,1,0.33916128
W2905828873,16,C127413603,Engineering,0,0.12347481
W2905828873,17,C17744445,Political science,0,0.107230306
W2905828873,18,C141071460,Surgery,1,0.07825777
W2905828873,19,C142724271,Pathology,1,0.0759435
W2905828873,20,C151730666,Paleontology,1,0
W2905828873,21,C138885662,Philosophy,0,0
W2905828873,22,C33923547,Mathematics,0,0
W2905828873,23,C111472728,Epistemology,1,0
W2905828873,24,C202444582,Pure mathematics,1,0
W2905828873,25,C199539241,Law,1,0
W2905828873,26,C86803240,Biology,0,0
W2906468689,1,C2781357212,Digestion (alchemy),2,0.8279053
W2906468689,2,C181389837,Bioavailability,2,0.63332784
W2906468689,3,C207001950,In vivo,2,0.47997022
W2906468689,4,C70721500,Computational biology,1,0.46473503
W2906468689,5,C86803240,Biology,0,0.45932242
W2906468689,6,C202751555,In vitro,2,0.4418473
W2906468689,7,C185592680,Chemistry,0,0.42349833
W2906468689,8,C55493867,Biochemistry,1,0.39189652
W2906468689,9,C150903083,Biotechnology,1,0.3051873
W2906468689,10,C60644358,Bioinformatics,1,0.21218517
W2906468689,11,C43617362,Chromatography,1,0
W2904746612,1,C192562407,Materials science,0,0.6971303
W2904746612,2,C177367955,Carbon nanofiber,3,0.66308135
W2904746612,3,C104779481,Composite number,2,0.54944986
W2904746612,4,C91129048,Nanofiber,2,0.538244
W2904746612,5,C160892712,Fourier transform infrared spectroscopy,2,0.53435695
W2904746612,6,C26771246,Scanning electron microscope,2,0.46681166
W2904746612,7,C42360764,Chemical engineering,1,0.45518702
W2904746612,8,C119128265,Detection limit,2,0.45270205
W2904746612,9,C513720949,Carbon nanotube,2,0.4378944
W2904746612,10,C60100273,Thermogravimetric analysis,2,0.42856222
W2904746612,11,C188095982,Electrochemical gas sensor,4,0.4207623
W2904746612,12,C13965031,Nuclear chemistry,1,0.3572784
W2904746612,13,C171250308,Nanotechnology,1,0.3477597
W2904746612,14,C52859227,Electrochemistry,3,0.29992598
W2904746612,15,C159985019,Composite material,1,0.21838796
W2904746612,16,C185592680,Chemistry,0,0.17727819
W2904746612,17,C43617362,Chromatography,1,0.14664382
W2904746612,18,C17525397,Electrode,2,0.065054834
W2904746612,19,C147789679,Physical chemistry,1,0
W2904746612,20,C127413603,Engineering,0,0
W2905616299,1,C2777176278,Starter,2,0.95348096
W2905616299,2,C2776965311,Camel milk,2,0.7827108
W2905616299,3,C31903555,Food science,1,0.73650074
W2905616299,4,C189775405,Titratable acid,2,0.53656024
W2905616299,5,C180032290,Inoculation,2,0.519711
W2905616299,6,C46254838,Completely randomized design,2,0.5065187
W2905616299,7,C2780563676,Aroma,2,0.47632772
W2905616299,8,C185592680,Chemistry,0,0.4614429
W2905616299,9,C63223902,Mesophile,3,0.42725506
W2905616299,10,C86803240,Biology,0,0.35111377
W2905616299,11,C140793950,Animal science,1,0.3504609
W2905616299,12,C42972112,Veterinary medicine,1,0.32912952
W2905616299,13,C523546767,Bacteria,2,0.1274676
W2905616299,14,C144027150,Horticulture,1,0.114430964
W2905616299,15,C71924100,Medicine,0,0.07053694
W2905616299,16,C54355233,Genetics,1,0
W2905784668,1,C71924100,Medicine,0,0.96411204
W2905784668,2,C2780739214,Mace,4,0.80585223
W2905784668,3,C500558357,Myocardial infarction,2,0.71682954
W2905784668,4,C126322002,Internal medicine,1,0.6575277
W2905784668,5,C50382708,Proportional hazards model,2,0.59784913
W2905784668,6,C2910553456,Angiotensin Receptor Blockers,4,0.5051361
W2905784668,7,C2908647359,Population,2,0.5027077
W2905784668,8,C207103383,Hazard ratio,3,0.49326438
W2905784668,9,C27016395,Angiotensin-converting enzyme,3,0.4470166
W2905784668,10,C500440147,Pharmacotherapy,2,0.41544464
W2905784668,11,C194828623,Emergency medicine,1,0.33270538
W2905784668,12,C2780400711,Percutaneous coronary intervention,3,0.10771641
W2905784668,13,C44249647,Confidence interval,2,0.09916538
W2905784668,14,C84393581,Blood pressure,2,0.08494398
W2905784668,15,C99454951,Environmental health,1,0.058194876
W2905790595,1,C185592680,Chemistry,0,0.8801907
W2905790595,2,C43617362,Chromatography,1,0.8437011
W2905790595,3,C2780371645,Deep eutectic solvent,4,0.6948869
W2905790595,4,C4725764,Extraction (chemistry),2,0.6296385
W2905790595,5,C2776303721,Triazine,2,0.5916714
W2905790595,6,C119128265,Detection limit,2,0.54182696
W2905790595,7,C2778659605,Simazine,4,0.5417626
W2905790595,8,C2780471494,Solvent,2,0.534328
W2905790595,9,C179998833,High-performance liquid chromatography,2,0.5183505
W2905790595,10,C10390740,Analyte,2,0.43261787
W2905790595,11,C92397422,Central composite design,3,0.4235011
W2905790595,12,C18168003,Eutectic system,3,0.24799865
W2905790595,13,C150077022,Response surface methodology,2,0.23851085
W2905790595,14,C2779595939,Atrazine,3,0.23848939
W2905790595,15,C161176658,Pesticide,2,0.14076838
W2905790595,16,C178790620,Organic chemistry,1,0.07709107
W2905790595,17,C2780026712,Alloy,2,0
W2905790595,18,C6557445,Agronomy,1,0
W2905790595,19,C86803240,Biology,0,0
W2906465404,1,C2780600973,Borderline personality disorder,2,0.86628747
W2906465404,2,C141516989,Default mode network,3,0.77504295
W2906465404,3,C15744967,Psychology,0,0.6438987
W2906465404,4,C66324658,Resting state fMRI,2,0.55715764
W2906465404,5,C3018011982,Functional connectivity,2,0.525604
W2906465404,6,C70410870,Clinical psychology,1,0.46176878
W2906465404,7,C117220453,Correlation,2,0.43441302
W2906465404,8,C27502469,Dysfunctional family,2,0.426818
W2906465404,9,C2779302386,Anger,2,0.4213479
W2906465404,10,C2778402161,Anterior cingulate cortex,3,0.41209316
W2906465404,11,C169760540,Neuroscience,1,0.33998019
W2906465404,12,C169900460,Cognition,2,0.20708829
W2906465404,13,C2524010,Geometry,1,0
W2906465404,14,C33923547,Mathematics,0,0
W2906247802,1,C2778496288,Mucositis,3,0.98698765
W2906247802,2,C71924100,Medicine,0,0.96337247
W2906247802,3,C2778023920,Low level laser therapy,4,0.76243305
W2906247802,4,C2776694085,Chemotherapy,2,0.6343186
W2906247802,5,C509974204,Radiation therapy,2,0.5664753
W2906247802,6,C168563851,Randomized controlled trial,2,0.50539255
W2906247802,7,C126322002,Internal medicine,1,0.4930384
W2906247802,8,C3019992690,Basal cell,2,0.48718327
W2906247802,9,C61511704,Incidence (geometry),2,0.4854582
W2906247802,10,C197934379,Adverse effect,2,0.47031227
W2906247802,11,C188816634,Prospective cohort study,2,0.4351536
