id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2089116058,Hyaline and Calcified Pleural Plaques as an Index of Exposure to Asbestos,1966-04-30,111,journal-article,20790941,1,A5061688870,Hourihane Do,,,,1
W2089116058,Hyaline and Calcified Pleural Plaques as an Index of Exposure to Asbestos,1966-04-30,111,journal-article,20790941,2,A5057648601,L. Lessof,,,,1
W2089116058,Hyaline and Calcified Pleural Plaques as an Index of Exposure to Asbestos,1966-04-30,111,journal-article,20790941,3,A5013264275,Richardson Pc,,,,1
W2088899646,Effect of Aggregating Agents on the Electrophoretic Mobility of Human Platelets,1966-04-30,81,journal-article,20790942,1,A5057689214,John R. Hampton,,,,1
W2088899646,Effect of Aggregating Agents on the Electrophoretic Mobility of Human Platelets,1966-04-30,81,journal-article,20790942,2,A5041245385,J. R. A. Mitchell,,,,1
W2095413592,Treatment of Ulcerative Colitis with Antimetabolites,1966-04-30,58,journal-article,20790943,1,A5008874953,R. H. D. Bean,,,,1
W2073796938,Hepatic Dysfunction in the Congenital Rubella Syndrome,1966-04-30,11,journal-article,20790945,1,A5047065125,Gilles R. G. Monif,,,,1
W2073796938,Hepatic Dysfunction in the Congenital Rubella Syndrome,1966-04-30,11,journal-article,20790945,2,A5049446470,Richard Asofsky,,,,1
W2073796938,Hepatic Dysfunction in the Congenital Rubella Syndrome,1966-04-30,11,journal-article,20790945,3,A5059054434,John L. Sever,,,,1
W1969024717,Deliberate Aspirin Intoxication,1966-04-30,9,journal-article,20790947,1,A5055077010,J. S. Madden,,,,1
W1969024717,Deliberate Aspirin Intoxication,1966-04-30,9,journal-article,20790947,2,A5055067568,C. W. M. Wilson,,,,1
W2036067499,Comparison of Three Methods for Treatment of Congenital Clubfoot,1966-04-30,6,journal-article,20790944,1,A5044450295,N E Shaw,,,,1
W2145786120,Diagnosis and Treatment of Discharging Ears,1966-04-30,5,journal-article,20790948,1,A5045191066,Colin M. Johnston,,,,1
W2170350258,Fat Embolism Following an Epileptic Seizure,1966-04-30,5,journal-article,20790946,1,A5090667340,H. D. Kaufman,,,,1
W2170350258,Fat Embolism Following an Epileptic Seizure,1966-04-30,5,journal-article,20790946,2,A5048535871,Ronald D. Finn,,,,1
W2170350258,Fat Embolism Following an Epileptic Seizure,1966-04-30,5,journal-article,20790946,3,A5062568291,R. E. Bourdillon,,,,1
W2007722786,Clotting Factors during Oral Contraception: Further Report,1966-07-02,61,journal-article,20791018,1,A5053834023,L. Poller,,,,1
W2007722786,Clotting Factors during Oral Contraception: Further Report,1966-07-02,61,journal-article,20791018,2,A5021677375,Jean M. Thomson,,,,1
W2033774340,"Progress in Patients with Peptic Ulceration Treated for more than Five Years with Poldine, including a Double-blind Study",1966-07-02,33,journal-article,20791013,1,A5041811399,Joanne Hunt,,,,1
W2033774340,"Progress in Patients with Peptic Ulceration Treated for more than Five Years with Poldine, including a Double-blind Study",1966-07-02,33,journal-article,20791013,2,A5056644566,R. C. Wales,,,,1
W2049146589,Histopathological Changes in the Foetal and Infantile Inner Ear Caused by Maternal Rubella,1966-07-02,27,journal-article,20791016,1,A5078687610,I. Friedmann,,,,1
W2049146589,Histopathological Changes in the Foetal and Infantile Inner Ear Caused by Maternal Rubella,1966-07-02,27,journal-article,20791016,2,A5028755222,Mary Ingle Wright,,,,1
W2018381567,Colostomy Management by the Irrigation Technique: Review of 165 Cases,1966-07-02,19,journal-article,20791019,1,A5069773275,Philip Seargeant,,,,1
W2050539706,Intestinal Strangulation Complicating Familial Mediterranean Fever,1966-07-02,13,journal-article,20791022,1,A5071256534,D Michaeli,,,,1
W2050539706,Intestinal Strangulation Complicating Familial Mediterranean Fever,1966-07-02,13,journal-article,20791022,2,A5059916196,Mordechai Pras,,,,1
W2050539706,Intestinal Strangulation Complicating Familial Mediterranean Fever,1966-07-02,13,journal-article,20791022,3,A5057331766,Nechama Rozen,,,,1
W1978910854,Mechanical Haemolytic Anaemia after Mitral-valve Replacement,1966-07-02,8,journal-article,20791023,1,A5003067677,G W Marsh,,,,1
