id,which_mesh,term,is_major_topic,qualifier_name
W2035879922,1,Amino Acids,TRUE,
W2035879922,2,Biological Phenomena,TRUE,
W2035879922,3,"Chromatography, Liquid",TRUE,
W2035879922,4,Epidermis,TRUE,
W2035879922,5,Physiological Phenomena,TRUE,
W2035879922,6,Animals,FALSE,
W2035879922,7,Mice,FALSE,
W1998604933,1,Chromosomes,TRUE,
W1998604933,2,Electrons,TRUE,
W1998604933,3,Microscopy,TRUE,
W1998604933,4,"Microscopy, Electron",TRUE,
W1996555015,1,Emulsions,TRUE,
W1996555015,2,Oxidation-Reduction,TRUE,
W1996555015,3,Triglycerides,TRUE,
W1986720202,1,Axons,TRUE,
W1986720202,2,Tetraethylammonium,TRUE,
W2072496627,1,Gamma Rays,TRUE,
W2072496627,2,Radiation,TRUE,
W2072496627,3,Humans,FALSE,
W2020827668,1,Life Cycle Stages,TRUE,
W2020827668,2,Trematoda,TRUE,
W2020827668,3,Animals,FALSE,
W2040193353,1,Antibodies,TRUE,
W2040193353,2,Antigens,TRUE,
W2009662315,1,Poliomyelitis,TRUE,
W2009662315,2,Poliovirus,TRUE,
W2009662315,3,Viruses,TRUE,
W2017318354,1,Nuclear Energy,TRUE,
W2017318354,2,Research,TRUE,
W2017318354,3,Humans,FALSE,
W2083730380,1,Ergonomics,TRUE,
W2083730380,2,Physiology,TRUE,
W2083730380,3,Universities,TRUE,
W2083730380,4,Humans,FALSE,
W2083730380,5,New York,FALSE,
W2076187181,1,Neoplasms,TRUE,etiology
W2076187181,2,Humans,FALSE,
W2076187181,3,Neoplasms,FALSE,
W2040851167,1,Blood Circulation,TRUE,
W2040851167,2,Blood Vessels,TRUE,
W2040851167,3,Cheek,TRUE,
W2040851167,4,Microscopy,TRUE,
W2040851167,5,Animals,FALSE,
W2040851167,6,Cricetinae,FALSE,
W2044735500,1,Hypoglycemia,TRUE,
W2044735500,2,Hypoglycemic Agents,TRUE,
W2044735500,3,Insulin,TRUE,
W2044735500,4,Reference Standards,TRUE,
W2044735500,5,Animals,FALSE,
W2044735500,6,Mice,FALSE,
W1980216856,1,Aerospace Medicine,TRUE,
W1980216856,2,Aviation,TRUE,adverse effects
W1980216856,3,Aviation,TRUE,pathology
W1980216856,4,Aviation,TRUE,physiology
W1980216856,5,Cytochromes,TRUE,
W1980216856,6,Cytochromes c,TRUE,
W1980216856,7,Hypoxia,TRUE,
W1980216856,8,Oxygen,TRUE,
W1980216856,9,Aviation,FALSE,
W1980216856,10,Humans,FALSE,
W1972105703,1,Equipment and Supplies,TRUE,
W1972105703,2,Ethylamines,TRUE,
W1972105703,3,Gases,TRUE,therapy
W1972105703,4,Mustard Gas,TRUE,
W1972105703,5,Gases,FALSE,
W1966942700,1,Acetone,TRUE,
W1966942700,2,Cell Cycle,TRUE,
W1966942700,3,Cell Division,TRUE,
W1966942700,4,Cell Proliferation,TRUE,
W1966942700,5,Tissue Extracts,TRUE,
W1966942700,6,Humans,FALSE,
W2082071668,1,Medicine,TRUE,
W2082071668,2,Radioactive Tracers,TRUE,
W2082071668,3,Radioactivity,TRUE,
W2080214496,1,Ultraviolet Rays,TRUE,
W2080214496,2,"Vision, Ocular",TRUE,
W2080214496,3,Visual Perception,TRUE,
W2080214496,4,Humans,FALSE,
W2013317422,1,"Administration, Oral",TRUE,
W2013317422,2,Animal Experimentation,TRUE,
W2013317422,3,"Animals, Laboratory",TRUE,
W2013317422,4,Fluids and Secretions,TRUE,administration & dosage
W2013317422,5,Animals,FALSE,
W2013317422,6,Fluids and Secretions,FALSE,
W2084101783,1,Meat,TRUE,
W2084101783,2,"Sheep, Domestic",TRUE,
W2084101783,3,Vitamin A,TRUE,
W2084101783,4,Vitamin B Complex,TRUE,
W2084101783,5,Vitamins,TRUE,
W2084101783,6,Amphotericin B,FALSE,
W2084101783,7,Animals,FALSE,
W2084101783,8,Sheep,FALSE,
W2059521866,1,Anti-Bacterial Agents,TRUE,
W2059521866,2,Chlortetracycline,TRUE,
W1987568635,1,Inorganic Chemicals,TRUE,
W1987568635,2,Luminescence,TRUE,
W1987568635,3,Organic Chemicals,TRUE,
W1987568635,4,Organophosphorus Compounds,TRUE,
W1987568635,5,Phosphorus,TRUE,
W1987568635,6,Phosphorus Compounds,TRUE,
W2071642936,1,Embryology,TRUE,
W2071642936,2,Humans,FALSE,
W2092836910,1,Radioactivity,TRUE,
W2092836910,2,Rare Diseases,TRUE,
W2070384661,1,Disease,TRUE,
W2070384661,2,Fruit,TRUE,
W2070384661,3,Prunus,TRUE,
W2070384661,4,Humans,FALSE,
W2038630001,1,Coloring Agents,TRUE,
W2038630001,2,Oxidoreductases,TRUE,
W2038630001,3,Peroxidase,TRUE,
W2038630001,4,Peroxidases,TRUE,
W2038630001,5,Raphanus,TRUE,
W2013631538,1,Aedes,TRUE,
W2013631538,2,Culicidae,TRUE,
W2013631538,3,Animals,FALSE,
W2059931840,1,Ascorbic Acid,TRUE,
W2059931840,2,Fabaceae,TRUE,
W2059931840,3,Vitamins,TRUE,
W2059931840,4,"2,4-Dichlorophenoxyacetic Acid",FALSE,
W2059931840,5,"2,4-Dichlorophenoxyacetic Acid",FALSE,analogs & derivatives
W2059931840,6,Humans,FALSE,
W1970870184,1,Fluorenes,FALSE,
W1990666691,1,Food,TRUE,
W1990666691,2,Hardness,TRUE,
W1990666691,3,Humans,FALSE,
W2003091747,1,Anticoagulants,TRUE,
W2003091747,2,Dicumarol,TRUE,
W2003091747,3,Flavones,TRUE,
W2003091747,4,Vitamins,TRUE,
W1969277162,1,Carcinogenesis,TRUE,
W1969277162,2,Fluorenes,TRUE,
W2031139459,1,Ostreidae,TRUE,
W2031139459,2,Animals,FALSE,
W2031139459,3,Humans,FALSE,
W2031139459,4,Louisiana,FALSE,
W2081394881,1,Biology,TRUE,
W2081394881,2,Schools,TRUE,
W2051154050,1,Aging,TRUE,metabolism
W2051154050,2,Amyloid beta-Peptides,TRUE,metabolism
W2051154050,3,Brain,TRUE,metabolism
W2051154050,4,"Mice, Transgenic",TRUE,metabolism
W2051154050,5,Aging,FALSE,
W2051154050,6,Amyloid beta-Peptides,FALSE,
W2051154050,7,Animals,FALSE,
W2051154050,8,Brain,FALSE,
W2051154050,9,Female,FALSE,
W2051154050,10,Male,FALSE,
W2051154050,11,Mice,FALSE,
W2051154050,12,"Mice, Inbred C57BL",FALSE,
W2051154050,13,"Mice, Transgenic",FALSE,
W2082737759,1,Endoribonucleases,TRUE,metabolism
W2082737759,2,Introns,TRUE,physiology
W2082737759,3,RNA Precursors,TRUE,metabolism
W2082737759,4,RNA Splicing,TRUE,physiology
W2082737759,5,"RNA, Transfer",TRUE,metabolism
