id,abstract_len,title,pub_date,retracted,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2000780016,0,INSULIN AND DIABETES: A GENERAL STATEMENT OF THE PHYSIOLOGICAL AND THERAPEUTIC EFFECTS OF INSULIN,1922-11-04,FALSE,81,journal-article,20770902,1,A5034702392,J. J. R. Macleod,,,,1
W1980419040,0,"CANCER OF THE SCROTUM: The Etiology, Clinical Features, and Treatment of the Disease",1922-11-18,FALSE,53,journal-article,20770922,1,A5024785877,Amanda Southam,,,,1
W1980419040,0,"CANCER OF THE SCROTUM: The Etiology, Clinical Features, and Treatment of the Disease",1922-11-18,FALSE,53,journal-article,20770922,2,A5005497542,S Wilson,,,,1
W2008306055,0,THE ACTION OF CARBON TETRACHLORIDE ON THE LIVER,1922-11-11,FALSE,14,journal-article,20770915,1,A5086790762,J. F. Docherty,,,,1
W2008306055,0,THE ACTION OF CARBON TETRACHLORIDE ON THE LIVER,1922-11-11,FALSE,14,journal-article,20770915,2,A5052703633,Elizabeth Burgess,,,,1
W2054218706,0,PROPHYLACTIC RECTIFICATION AND VERSION AT THE ANTE-NATAL CLINIC,1922-11-04,FALSE,5,journal-article,20770906,1,A5061995435,J. W. Ballantyne,,,,1
W1995901093,0,THE BACTERIA OF THE TONSILS AND ADENOIDS,1922-11-25,FALSE,4,journal-article,20770928,1,A5035414259,Nellie Wall,,,,1
W2019190096,0,THE MECHANISM OF HEARING,1922-10-28,FALSE,4,journal-article,20770897,1,A5061346489,W. M. Bayliss,,,,1
W2139588476,0,MEDITERRANEAN OR UNDULANT FEVER,1922-11-11,FALSE,4,journal-article,20770911,1,A5055687828,P. W. Bassett-Smith,,,,1
W2129519115,0,Remarks ON THE SURGERY OF THE PITUITARY GLAND,1922-11-04,FALSE,3,journal-article,20770903,1,A5079371507,Albert Walton,,,,1
W2011781400,0,THE REMOVAL OF A PAPER FASTENER BY DIRECT PERORAL BRONCHOSCOPY: After its Impaction for Twenty-one Months in the Left Bronchus,1922-11-18,FALSE,2,journal-article,20770923,1,A5027893148,Herbert Tilley,,,,1
W2063671176,0,"Some Observations ON THE BACTERIOLOGY AND VACCINE TREATMENT OF CHRONIC BRONCHITIS: Based on 300 Cases, with Special Reference to Associated Nasal Infections",1922-10-21,FALSE,2,journal-article,20770891,1,A5032139459,Leonard Mackey,,,,1
W2069110206,0,"An Address ON THE PAST, PRESENT, AND FUTURE OF MIDWIFERY",1922-10-21,FALSE,2,journal-article,20770890,1,A5019905444,Brett Watson,,,,1
W2041596059,0,LUMINAL IN MIGRAINE,1922-10-28,FALSE,1,journal-article,20770898,1,A5077410987,Wilfred Harris,,,,1
W2088566659,0,A CASE OF ARSENICAL KERATOSIS FOLLOWED BY CANCER,1922-11-18,FALSE,1,journal-article,20770924,1,A5000851395,Henry C.G. Semon,,,,1
W1981121828,0,AN OUTBREAK OF DIPHTHERIA DUE TO INFECTED MILK,1922-11-11,FALSE,0,journal-article,20770914,1,A5039700797,A. E. Porter,,,,1
W1997153432,0,A CASE OF INTRAPERICARDIAL ANEURYSM OF THE AORTA,1922-12-02,FALSE,0,journal-article,20770932,1,A5005470225,B. T. Parsons-Smith,,,,1
W1998478318,0,THE CLINICAL THERMOMETER IN THE PREVENTION OF PULMONARY TUBERCULOSIS,1922-11-25,FALSE,0,journal-article,20770929,1,A5011831896,E. Clark-Jones,,,,1
W2011062580,0,A CASE OF CONVERSION NEUROSIS,1922-11-04,FALSE,0,journal-article,20770907,1,A5023403088,Philip C. Livingston,,,,1
W2018476408,0,MENTAL SYMPTOMS IN PHYSICAL DISEASE: Being an Abridgement of the Bradshaw Lecture delivered before the Royal College of Physicians of London,1922-11-04,FALSE,0,journal-article,20770904,1,A5037937198,Maurice Craig,,,,1
W2020492116,0,THE AN AESTHETIZATION OF PATIENTS FOR THE CLASSICAL CAESAREAN SECTION,1922-11-11,FALSE,0,journal-article,20770912,1,A5069327099,Herbert R. Spencer,,,,1
W2022610448,0,THE FIELD LABORATORIES AND PHARMACOLOGICAL DEPARTMENT,1922-11-11,FALSE,0,journal-article,20770919,1,A5044336727,W. M. Fletcher,,,,1
W2060352539,0,"THE LIGHT SENSE, WITH SPECIAL REFERENCE TO NAVIGATION",1922-10-28,FALSE,0,journal-article,20770896,1,A5053209848,Andrew Fergus,,,,1
W2071687190,0,LAPAROTOMY FOR INTESTINAL OBSTRUCTION ON BOARD SHIP,1922-12-02,FALSE,0,journal-article,20770934,1,A5027504422,Vincent Moxey,,,,1
W2074629990,0,SURGERY ON THE HIGH SEAS,1922-10-21,FALSE,0,journal-article,20770892,1,A5002467044,Ann Crabbé,,,,1
W2074629990,0,SURGERY ON THE HIGH SEAS,1922-10-21,FALSE,0,journal-article,20770892,2,A5014157962,L. R. Broster,,,,1
W2075147505,0,THE PELVES OF RICKETY CHILDREN AS THE PRECURSORS OF THE RICKETY FLAT PELVES OF WOMEN,1922-11-11,FALSE,0,journal-article,20770913,1,A5020681736,Hugh T. Ashby,,,,1
W2128640640,0,THE TREATMENT OF RODENT ULCER BY CHROMIC ACID SOLUTION,1922-11-04,FALSE,0,journal-article,20770905,1,A5032083211,Kennedy Ad,,,,1
W2145052384,0,THE PRESENT VALUE OF THE WIDAL REACTION IN THE INOCULATED SUBJECT,1922-12-02,FALSE,0,journal-article,20770933,1,A5085980466,A. Geoffrey Shera,,,,1
W2396498780,0,The Harveian Oration ON MEDICINE IN THE CENTURY BEFORE HARVEY,1922-10-21,FALSE,0,journal-article,20770889,1,A5060535532,Arnold Chaplin,,,,1
W4210898892,0,An Address ON CERTAIN DEVELOPMENTS IN MEDICINE: Delivered at the Opening Session of the Medical Society of London on October 16th,1922-10-28,FALSE,0,journal-article,20770895,1,A5037659429,David Penn,,,,1
W2062045297,0,Remarks ON HODGKIN'S DISEASE,1922-12-23,FALSE,66,journal-article,20770949,1,A5008564110,James Galloway,,,,1
W2086803837,0,Further Clinical Experience with Insulin (Pancreatic Extracts) in the Treatment of Diabetes Mellitus,1923-01-06,FALSE,66,journal-article,20770964,1,A5013735327,F. G. Banting,,,,1
W2086803837,0,Further Clinical Experience with Insulin (Pancreatic Extracts) in the Treatment of Diabetes Mellitus,1923-01-06,FALSE,66,journal-article,20770964,2,A5083956385,Walter R. Campbell,,,,1
W2086803837,0,Further Clinical Experience with Insulin (Pancreatic Extracts) in the Treatment of Diabetes Mellitus,1923-01-06,FALSE,66,journal-article,20770964,3,A5010646272,A. A. Fletcher,,,,1
W2752719120,0,SOME APPLICATIONS OF PHYSIOLOGY TO MEDICINE: 1.--SENSORY PHENOMENA ASSOCIATED WITH DEFECTIVE BLOOD SUPPLY TO WORKING MUSCLES,1923-01-13,FALSE,17,journal-article,20770966,1,A5028644999,J. A. MacWilliam,,,,1
W2752719120,0,SOME APPLICATIONS OF PHYSIOLOGY TO MEDICINE: 1.--SENSORY PHENOMENA ASSOCIATED WITH DEFECTIVE BLOOD SUPPLY TO WORKING MUSCLES,1923-01-13,FALSE,17,journal-article,20770966,2,A5014590884,W. Webster,,,,1
W1987082633,0,THE FUNCTION OF THE ADRENAL GLANDS AND ITS RELATION TO CONCENTRATION OF HYDROGEN IONS,1923-01-20,FALSE,11,journal-article,20770975,1,A5083421445,Robert McCarrison,,,,1
W2144098852,0,On a Possible Mode of Causation of Diabetes Mellitus,1923-01-06,FALSE,10,journal-article,20770957,1,A5051220615,L. B. Winter,,,,1
W2144098852,0,On a Possible Mode of Causation of Diabetes Mellitus,1923-01-06,FALSE,10,journal-article,20770957,2,A5050389223,Wilberforce Smith,,,,1
W2057122932,0,Observations ON THE EFFECT OF CESSATION OF THE IRRITANT ON THE DEVELOPMENT OF EXPERIMENTAL TAR CANCER,1922-12-09,FALSE,8,journal-article,20770938,1,A5081729044,Archibald Leitch,,,,1
W1994265419,0,Damaged Lungs and Bronchiectasis,1923-01-27,FALSE,7,journal-article,20770986,1,A5041419258,Clive Riviere,,,,1
W2057018027,0,Apituitarism and the Anencephalic Syndrome,1923-01-06,FALSE,7,journal-article,20770959,1,A5075855186,Diane L. Barlow,,,,1
W2130495841,0,An Unusual Case of Typhoid Spine with Symptoms of Spinal Cord Affection,1923-01-27,FALSE,3,journal-article,20770987,1,A5014117795,Hannah Turner,,,,1
W1964061541,0,An Address on Acute Constitutional Symptoms due to Radiations,1923-01-06,FALSE,2,journal-article,20770956,1,A5037914219,Humphry Rolleston,,,,1
W2014211742,0,The Vitamin Content of Certain Proprietary Preparations,1923-01-06,FALSE,2,journal-article,20770958,1,A5067317585,Katharine Hope Coward,,,,1
W2014211742,0,The Vitamin Content of Certain Proprietary Preparations,1923-01-06,FALSE,2,journal-article,20770958,2,A5037537789,A. J. Clark,,,,1
W2016463940,0,THE DIAGNOSIS OF INDEFINITE MASSES IN THE BREAST,1923-01-20,FALSE,2,journal-article,20770982,1,A5084524623,Duncan C. L. Fitzwilliams,,,,1
W2047641413,0,THE EFFECT OF ANAESTHETICS ON THE LUNGS: (Preliminary Communication.),1923-01-13,FALSE,2,journal-article,20770971,1,A5073917021,R. J. S. McDowall,,,,1
W2167434083,0,A SIMPLE METHOD OF TREATING CLUB-FOOT: (Congenital Talipes Equino-varus),1922-12-09,FALSE,2,journal-article,20770940,1,A5034400740,A. S. Blundell Bankart,,,,1
W1986269611,0,Trauma and Appendicitis,1923-01-06,FALSE,1,journal-article,20770962,1,A5046132785,Charles J. G. Taylor,,,,1
W1999478146,0,Purpura Treated by Injection of Human Blood,1923-01-06,FALSE,1,journal-article,20770961,1,A5065139264,Montague Dixon,,,,1
W2001792006,0,THE DOSAGE OF RADIUM,1923-01-20,FALSE,1,journal-article,20770974,1,A5076031227,Dawson Turner,,,,1
W2071483620,0,On the Investigation of Dyspeptics: A British Medical Association Lecture,1923-01-06,FALSE,1,journal-article,20770963,1,A5020026460,JohnA. Ryle,,,,1
W2093631323,0,"An Address on Some Problems of Prostatectomy: Delivered before the Harveian Society, November 16th, 1922",1923-01-27,FALSE,1,journal-article,20770984,1,A5020915125,John Thomson-Walker,,,,1
W2114522348,0,A British Medical Association Lecture ON SOME PRACTICAL DIFFICULTIES IN OBSTETRICS AND GYNAECOLOGY,1923-01-20,FALSE,1,journal-article,20770981,1,A5073722912,Comyns Berkeley,,,,1
W1986672754,0,RESTORATION OF THE ROUND LIGAMENTS,1922-12-09,FALSE,0,journal-article,20770943,1,A5011715221,Arthur J. Nyulasy,,,,1
W1999322741,0,Further Notes on Treatment of Epilepsy,1923-01-06,FALSE,0,journal-article,20770960,1,A5067189809,John McCartney,,,,1
