id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W1986164395,<i>Gonionemus</i> versus ' <i>Gonionema</i> ',1903-10-16,35,journal-article,17774341,1,A5055231703,Herbert J. Webber,,,,1
W2029686550,"A PRELIMINARY NOTE ON THE SIGNIFICANCE OF THE PHOSPHORUS INTAKE IN THE DIET AND BLOOD PHOSPHORUS CONCENTRATION, IN THE EXPERIMENTAL PRODUCTION OF CARIES-IMMUNITY AND CARIES-SUSCEPTIBILITY IN THE RAT",1931-12-25,30,journal-article,17774373,1,A5050123773,Harold P. Klein,,,,1
W2029686550,"A PRELIMINARY NOTE ON THE SIGNIFICANCE OF THE PHOSPHORUS INTAKE IN THE DIET AND BLOOD PHOSPHORUS CONCENTRATION, IN THE EXPERIMENTAL PRODUCTION OF CARIES-IMMUNITY AND CARIES-SUSCEPTIBILITY IN THE RAT",1931-12-25,30,journal-article,17774373,2,A5001170203,E. V. McCollum,,,,1
W2008277702,Hexagonal (Wurtzite) Silicon,1977-08-05,25,journal-article,17774335,1,A5048186821,J. S. Kasper,"General Electric Corporate Research and Development Center, Post Office Box 8, Schenectady, New York 12301",General Electric (United States),I1332737386,1
W2008277702,Hexagonal (Wurtzite) Silicon,1977-08-05,25,journal-article,17774335,2,A5073690908,R. H. Wentorf,"General Electric Corporate Research and Development Center, Post Office Box 8, Schenectady, New York 12301",General Electric (United States),I1332737386,1
W4212816430,New Phrenology,1912-03-01,24,journal-article,17774377,1,A5067283571,Shepherd Ivory Franz,Government Hospital for the Insane,,,1
W1983130786,On the Ultra-Violet Photomicrography of Living Cells,1931-12-25,5,journal-article,17774375,1,A5050049614,Ralph W. G. Wyckoff,"ROCKEFELLER INSTITUTE FOR MEDICAL RESEARCH, NEW YORK, N.Y.",,,1
W1983130786,On the Ultra-Violet Photomicrography of Living Cells,1931-12-25,5,journal-article,17774375,2,A5000912409,Adrian L. Ter Louw,"ROCKEFELLER INSTITUTE FOR MEDICAL RESEARCH, NEW YORK, N.Y.",,,1
W2049367878,RAPIDLY RIPENED HAEMATOXYLIN AND ITS USES,1931-12-25,5,journal-article,17774371,1,A5089359935,W. H. Camp,the Ohio State University,The Ohio State University,I52357470,1
W1990698593,ON THE ORIGIN OF AN ALBINO RACE OF DEERMOUSE,1912-03-01,4,journal-article,17774383,1,A5076625612,W. E. Castle,"Laboratory of Genetics, Bussey Institution, Forest Hills, Mass.",,,1
W1970598911,ANOTHER VIEW OF THE PRINCIPLES OF WATERPOWER DEVELOPMENT,1912-03-01,3,journal-article,17774380,1,A5034509521,John H. Aldrich,,,,1
W2047474537,The Rise of Man,1931-12-25,3,journal-article,17774360,1,A5014535963,James Henry Breasted,"Oriental Institute, University of Chicago, Chicago, Ill.",Chicago College of Oriental Medicine,I4210156321,1
W2047474537,The Rise of Man,1931-12-25,3,journal-article,17774360,1,A5014535963,James Henry Breasted,"Oriental Institute, University of Chicago, Chicago, Ill.",University of Chicago,I40347166,2
W2047474537,The Rise of Man,1931-12-25,3,journal-article,17774360,1,A5014535963,James Henry Breasted,"Oriental Institute, University of Chicago, Chicago, Ill.","Czech Academy of Sciences, Oriental Institute",I4210147654,3
W2052025020,The Isodynamic Replacement of Nutrients,1903-10-16,3,journal-article,17774336,1,A5023319434,Henry Prentiss Armsby,,,,1
W1975893497,Electrochemical Concentration Cells,1977-08-05,2,journal-article,17774334,1,A5077818025,Albert F. Hadermann,"Applied Physical Chemistry, Inc., Route 1, Ijamsville, Maryland 21754",,,1
W1976730654,ALFRED GOLDSBOROUGH MAYOR,1922-07-21,2,journal-article,17774351,1,A5088731613,R. S. Woodward,,,,1
W1979842003,GAMBUSIA IN FOREIGN LANDS,1931-12-25,2,journal-article,17774363,1,A5081650647,Samuel F. Hildebrand,,,,1
W4253098388,ELEMENT 87,1931-12-25,2,journal-article,17774376,1,A5051373222,C. F. Graham,,,,1
W1986828683,A New Spheroidal Granite,1903-10-16,1,journal-article,17774344,1,A5085297723,J. F. Kemp,Columbia University.,Columbia University,I78577930,1
W2027840486,Methods of Meteorological Investigation,1903-10-16,1,journal-article,17774337,1,A5001188476,W. N. Shaw,,,,1
W2040594544,WHICH IS THE HIGHEST WATER FALL IN THE WORLD?,1922-07-21,1,journal-article,17774352,1,A5029030486,F. E. Matthes,,,,1
W2058666245,THE ELECTOR PLAN FOR THE ADMINISTRATION OF RESEARCH FUNDS,1922-07-21,1,journal-article,17774350,1,A5007499842,Carl E. Seashore,"Division of Anthropology and Psychology, National Research Council","National Academies of Sciences, Engineering, and Medicine",I197604219,1
W2065922659,"FIRST USE OF WORD ""GENOTYPE""",1912-03-01,1,journal-article,17774381,1,A5071628819,Henry Fairfield Osborn,American Museum,National Museum of American History,I1292692585,1
W2082909117,CONSERVATION OF THE WATERS OF THE COLORADO RIVER FROM THE STANDPOINT OF THE RECLAMATION SERVICE,1922-07-21,1,journal-article,17774349,1,A5001811763,F. E. Weymouth,,,,1
W1984834621,Present Knowledge of the Distribution of Daimonelix,1903-10-16,0,journal-article,17774345,1,A5075874249,Erwin Hinckley Barbour,,,,1
W1989762717,THE PRIBILOF FUR SEAL HERD,1912-03-01,0,journal-article,17774379,1,A5077264255,C. H. T. Townsend,Member Advisory Board,Advisory Board Company (United States),I29236304,1
W1989762717,THE PRIBILOF FUR SEAL HERD,1912-03-01,0,journal-article,17774379,2,A5079761220,Gregory Clark,"Stanford University, Calif.",Stanford University,I97018004,1
W1992386780,THE TERM PROTEIN,1931-12-25,0,journal-article,17774369,1,A5044972846,P. A. Levene,,,,1
W2014480301,A CABINET FOR COLORED PAPERS,1922-07-21,0,journal-article,17774354,1,A5017438223,Christian A. Ruckmick,Wellesley College,Wellesley College,I189731429,1
W2019426954,HEAVY GLASSWARE IN THE LABORATORY,1931-12-25,0,journal-article,17774374,1,A5056029338,E. G. Hastings,,,,1
W2019426954,HEAVY GLASSWARE IN THE LABORATORY,1931-12-25,0,journal-article,17774374,2,A5087520002,I. L. Baldwin,,,,1
W2024753065,TWENTY-SEVENTH ANNUAL NEW ENGLAND INTERCOLLEGIATE GEOLOGICAL EXCURSION,1931-12-25,0,journal-article,17774368,1,A5030266466,Marland P. Billings,,,,1
W2026795748,THE COMMON EARTHWORM AS A SERIOUS ECONOMIC PROBLEM,1931-12-25,0,journal-article,17774365,1,A5031438269,C. T. Hurst,,,,1
W2035507444,THE USE OF MICRO-MANIPULATORS,1931-12-25,0,journal-article,17774372,1,A5044974644,J. F. McClendon,university of minnesota;,University of Minnesota System,I2800403580,1
W2043371466,THE SCHOOL DAYS OF LORENTZ,1931-12-25,0,journal-article,17774367,1,A5053929358,Arnold Dresden,,,,1
W2061605672,THE MEASUREMENT OF EXTREMELY SMALL CAPACITIES AND INDUCTANCES,1922-07-21,0,journal-article,17774356,1,A5038942798,H. G. Tasker,,,,1
W2061605672,THE MEASUREMENT OF EXTREMELY SMALL CAPACITIES AND INDUCTANCES,1922-07-21,0,journal-article,17774356,2,A5002981510,L. T. Jones,,,,1
W2065597703,The Fifth Satellite of Jupiter,1903-10-16,0,journal-article,17774339,1,A5024363292,T. D. A. Cockerell,,,,1
W2072548362,THE HUMAN YOLK SAC,1922-07-21,0,journal-article,17774355,1,A5030398170,Leslie B. Arey,,,,1
W2085051067,THE FIFTH SATELLITE OF JUPITER,1903-10-16,0,journal-article,17774340,1,A5038736583,R. H. Tucker,,,,1
W2085051067,THE FIFTH SATELLITE OF JUPITER,1903-10-16,0,journal-article,17774340,2,A5088274113,George E. Hale,,,,1
W2130000199,THE WORK OF DR. BASKERVILLE,1931-12-25,0,journal-article,17774366,1,A5059207757,Nathan Van Patten,,,,1
W2417998092,Arctic Nomenclature,1903-10-16,0,journal-article,17774342,1,A5014916123,Bibikov Fa,,,,1
W4231335613,NOTES ON METEOROLOGY AND CLIMATOLOGY,1912-03-01,0,journal-article,17774382,1,A5056928319,A. H. Palmer,,,,1
W4235500614,CONICAL HAILSTONES,1931-12-25,0,journal-article,17774364,1,A5030698597,A. T. Jones,,,,1
W4235527032,THE AMERICAN CHEMICAL SOCIETY,1922-07-21,0,journal-article,17774357,1,A5030256174,C. L. Parsons,,,,1
W4239775690,ARCTIC NOMENCLATURE,1903-10-16,0,journal-article,17774343,1,A5029674119,E. S. Balch,,,,1
W4242578659,"DOCTORATES CONFERRED IN THE SCIENCES BY AMERICAN UNIVERSITIES, 1930-31",1931-12-25,0,journal-article,17774370,1,A5047030522,C. J. West,,,,1
W4242578659,"DOCTORATES CONFERRED IN THE SCIENCES BY AMERICAN UNIVERSITIES, 1930-31",1931-12-25,0,journal-article,17774370,2,A5073849172,C. Hull,,,,1
W4244820334,THE KENTUCKY ACADEMY OF SCIENCE,1922-07-21,0,journal-article,17774358,1,A5086607703,A. M. Peter,,,,1
