id,which_mesh,term,is_major_topic
W2148422863,1,Bacteroides,TRUE
W2148422863,2,Gene Expression Regulation,TRUE
W2148422863,3,Ileum,TRUE
W2148422863,4,Ileum,TRUE
W2148422863,5,Intestinal Mucosa,TRUE
W2148422863,6,Intestinal Mucosa,TRUE
W2148422863,7,Animals,FALSE
W2148422863,8,Bacteroides,FALSE
W2148422863,9,Bacteroides,FALSE
W2148422863,10,Bacteroides,FALSE
W2148422863,11,Bifidobacterium,FALSE
W2148422863,12,Bifidobacterium,FALSE
W2148422863,13,Bifidobacterium,FALSE
W2148422863,14,"Colony Count, Microbial",FALSE
W2148422863,15,Cornified Envelope Proline-Rich Proteins,FALSE
W2148422863,16,Escherichia coli,FALSE
W2148422863,17,Escherichia coli,FALSE
W2148422863,18,Escherichia coli,FALSE
W2148422863,19,Gastrointestinal Motility,FALSE
W2148422863,20,Gastrointestinal Motility,FALSE
W2148422863,21,Gene Expression Profiling,FALSE
W2148422863,22,Germ-Free Life,FALSE
W2148422863,23,Humans,FALSE
W2148422863,24,Ileum,FALSE
W2148422863,25,Ileum,FALSE
W2148422863,26,Ileum,FALSE
W2148422863,27,Intestinal Absorption,FALSE
W2148422863,28,Intestinal Absorption,FALSE
W2148422863,29,Intestinal Mucosa,FALSE
W2148422863,30,Intestinal Mucosa,FALSE
W2148422863,31,Intestinal Mucosa,FALSE
W2148422863,32,Male,FALSE
W2148422863,33,Matched-Pair Analysis,FALSE
W2148422863,34,Membrane Proteins,FALSE
W2148422863,35,Membrane Proteins,FALSE
W2148422863,36,Membrane Proteins,FALSE
W2148422863,37,Mice,FALSE
W2148422863,38,"Mice, Inbred Strains",FALSE
W2148422863,39,Mutation,FALSE
W2148422863,40,"Neovascularization, Physiologic",FALSE
W2148422863,41,"Neovascularization, Physiologic",FALSE
W2148422863,42,Oligonucleotide Array Sequence Analysis,FALSE
W2148422863,43,Protein Precursors,FALSE
W2148422863,44,Protein Precursors,FALSE
W2148422863,45,Protein Precursors,FALSE
W2148422863,46,Reverse Transcriptase Polymerase Chain Reaction,FALSE
W2148422863,47,Xenobiotics,FALSE
W2148422863,48,Xenobiotics,FALSE
W2031611126,1,Astrocytes,TRUE
W2031611126,2,Calcium-Binding Proteins,TRUE
W2031611126,3,Retinal Ganglion Cells,TRUE
W2031611126,4,Synapses,TRUE
W2031611126,5,Animals,FALSE
W2031611126,6,Astrocytes,FALSE
W2031611126,7,Calcium,FALSE
W2031611126,8,Calcium,FALSE
W2031611126,9,Cell Communication,FALSE
W2031611126,10,"Cells, Cultured",FALSE
W2031611126,11,Coculture Techniques,FALSE
W2031611126,12,Excitatory Postsynaptic Potentials,FALSE
W2031611126,13,Fluorescent Dyes,FALSE
W2031611126,14,Fluorescent Dyes,FALSE
W2031611126,15,Glutamic Acid,FALSE
W2031611126,16,Glutamic Acid,FALSE
W2031611126,17,Ionomycin,FALSE
W2031611126,18,Ionomycin,FALSE
W2031611126,19,Membrane Glycoproteins,FALSE
W2031611126,20,Membrane Glycoproteins,FALSE
W2031611126,21,"Microscopy, Electron",FALSE
W2031611126,22,Nerve Tissue Proteins,FALSE
W2031611126,23,Nerve Tissue Proteins,FALSE
W2031611126,24,Neuronal Plasticity,FALSE
W2031611126,25,Patch-Clamp Techniques,FALSE
W2031611126,26,Pyridinium Compounds,FALSE
W2031611126,27,Pyridinium Compounds,FALSE
W2031611126,28,Quaternary Ammonium Compounds,FALSE
W2031611126,29,Quaternary Ammonium Compounds,FALSE
W2031611126,30,Rats,FALSE
W2031611126,31,"Rats, Sprague-Dawley",FALSE
W2031611126,32,Retinal Ganglion Cells,FALSE
W2031611126,33,Retinal Ganglion Cells,FALSE
W2031611126,34,Superior Colliculi,FALSE
W2031611126,35,Superior Colliculi,FALSE
W2031611126,36,Superior Colliculi,FALSE
W2031611126,37,Superior Colliculi,FALSE
W2031611126,38,Synapses,FALSE
W2031611126,39,Synapses,FALSE
W2031611126,40,Synaptic Transmission,FALSE
W2031611126,41,Synaptic Vesicles,FALSE
W2031611126,42,Synaptic Vesicles,FALSE
W2031611126,43,Synaptophysin,FALSE
W2031611126,44,Synaptophysin,FALSE
W2031611126,45,Synaptotagmins,FALSE
W2146234408,1,Angiogenesis Inhibitors,TRUE
W2146234408,2,Apoptosis,TRUE
W2146234408,3,"Endothelium, Vascular",TRUE
W2146234408,4,"Hypertension, Pulmonary",TRUE
W2146234408,5,Hypoxia,TRUE
W2146234408,6,Indoles,TRUE
W2146234408,7,Pulmonary Artery,TRUE
W2146234408,8,Pyrroles,TRUE
W2146234408,9,Receptor Protein-Tyrosine Kinases,TRUE
W2146234408,10,"Receptors, Growth Factor",TRUE
W2146234408,11,Angiogenesis Inhibitors,FALSE
W2146234408,12,Animals,FALSE
W2146234408,13,Apoptosis,FALSE
W2146234408,14,Blood Pressure,FALSE
W2146234408,15,Blood Pressure,FALSE
W2146234408,16,Caspase 3,FALSE
W2146234408,17,Caspases,FALSE
W2146234408,18,Caspases,FALSE
W2146234408,19,Cell Death,FALSE
W2146234408,20,Cell Death,FALSE
W2146234408,21,Cell Division,FALSE
W2146234408,22,Cell Division,FALSE
W2146234408,23,"Endothelium, Vascular",FALSE
W2146234408,24,"Endothelium, Vascular",FALSE
W2146234408,25,"Endothelium, Vascular",FALSE
W2146234408,26,Heart Ventricles,FALSE
W2146234408,27,"Hypertension, Pulmonary",FALSE
W2146234408,28,"Hypertension, Pulmonary",FALSE
W2146234408,29,"Hypertension, Pulmonary",FALSE
W2146234408,30,Hypoxia,FALSE
W2146234408,31,Indoles,FALSE
W2146234408,32,Male,FALSE
W2146234408,33,"Muscle, Smooth, Vascular",FALSE
W2146234408,34,"Muscle, Smooth, Vascular",FALSE
W2146234408,35,"Muscle, Smooth, Vascular",FALSE
W2146234408,36,"Muscle, Smooth, Vascular",FALSE
W2146234408,37,Myocardium,FALSE
W2146234408,38,Myocardium,FALSE
W2146234408,39,Pulmonary Artery,FALSE
W2146234408,40,Pulmonary Artery,FALSE
W2146234408,41,Pulmonary Artery,FALSE
W2146234408,42,Pyrroles,FALSE
W2146234408,43,Rats,FALSE
W2146234408,44,"Rats, Sprague-Dawley",FALSE
W2146234408,45,Receptor Protein-Tyrosine Kinases,FALSE
W2146234408,46,"Receptors, Growth Factor",FALSE
W2146234408,47,"Receptors, Vascular Endothelial Growth Factor",FALSE
W2154284281,1,Fresh Water,TRUE
W2154284281,2,Geologic Sediments,TRUE
W2154284281,3,Rain,TRUE
W2154284281,4,Tropical Climate,TRUE
W2154284281,5,Animals,FALSE
W2154284281,6,Atmosphere,FALSE
W2154284281,7,Bolivia,FALSE
W2154284281,8,Diatoms,FALSE
W2154284281,9,Peru,FALSE
W2154284281,10,Plankton,FALSE
W2154284281,11,Temperature,FALSE
W2154284281,12,Time,FALSE
W1522755403,1,Archaeology,TRUE
W1522755403,2,Climate,TRUE
W1522755403,3,Disasters,TRUE
W1522755403,4,Social Conditions,TRUE
W1522755403,5,Agriculture,FALSE
W1522755403,6,Forecasting,FALSE
W1522755403,7,Humans,FALSE
W1522755403,8,Socioeconomic Factors,FALSE
W2032674459,1,Biofilms,TRUE
W2032674459,2,Nuclear Proteins,TRUE
W2032674459,3,Saccharomyces cerevisiae,TRUE
W2032674459,4,Saccharomyces cerevisiae Proteins,TRUE
W2032674459,5,Agar,FALSE
W2032674459,6,Biofilms,FALSE
W2032674459,7,Cell Adhesion,FALSE
W2032674459,8,Culture Media,FALSE
W2032674459,9,Fungal Proteins,FALSE
W2032674459,10,Fungal Proteins,FALSE
W2032674459,11,Fungal Proteins,FALSE
