inst_id,inst,country_code,country,city,region,type,which_inst,associated,associated_id,associated_country,associated_type,associated_rel,which_assoc
I193662353,Utrecht University,NL,Netherlands,Utrecht,Utrecht,education,1,Delta Institute for Theoretical Physics,I4210114434,NL,facility,child,1
I193662353,Utrecht University,NL,Netherlands,Utrecht,Utrecht,education,1,Royal Netherlands Institute for Sea Research,I4210107283,NL,facility,related,2
I193662353,Utrecht University,NL,Netherlands,Utrecht,Utrecht,education,1,University Medical Center Utrecht,I3018483916,NL,healthcare,related,3
I193775966,Yonsei University,KR,South Korea,Seoul,,education,2,Gangnam Severance Hospital,I4210144108,KR,healthcare,related,1
I193775966,Yonsei University,KR,South Korea,Seoul,,education,2,Severance Hospital,I2799970807,KR,healthcare,related,2
I193775966,Yonsei University,KR,South Korea,Seoul,,education,2,Wonju Severance Christian Hospital,I4210103122,KR,healthcare,related,3
I193775966,Yonsei University,KR,South Korea,Seoul,,education,2,Yonsei University Health System,I4210160791,KR,healthcare,related,4
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Corcoran College of Art and Design,I2800969880,US,education,child,1
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Children’s National Health System,I1336742384,US,healthcare,related,2
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,George Washington University Hospital,I1286207013,US,healthcare,related,3
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Holy Cross Hospital,I4210142957,US,healthcare,related,4
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Inova Fairfax Hospital,I2800468613,US,healthcare,related,5
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Jacobs Institute of Women's Health,I4210119416,US,healthcare,related,6
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Northern Virginia Mental Health Institute,I4210142670,US,healthcare,related,7
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Providence Hospital,I4210161964,US,healthcare,related,8
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Sibley Memorial Hospital,I4210148073,US,healthcare,related,9
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,St. Elizabeths Hospital,I2802104953,US,healthcare,related,10
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Walter Reed National Military Medical Center,I2800363604,US,healthcare,related,11
I193531525,George Washington University,US,United States,Washington D.C.,District of Columbia,education,3,Washington Hospital,I2801951336,US,healthcare,related,12
I193700539,Tilburg University,NL,Netherlands,Tilburg,Noord-Brabant,education,4,TIAS School for Business and Society,I124486421,NL,education,related,1
I194019607,University of Ioannina,GR,Greece,Ioannina,,education,5,University Hospital of Ioannina,I4210141877,GR,healthcare,related,1
I193615760,Dokuz Eylül University,TR,Turkey,Izmir,,education,6,Dokuz Eylül Üniversitesi Hastanesi,I4210117318,TR,healthcare,related,1
I194028371,University of Regina,CA,Canada,Regina,Saskatchewan,education,7,Campion College,I4210134649,CA,education,related,1
I193876067,State University of West Paraná,BR,Brazil,Cascavel,,education,8,,,,,,1
I193670377,University of Karachi,PK,Pakistan,Karachi,,education,9,International Center for Chemical and Biological Sciences,I4210121526,PK,facility,related,1
I193670377,University of Karachi,PK,Pakistan,Karachi,,education,9,Karachi Medical and Dental College,I1312995270,PK,education,related,2
I193670377,University of Karachi,PK,Pakistan,Karachi,,education,9,Liaquat National Hospital,I2799309473,PK,healthcare,related,3
I19370010,Orange (France),FR,France,Paris,,company,10,Orange (Belgium),I4210148349,BE,company,child,1
I19370010,Orange (France),FR,France,Paris,,company,10,Orange (Poland),I126469861,PL,company,child,2
I194348271,"Government College University, Faisalabad",PK,Pakistan,Faisalabad,,education,11,,,,,,1
I193619901,Jacobs University,DE,Germany,Bremen,,education,12,,,,,,1
I193352282,Daegu Gyeongbuk Institute of Science and Technology,KR,South Korea,Daegu,,education,13,,,,,,1
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,CNRT Matériaux,I4210147293,FR,facility,child,1
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,Catalysis and Spectrochemistry Laboratory,I4210110734,FR,facility,child,2
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,"Centre de Recherche sur les Ions, les Matériaux et la Photonique",I4210120813,FR,facility,child,3
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,"Groupe de Recherche en Informatique, Image, Automatique et Instrumentation de Caen",I4210139483,FR,facility,child,4
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,Laboratoire de Chimie Moléculaire et Thioorganique,I4210126992,FR,facility,child,5
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,Laboratoire de Cristallographie et Sciences des Matériaux,I4210141025,FR,facility,child,6
I194210350,École Nationale Supérieure d'Ingénieurs de Caen,FR,France,Caen,,education,14,Laboratoire de Physique Corpusculaire de Caen,I4210110254,FR,facility,child,7
I193365169,National Chi Nan University,TW,Taiwan,Puli,,education,15,,,,,,1
I19409027,Estonian University of Life Sciences,EE,Estonia,Tartu,,education,16,,,,,,1
I193649603,Hawassa University,ET,Ethiopia,Awasa,,education,17,,,,,,1
I193353881,King Edward Memorial Hospital and Seth G.S. Medical College,IN,India,Mumbai,Maharashtra,education,18,Maharashtra University of Health Sciences,I149766970,IN,education,related,1
I193629610,Tallinn University,EE,Estonia,Tallinn,,education,19,Estonian Interuniversity Population Research Centre,I4210163865,EE,facility,related,1
I194223965,National Centre for Biological Sciences,IN,India,Bengaluru,,facility,20,Tata Institute of Fundamental Research,I11947397,IN,education,parent,1
I193555791,Delta State University,NG,Nigeria,Abraka,,education,21,,,,,,1
I194120229,Xavier University,US,United States,Cincinnati,Ohio,education,22,,,,,,1
I19325673,Universidad Centroccidental Lisandro Alvarado,VE,Venezuela,Barquisimeto,,education,23,,,,,,1
I193620225,Okayama Prefectural University,JP,Japan,Sōja,,education,24,,,,,,1
I193427800,Applied Materials (United States),US,United States,Santa Clara,California,company,25,Applied Materials (Germany),I4210165146,DE,company,child,1
I193427800,Applied Materials (United States),US,United States,Santa Clara,California,company,25,Applied Materials (Israel),I4210100008,IL,company,child,2
I193427800,Applied Materials (United States),US,United States,Santa Clara,California,company,25,Applied Materials (Singapore),I4210102879,SG,company,child,3
I193427800,Applied Materials (United States),US,United States,Santa Clara,California,company,25,Applied Materials (United Kingdom),I4210087370,GB,company,child,4
I193524592,Tianjin University of Finance and Economics,CN,China,Tianjin,,education,26,,,,,,1
I193278943,Kristianstad University,SE,Sweden,Kristianstad,,education,27,,,,,,1
I193374721,Internet Society,US,United States,Reston,Virginia,nonprofit,28,,,,,,1
I193478522,Emmanuel College - Massachusetts,US,United States,Boston,Massachusetts,education,29,,,,,,1
I193291145,Schiller International University,FR,France,Paris,,education,30,,,,,,1
I193619003,Centro Universitário das Faculdades Metropolitanas Unidas,BR,Brazil,São Paulo,,education,31,,,,,,1
I194184283,University of East Sarajevo,BA,Bosnia and Herzegovina,Lukavica,,education,32,,,,,,1
I193541982,National Nuclear Laboratory,GB,United Kingdom,Seascale,,facility,33,,,,,,1
I194245171,Daugavpils University,LV,Latvia,Daugavpils,,education,34,,,,,,1
I193424650,Capella University,US,United States,Minneapolis,Minnesota,education,35,,,,,,1
I194388944,"California State University, Channel Islands",US,United States,Camarillo,California,education,36,California State University System,I127339247,US,education,parent,1
I193397943,Zuyd University of Applied Sciences,NL,Netherlands,Heerlen,,education,37,,,,,,1
I193260172,British University in Dubai,AE,United Arab Emirates,Dubai,,education,38,,,,,,1
I194335595,Nagahama Institute of Bio-Science and Technology,JP,Japan,Nagahama,,education,39,,,,,,1
I193365419,Canadian Memorial Chiropractic College,CA,Canada,Toronto,Ontario,education,40,,,,,,1
I194114089,Vladivostok State Medical University,RU,Russia,Vladivostok,,education,41,,,,,,1
I194059303,Weyerhaeuser (United States),US,United States,Federal Way,Washington,company,42,,,,,,1
I193571115,New York College of Podiatric Medicine,US,United States,New York,New York,education,43,Long Beach Medical Center,I4210111322,US,healthcare,related,1
I194163208,National Louis University,US,United States,Chicago,Illinois,education,44,,,,,,1
I194391707,BioClinica (United States),US,United States,Doylestown,Pennsylvania,company,45,,,,,,1
I193621644,Nagoya Bunri University,JP,Japan,Inazawa,,education,46,,,,,,1
I193484058,Laureate International Universities,BR,Brazil,Porto Alegre,,education,47,Technological University of Mexico,I96523616,MX,education,child,1
I19406000,Concordia University Chicago,US,United States,River Forest,Illinois,education,48,,,,,,1
I194184260,University of Pikeville,US,United States,Pikeville,Kentucky,education,49,Our Lady of Bellefonte Hospital,I2800836612,US,healthcare,related,1
I194118695,Songkhla Rajabhat University,TH,Thailand,Songkhla,,education,50,,,,,,1
I194450716,Jilin University,CN,China,Changchun,,education,51,State Key Laboratory on Integrated Optoelectronics,I4210091786,CN,facility,child,1
I194450716,Jilin University,CN,China,Changchun,,education,51,Bethune Second Hospital,I4210103885,CN,healthcare,related,2
I194450716,Jilin University,CN,China,Changchun,,education,51,First Hospital of Jilin University,I4210125137,CN,healthcare,related,3
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Aberdeen Maternity Hospital,I2801302593,GB,healthcare,related,1
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Aberdeen Royal Infirmary,I2800600548,GB,healthcare,related,2
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Balfour Hospital,I2800570549,GB,healthcare,related,3
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Dr Gray's Hospital,I4210130440,GB,healthcare,related,4
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Raigmore Hospital,I2801643677,GB,healthcare,related,5
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Royal Aberdeen Children's Hospital,I4210111047,GB,healthcare,related,6
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Royal Cornhill Hospital,I2800537319,GB,healthcare,related,7
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Woodend Hospital,I2801584083,GB,healthcare,related,8
I195460627,University of Aberdeen,GB,United Kingdom,Aberdeen,,education,52,Woolmanhill Hospital,I2802697702,GB,healthcare,related,9
I194604659,Shiraz University of Medical Sciences,IR,Iran,Shiraz,,education,53,Stem Cell Technology Research Center,I4210128240,IR,facility,child,1
I194604659,Shiraz University of Medical Sciences,IR,Iran,Shiraz,,education,53,Faghihi Hospital,I4210158507,IR,healthcare,related,2
I194604659,Shiraz University of Medical Sciences,IR,Iran,Shiraz,,education,53,Hafez Hospital,I4210120802,IR,healthcare,related,3
I194604659,Shiraz University of Medical Sciences,IR,Iran,Shiraz,,education,53,Khalili Hospital,I4210142973,IR,healthcare,related,4
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Aging and Chronic Diseases Epidemiological and Public Health Approaches,I4210088964,FR,facility,child,1
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Centre de Recherches Sociologiques sur le Droit et les Institutions Pénales,I4210109827,FR,facility,child,2
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Centre for Research in Epidemiology and Population Health,I4210103698,FR,facility,child,3
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Diplomatique,I4210090995,FR,facility,child,4
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Fédération de Recherche PhotoVoltaïque,I4210161484,FR,facility,child,5
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,Group of Study of Condensed Matter,I4210110683,FR,facility,child,6
I195731000,Versailles Saint-Quentin-en-Yvelines University,FR,France,Versailles,,education,54,"Handicap Neuromusculaire Physiopathologie, Biothérapie et Pharmacologie Appliquées",I4210129617,FR,facility,child,7
