id,abstract_len,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2334231168,56,Perioperative Normothermia to Reduce the Incidence of Surgical-Wound Infection and Shorten Hospitalization,1996-05-09,2490,journal-article,8606715,1,A5068541699,Andrea Kurz,"Departments of Anesthesiology and General Intensive Care, University of Vienna, Vienna, Austria; Thermoregulation Research Laboratory and the Department of Anesthesia, University of California, San Francisco","University of California, San Francisco",I180670191,1
W2334231168,56,Perioperative Normothermia to Reduce the Incidence of Surgical-Wound Infection and Shorten Hospitalization,1996-05-09,2490,journal-article,8606715,1,A5068541699,Andrea Kurz,"Departments of Anesthesiology and General Intensive Care, University of Vienna, Vienna, Austria; Thermoregulation Research Laboratory and the Department of Anesthesia, University of California, San Francisco",University of Vienna,I129774422,2
W2334231168,56,Perioperative Normothermia to Reduce the Incidence of Surgical-Wound Infection and Shorten Hospitalization,1996-05-09,2490,journal-article,8606715,2,A5042996287,Daniel I. Sessler,"Departments of Anesthesiology and General Intensive Care, University of Vienna, Vienna, Austria; Thermoregulation Research Laboratory and the Department of Anesthesia, University of California, San Francisco","University of California, San Francisco",I180670191,1
W2334231168,56,Perioperative Normothermia to Reduce the Incidence of Surgical-Wound Infection and Shorten Hospitalization,1996-05-09,2490,journal-article,8606715,2,A5042996287,Daniel I. Sessler,"Departments of Anesthesiology and General Intensive Care, University of Vienna, Vienna, Austria; Thermoregulation Research Laboratory and the Department of Anesthesia, University of California, San Francisco",University of Vienna,I129774422,2
W2334231168,56,Perioperative Normothermia to Reduce the Incidence of Surgical-Wound Infection and Shorten Hospitalization,1996-05-09,2490,journal-article,8606715,3,A5012064145,Rainer Lenhardt,"Departments of Anesthesiology and General Intensive Care, University of Vienna, Vienna, Austria",University of Vienna,I129774422,1
W2323239293,133,Effect of Immunization with a Common Recall Antigen on Viral Expression in Patients Infected with Human Immunodeficiency Virus Type 1,1996-05-09,356,journal-article,8606717,1,A5064502504,Sharilyn K. Stanley,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2323239293,133,Effect of Immunization with a Common Recall Antigen on Viral Expression in Patients Infected with Human Immunodeficiency Virus Type 1,1996-05-09,356,journal-article,8606717,2,A5064409926,Mario Ostrowski,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2323239293,133,Effect of Immunization with a Common Recall Antigen on Viral Expression in Patients Infected with Human Immunodeficiency Virus Type 1,1996-05-09,356,journal-article,8606717,3,A5055896712,J. Shawn Justement,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2323239293,133,Effect of Immunization with a Common Recall Antigen on Viral Expression in Patients Infected with Human Immunodeficiency Virus Type 1,1996-05-09,356,journal-article,8606717,4,A5074851323,Kira R. Gantt,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases",National Institute of Allergy and Infectious Diseases,I4210134534,1
W2323239293,133,Effect of Immunization with a Common Recall Antigen on Viral Expression in Patients Infected with Human Immunodeficiency Virus Type 1,1996-05-09,356,journal-article,8606717,5,A5044073536,S. Susan Hedayati,"Laboratory of Immunoregulation, National Institute of Allergy and Infectious Diseases",National Institute of Allergy and Infectious Diseases,I4210134534,1
