id,abstract_len,title,pub_date,retracted,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2090945426,71,"Mount Pinatubo Aerosols, Chlorofluorocarbons, and Ozone Depletion",1992-08-28,FALSE,228,journal-article,17742756,1,A5066939099,Guy Brasseur,"National Center for Atmospheric Research, Post Office Box 3000, Boulder, CO 80307",National Center for Atmospheric Research,I107766831,1
W2090945426,71,"Mount Pinatubo Aerosols, Chlorofluorocarbons, and Ozone Depletion",1992-08-28,FALSE,228,journal-article,17742756,2,A5080215371,C. Granier,"National Center for Atmospheric Research, Post Office Box 3000, Boulder, CO 80307",National Center for Atmospheric Research,I107766831,1
W2039061568,69,Mechanisms of Porphyroblast Crystallization: Results from High-Resolution Computed X-ray Tomography,1992-08-28,FALSE,115,journal-article,17742755,1,A5034609282,William D. Carlson,"Department of Geological Sciences, University of Texas at Austin, Austin, TX 78712",The University of Texas at Austin,I86519309,1
W2039061568,69,Mechanisms of Porphyroblast Crystallization: Results from High-Resolution Computed X-ray Tomography,1992-08-28,FALSE,115,journal-article,17742755,2,A5040895643,Cambria Denison,"Department of Geological Sciences, University of Texas at Austin, Austin, TX 78712",The University of Texas at Austin,I86519309,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,1,A5045842491,Kenneth S. Johnson,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039, and Monterey Bay Aquarium Research Institute, 160 Central Avenue, Pacific Grove, CA 93950",Monterey Bay Aquarium Research Institute,I1319261023,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,1,A5045842491,Kenneth S. Johnson,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039, and Monterey Bay Aquarium Research Institute, 160 Central Avenue, Pacific Grove, CA 93950",Moss Landing Marine Laboratories,I95850191,2
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,2,A5023442531,William M. Berelson,"Department of Geological Sciences, University of Southern California, Los Angeles, CA 90089",University of Southern California,I1174212,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,3,A5077917531,Kenneth H. Coale,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039",Moss Landing Marine Laboratories,I95850191,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,4,A5033241141,Teresa Coley,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039",Moss Landing Marine Laboratories,I95850191,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,5,A5086512494,Virginia A. Elrod,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039",Moss Landing Marine Laboratories,I95850191,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,6,A5081505137,W.R. Fairey,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039",Moss Landing Marine Laboratories,I95850191,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,7,A5013464940,Helen D. Iams,"Department of Geological Sciences, University of Southern California, Los Angeles, CA 90089",University of Southern California,I1174212,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,8,A5027085913,Tammy E. Kilgore,"Department of Geological Sciences, University of Southern California, Los Angeles, CA 90089",University of Southern California,I1174212,1
W2077711976,70,Manganese Flux from Continental Margin Sediments in a Transect Through the Oxygen Minimum,1992-08-28,FALSE,93,journal-article,17742757,9,A5036621363,Jocelyn L. Nowicki,"Moss Landing Marine Laboratories, Post Office Box 450, Moss Landing, CA 95039",Moss Landing Marine Laboratories,I95850191,1
W2031595202,0,Sex Mechanism in Polyploids of <i>Melandrium</i>,1939-04-28,FALSE,48,journal-article,17742784,1,A5034710056,H. E. Warmke,"Carnegie Institution of Washington, Cold Spring Harbor, N. Y.",Carnegie Institution for Science,I196817621,1
W2031595202,0,Sex Mechanism in Polyploids of <i>Melandrium</i>,1939-04-28,FALSE,48,journal-article,17742784,2,A5035820107,Albert Francis Blakeslee,"Carnegie Institution of Washington, Cold Spring Harbor, N. Y.",Carnegie Institution for Science,I196817621,1
W1998002688,72,Siderophile Elements and the Earth's Formation,1992-08-28,FALSE,37,journal-article,17742759,1,A5018668041,J. H. Jones,"Johnson Space Center, National Aeronautics and Space Administration Houston, TX 77058",National Aeronautics and Space Administration,I4210124779,1
W1998002688,72,Siderophile Elements and the Earth's Formation,1992-08-28,FALSE,37,journal-article,17742759,1,A5018668041,J. H. Jones,"Johnson Space Center, National Aeronautics and Space Administration Houston, TX 77058",Johnson Space Center,I4210149382,2
