id,abstract_len,title,pub_date,retracted,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2094620274,64,Polyphenolic Substance of <i>Mytilus edulis</i> : Novel Adhesive Containing L-Dopa and Hydroxyproline,1981-05-29,FALSE,897,journal-article,17779975,1,A5019726510,J. Herbert Waite,"Department of Biochemistry, University of Connecticut Health Center Farmington 06032.",University of Connecticut Health Center,I75929689,1
W2094620274,64,Polyphenolic Substance of <i>Mytilus edulis</i> : Novel Adhesive Containing L-Dopa and Hydroxyproline,1981-05-29,FALSE,897,journal-article,17779975,2,A5020226093,Marvin L. Tanzer,"Department of Biochemistry, University of Connecticut Health Center Farmington 06032.",University of Connecticut Health Center,I75929689,1
W2064412659,23,Distal Regeneration and Symmetry,1981-05-29,FALSE,332,journal-article,17779956,1,A5069836622,Susan V. Bryant,"Department of Developmental and Cell Biology and the Developmental Biology Center at the University of California, Irvine, Irvine 92717","University of California, Irvine",I204250578,1
W2064412659,23,Distal Regeneration and Symmetry,1981-05-29,FALSE,332,journal-article,17779956,2,A5090977047,Vernon French,"Department of Zoology, University of Edinburgh, Scotland",University of Edinburgh,I98677209,1
W2064412659,23,Distal Regeneration and Symmetry,1981-05-29,FALSE,332,journal-article,17779956,3,A5015474515,Peter J. Bryant,"Department of Developmental and Cell Biology and the Developmental Biology Center at the University of California, Irvine, Irvine 92717","University of California, Irvine",I204250578,1
W2096484520,56,Evolutionary Significance of Polyploidy in the Pteridophyta,1966-07-15,FALSE,163,journal-article,17780002,1,A5038270928,Edward J. Klekowski,"Botany Department, University of California, Berkeley","University of California, Berkeley",I95457486,1
W2096484520,56,Evolutionary Significance of Polyploidy in the Pteridophyta,1966-07-15,FALSE,163,journal-article,17780002,2,A5020853124,Herbert G. Baker,"Botany Department, University of California, Berkeley","University of California, Berkeley",I95457486,1
W2015480719,64,Todorokites: A New Family of Naturally Occurring Manganese Oxides,1981-05-29,FALSE,160,journal-article,17779972,1,A5040080338,Shirley Turner,,,,1
W2015480719,64,Todorokites: A New Family of Naturally Occurring Manganese Oxides,1981-05-29,FALSE,160,journal-article,17779972,2,A5045756435,Peter R. Buseck,,,,1
W1994595928,49,Electron-Microscopic Autoradiography of Rat Hypothalamus after Intraventricular H<sup>3</sup>-Norepinephrine,1966-07-15,FALSE,113,journal-article,17780004,1,A5021238759,G K Aghajanian,"Departments of Psychiatry and Anatomy, Yale University, New Haven, Connecticut",Yale University,I32971472,1
W1994595928,49,Electron-Microscopic Autoradiography of Rat Hypothalamus after Intraventricular H<sup>3</sup>-Norepinephrine,1966-07-15,FALSE,113,journal-article,17780004,2,A5059559352,Floyd E. Bloom,"Departments of Psychiatry and Anatomy, Yale University, New Haven, Connecticut",Yale University,I32971472,1
W2049523715,42,Salt Glands in the Tongue of the Estuarine Crocodile <i>Crocodylus porosus</i>,1981-05-29,FALSE,92,journal-article,17779977,1,A5022383239,L. E. Taplin,"School of Biological Sciences, University of Sydney, N.S.W. 2006, Australia",University of Sydney,I129604602,1
W2049523715,42,Salt Glands in the Tongue of the Estuarine Crocodile <i>Crocodylus porosus</i>,1981-05-29,FALSE,92,journal-article,17779977,2,A5062664061,Gordon C. Grigg,"School of Biological Sciences, University of Sydney, N.S.W. 2006, Australia",University of Sydney,I129604602,1
W2161360737,483,The Martian Surface,1966-07-15,FALSE,91,journal-article,17779983,1,A5086950247,E. Öpik,"University of Maryland, College Park, and astronomer, Armagh Observatory, Armagh, Northern Ireland.",,,1
W2071117234,116,Erosion of Galilean Satellite Surfaces by Jovian Magnetosphere Particles,1981-05-29,FALSE,67,journal-article,17779973,1,A5048439051,R. E. Johnson,"Department of Nuclear Engineering and Engineering Physics, University of Virginia, Charlottesville 22901",University of Virginia,I51556381,1
W2071117234,116,Erosion of Galilean Satellite Surfaces by Jovian Magnetosphere Particles,1981-05-29,FALSE,67,journal-article,17779973,2,A5001014849,L. J. Lanzerotti,"Bell Laboratories, Murray Hill, New Jersey 07974",,,1
W2071117234,116,Erosion of Galilean Satellite Surfaces by Jovian Magnetosphere Particles,1981-05-29,FALSE,67,journal-article,17779973,3,A5081017202,W. L. Brown,"Bell Laboratories, Murray Hill, New Jersey 07974",,,1
W2071117234,116,Erosion of Galilean Satellite Surfaces by Jovian Magnetosphere Particles,1981-05-29,FALSE,67,journal-article,17779973,4,A5025577420,T. P. Armstrong,"Department of Physics and Astronomy, University of Kansas, Lawrence 66045",University of Kansas,I146416000,1
W2036573732,70,Fungicide Selective for Basidiomycetes,1966-07-15,FALSE,46,journal-article,17780003,1,A5082247315,L. V. Edgington,"Department of Plant Pathology and Botany, Connecticut Agricultural Experiment Station, New Haven",Connecticut Agricultural Experiment Station,I2799945547,1
W2036573732,70,Fungicide Selective for Basidiomycetes,1966-07-15,FALSE,46,journal-article,17780003,2,A5032097269,Gerald S. Walton,"Department of Plant Pathology and Botany, Connecticut Agricultural Experiment Station, New Haven",Connecticut Agricultural Experiment Station,I2799945547,1
W2036573732,70,Fungicide Selective for Basidiomycetes,1966-07-15,FALSE,46,journal-article,17780003,3,A5071088707,P. M. Miller,"Department of Plant Pathology and Botany, Connecticut Agricultural Experiment Station, New Haven",Connecticut Agricultural Experiment Station,I2799945547,1
W2025896936,41,Dictyota dichotoma (Phaeophyceae): Identification of the Sperm Attractant,1981-05-29,FALSE,36,journal-article,17779976,1,A5063003159,Dieter G. Müller,"Fakultät für Biologie der Universität, D 7750 Konstanz, Federal Republic of Germany",University of Konstanz,I189712700,1
