id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2017807462,The Cerebrovascular Accident and Coronary Occlusion in Anesthesia,1962-10-27,92,journal-article,14033722,1,A5028103850,Richard B. Knapp,,,,1
W2062757141,THE PREVALENCE OF COMMON MENSTRUAL SYMPTOMS,1963-07-01,82,journal-article,14032131,1,A5031348487,Neil Kessel,"OF THE MEDICAL RESEARCH COUNCIL NEUROPSYCHIATRIC RESEARCH UNIT. CARSHALTON. SURREY, United Kingdom",Medical Research Council,I90344618,1
W2062757141,THE PREVALENCE OF COMMON MENSTRUAL SYMPTOMS,1963-07-01,82,journal-article,14032131,2,A5075384105,Alec Coppen,"OF THE MEDICAL RESEARCH COUNCIL NEUROPSYCHIATRIC RESEARCH UNIT. CARSHALTON. SURREY, United Kingdom",Medical Research Council,I90344618,1
W2068453121,ALKALINE-PHOSPHATASE ACTIVITY OF POLYMORPHS IN MONGOLISM,1962-12-01,79,journal-article,14032857,1,A5005267569,MargaretJ. King,"OF THE M.R.C. CLINICAL EFFECTS OF RADIATION RESEARCH UNIT, WESTERN GENERAL HOSPITAL, EDINBURGH, United Kingdom",Western General Hospital,I2800150677,1
W2068453121,ALKALINE-PHOSPHATASE ACTIVITY OF POLYMORPHS IN MONGOLISM,1962-12-01,79,journal-article,14032857,2,A5015271082,ElsaM. Gillis,"OF THE M.R.C. CLINICAL EFFECTS OF RADIATION RESEARCH UNIT, WESTERN GENERAL HOSPITAL, EDINBURGH, United Kingdom",Western General Hospital,I2800150677,1
W2068453121,ALKALINE-PHOSPHATASE ACTIVITY OF POLYMORPHS IN MONGOLISM,1962-12-01,79,journal-article,14032857,3,A5089161171,A.G. Baikie,"OF THE M.R.C. CLINICAL EFFECTS OF RADIATION RESEARCH UNIT, WESTERN GENERAL HOSPITAL, EDINBURGH, United Kingdom",Western General Hospital,I2800150677,1
W2080257199,Stimulation of Erythropoiesis by Androgenic Hormones,1962-12-01,63,journal-article,14031936,1,A5027990809,B. J. Kennedy,,,,1
W2073572760,Misplacement of the Elderly in Hospital,1962-12-08,59,journal-article,14032471,1,A5067948473,C. Kidd,,,,1
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,1,A5053487339,Gerald A. Klassen,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Royal Victoria Regional Health Centre,I4210088756,1
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,1,A5053487339,Gerald A. Klassen,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Montreal Children's Hospital,I2799950917,2
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,2,A5003341032,C. Broadhurst,,,,1
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,3,A5027837591,Dwight I. Peretz,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Royal Victoria Regional Health Centre,I4210088756,1
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,3,A5027837591,Dwight I. Peretz,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Montreal Children's Hospital,I2799950917,2
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,4,A5039977536,Albert L. Johnson,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Royal Victoria Regional Health Centre,I4210088756,1
W1972809121,CARDIAC RESUSCITATION IN 126 MEDICAL PATIENTS USING EXTERNAL CARDIAC MASSAGE,1963-06-01,54,journal-article,14033286,4,A5039977536,Albert L. Johnson,"From the Joint Cardiorespiratory Service of the Royal Victoria Hospital and the Montreal Children's Hospital, Montreal, Canada",Montreal Children's Hospital,I2799950917,2
W2000654832,OPERATIVE USE OF ULTRASONICS IN CHOLELITHIASIS,1963-05-01,52,journal-article,14033770,1,A5023111112,PeterR. Knight,,,,1
