id,title,pub_date,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2034766002,STIMULATED ACTIVITY OF NATURAL ENEMIES OF NEMATODES.,1937-01-29,114,journal-article,17754209,1,A5053273519,M. B. Linford,"Pineapple Experiment Station Honolulu, T. H.",,,1
W2068553011,Large Submarine Sand Waves,1962-06-08,91,journal-article,17754177,1,A5048905246,G. F. Jordan,Office of Research and Development of the U.S. Coast and Geodetic Survey,National Geodetic Survey,I8459677,1
W2081865729,Chemical Regulation of Flower Sex Expression and Vegetative Growth in <i>Cucumis sativus</i> L.,1962-06-08,60,journal-article,17754182,1,A5014188627,W. D. Mitchell,"Department of Horticulture, Michigan State University, East Lansing",Michigan State University,I87216513,1
W2081865729,Chemical Regulation of Flower Sex Expression and Vegetative Growth in <i>Cucumis sativus</i> L.,1962-06-08,60,journal-article,17754182,2,A5042749496,S. H. Wittwer,"Department of Horticulture, Michigan State University, East Lansing",Michigan State University,I87216513,1
W2088957207,Renewable Resources for the Production of Fuels and Chemicals,1976-02-20,49,journal-article,17754175,1,A5069020806,K. V. Sarkanen,"Professor of wood chemistry, College of Forest Resources, University of Washington, Seattle 98195",University of Washington,I201448701,1
W2011460847,"Cosmogenic Carbon-14 in Meteorites and Terrestrial Ages of ""Finds"" and Craters",1962-06-08,42,journal-article,17754181,1,A5000905713,P. S. Goel,"Department of Chemistry, Carnegie Institute of Technology, Pittsburgh, Pennsylvania",,,1
W2011460847,"Cosmogenic Carbon-14 in Meteorites and Terrestrial Ages of ""Finds"" and Craters",1962-06-08,42,journal-article,17754181,2,A5003004104,Truman P. Kohman,"Department of Chemistry, Carnegie Institute of Technology, Pittsburgh, Pennsylvania",,,1
W2060733189,"Rainfall and Deposition of Strontium-90 in Clallam County, Washington",1962-06-08,20,journal-article,17754183,1,A5081281357,Edward P. Hardy,"Health and Safety Laboratory, U.S. Atomic Energy Commission, New York,",,,1
W2060733189,"Rainfall and Deposition of Strontium-90 in Clallam County, Washington",1962-06-08,20,journal-article,17754183,2,A5081762506,Lyle T. Alexander,"U. S. Soil Conservation Service, Beltsville, Maryland",Natural Resources Conservation Service,I1289387233,1
W2061099656,Agricultural Residues and Other Nonwood Plant Fibers,1976-02-20,19,journal-article,17754174,1,A5057287930,J. E. Atchison,"President of Joseph E. Atchison Consultants, Inc., 30 East 42 Street, New York 10017",,,1
W2013679562,The National Forests,1976-02-20,18,journal-article,17754173,1,A5064877723,Marion Clawson,"Consultant to Resources for the Future, Inc., Washington, D.C. 20036, and is Regents Professor, University of California, Berkeley 94720",Resources For The Future,I2801278523,1
W2013679562,The National Forests,1976-02-20,18,journal-article,17754173,1,A5064877723,Marion Clawson,"Consultant to Resources for the Future, Inc., Washington, D.C. 20036, and is Regents Professor, University of California, Berkeley 94720","University of California, Berkeley",I95457486,2
W2027405464,Standards of Conduct,1962-06-08,16,journal-article,17754201,1,A5034545106,J. L. Haybittle,"Radiotherapeutic Centre, Addenbrooke's Hospital, Cambridge, England",Addenbrooke's Hospital,I4210156194,1
W1963813783,A Durable Peace,1962-06-08,15,journal-article,17754185,1,A5065520799,R. K. Godfrey,"Department of Biological Sciences, Florida State University, Tallahassee,",Florida State University,I103163165,1
W1963813783,A Durable Peace,1962-06-08,15,journal-article,17754185,2,A5012448724,Herman Kurz,"Department of Biological Sciences, Florida State University, Tallahassee,",Florida State University,I103163165,1
W4251833471,Sex Variations in the Utilization of Iron by Anemic Rats,1937-01-29,10,journal-article,17754210,1,A5085861621,Margaret Cammack Smith,University of Arizona,University of Arizona,I138006243,1
W4251833471,Sex Variations in the Utilization of Iron by Anemic Rats,1937-01-29,10,journal-article,17754210,2,A5062073929,Louise Otis,University of Arizona,University of Arizona,I138006243,1
W1971262201,Timber: More Effective Utilization,1976-02-20,6,journal-article,17754172,1,A5008368468,Edwin C. Jahn,,,,1
W1971262201,Timber: More Effective Utilization,1976-02-20,6,journal-article,17754172,2,A5069029435,S. Preston,,,,1
W1974875950,Science and the American Press,1937-01-29,6,journal-article,17754203,1,A5029701783,David W. Dietz,The Scripps-Howard Newspapers,Scripps (United States),I4210140114,1
W3196682201,But You Have Premises To Keep,1962-06-08,5,journal-article,17754176,1,A5058778785,Joseph Mallord William Turner,,,,1
W2092101455,A SEX DIFFERENCE ENCOUNTERED IN THE TRANSPLANTATION OF A CARCINOMA OF THE OVARY,1937-01-29,4,journal-article,17754206,1,A5031552056,Leonell C. Strong,,,,1
W2092101455,A SEX DIFFERENCE ENCOUNTERED IN THE TRANSPLANTATION OF A CARCINOMA OF THE OVARY,1937-01-29,4,journal-article,17754206,2,A5066142293,R. T. Hill,,,,1
W1984426963,Materials for Advanced Energy Technologies,1976-02-20,3,journal-article,17754170,1,A5054381890,Richard S. Claassen,"Director of materials and processes at Sandia Laboratories, Albuquerque, New Mexico 87115",,,1
W2063538159,A Sex Difference Encountered in the Transplantation of a Carcinoma of the Ovary,1937-01-29,3,journal-article,17754205,1,A5044806187,Lyell J. Thomas,University of Illinois,University of Illinois System,I2801919071,1
W2073575140,Fish in the Latah Formation of Idaho,1937-01-29,3,journal-article,17754207,1,A5082061702,Maurice Copisarow,University Of Idaho,University of Idaho,I155093810,1
W2014097007,A Catalytic Method for the Preparation of α-Pyroabietic Acid,1937-01-29,2,journal-article,17754211,1,A5016914204,Glenn W. Blaydes,the Ohio State University,The Ohio State University,I52357470,1
W2020953747,Wood and Plant Materials,1976-02-20,2,journal-article,17754171,1,A5025880275,James Bethel,,,,1
W2020953747,Wood and Plant Materials,1976-02-20,2,journal-article,17754171,2,A5082083374,Gerard F. Schreuder,,,,1
W2072692712,A New Source of Diphyllobothrium Infection,1937-01-29,2,journal-article,17754204,1,A5043460127,S. K. Kon,University of Illinois,University of Illinois System,I2801919071,1
W2058348169,Application of Information Extraction Techniques to Human Scanning,1962-06-08,1,journal-article,17754184,1,A5032778956,Amit Solomon,,,,1
W2058348169,Application of Information Extraction Techniques to Human Scanning,1962-06-08,1,journal-article,17754184,2,A5016026832,Hymer L. Friedell,,,,1
W2058348169,Application of Information Extraction Techniques to Human Scanning,1962-06-08,1,journal-article,17754184,3,A5024551538,Henry Quastler,,,,1
W2089233100,A SIMPLE CARBORUNDUM PENCIL,1937-01-29,1,journal-article,17754214,1,A5022831523,R.M. Chatters,,,,1
W2314730247,A CATALYTIC METHOD FOR THE PREPARATION OF agr-PYROABIETIC ACID,1937-01-29,1,journal-article,17754212,1,A5046659293,Fleck Ee,,,,1
W2314730247,A CATALYTIC METHOD FOR THE PREPARATION OF agr-PYROABIETIC ACID,1937-01-29,1,journal-article,17754212,2,A5054831506,S. Palkin,,,,1
W2409105094,Congress Shrugs at Proposals On Laboratory Animal Welfare,1962-06-08,1,journal-article,17754180,1,A5074178311,G Ds,,,,1
W1965280475,Rats for Research,1962-06-08,0,journal-article,17754202,1,A5002953557,Robert B. Lockard,"Department of Psychology, University of Wisconsin, Madison",University of Wisconsin–Madison,I135310074,1
W1984651561,A Durable Peace,1962-06-08,0,journal-article,17754186,1,A5049325684,Joseph Mayer,,,,1
W1991213844,Desert Vegetation in Nevada,1962-06-08,0,journal-article,17754190,1,A5040932488,Frank E. Egler,"Aton Forest, Norfolk, Connecticut",,,1
W2016724505,"Heredity, Environment, and Culture",1962-06-08,0,journal-article,17754199,1,A5015556952,F. Raymond Fosberg,"212 Holmes Run Road, Falls Church, Virginia",,,1
W2029129094,The Cunningham Amendment,1962-06-08,0,journal-article,17754192,1,A5024047752,Glenn K Cunningham,"United States House of Representatives, Washington, D.C.",United States House of Representatives,I4210094455,1
W2041139030,FISH IN THE LATAH FORMATION OF IDAHO,1937-01-29,0,journal-article,17754208,1,A5052219859,Vernon E. Scheid,University of Idaho.,University of Idaho,I155093810,1
W2049096611,"Preliminary Announcement of the Summer Meeting to Be Held in Chicago from June 19 to 30, in Connection with the Century of Progress Exposition",1933-05-19,0,journal-article,17754216,1,A5024215302,Henry B. Ward,,,,1
W2054291792,National Balance Sheets and the Effects of Inflation: This new tool of economic analysis is used here to study how inflation affects various groups of people.,1962-06-08,0,journal-article,17754178,1,A5019551722,Raymond W. Goldsmith,"Yale University, National Bureau of Economic Research, New York",National Bureau of Economic Research,I1321305853,1
W2054291792,National Balance Sheets and the Effects of Inflation: This new tool of economic analysis is used here to study how inflation affects various groups of people.,1962-06-08,0,journal-article,17754178,1,A5019551722,Raymond W. Goldsmith,"Yale University, National Bureau of Economic Research, New York",Yale University,I32971472,2
W2063936559,Lemurs Born in Captivity,1962-06-08,0,journal-article,17754193,1,A5063408678,Doris S. Cellarius,"New York Zoological Society, New York",Wildlife Conservation Society,I1332460256,1
W2071116436,"Heredity, Environment, and Culture",1962-06-08,0,journal-article,17754198,1,A5033451515,Sidney G. Kingsley,"212 Holmes Run Road, Falls Church, Virginia",,,1
W2081165634,A Modified Quinhydrone Electrode for Tissues,1937-01-29,0,journal-article,17754213,1,A5024325067,John C. Krantz,"School of Medicine, University of Maryland",University of Mary,I116545467,1
W2081165634,A Modified Quinhydrone Electrode for Tissues,1937-01-29,0,journal-article,17754213,2,A5001899909,C. Jelleff Carr,"School of Medicine, University of Maryland",University of Mary,I116545467,1
W2081165634,A Modified Quinhydrone Electrode for Tissues,1937-01-29,0,journal-article,17754213,3,A5010812714,Ruth Musser,"School of Medicine, University of Maryland",University of Mary,I116545467,1
W2088373661,Federal Pay Reform: Congress Shows Little Enthusiasm for Bill Designed To Raise Specialists' Salaries,1962-06-08,0,journal-article,17754179,1,A5029948473,Daniel S. Greenberg,,,,1
W3197000628,Response : Shelter Program,1962-06-08,0,journal-article,17754196,1,A5011751477,Howard Margolis,,,,1
