id,which_mesh,term,is_major_topic
W2066168019,1,2-Amino-5-phosphonovalerate,TRUE
W2066168019,2,2-Amino-5-phosphonovalerate,TRUE
W2066168019,3,Brain Ischemia,TRUE
W2066168019,4,"Receptors, Neurotransmitter",TRUE
W2066168019,5,Amino Acids,FALSE
W2066168019,6,Amino Acids,FALSE
W2066168019,7,Animals,FALSE
W2066168019,8,Brain Ischemia,FALSE
W2066168019,9,Brain Ischemia,FALSE
W2066168019,10,Hippocampus,FALSE
W2066168019,11,Hippocampus,FALSE
W2066168019,12,Hippocampus,FALSE
W2066168019,13,Rats,FALSE
W2066168019,14,"Receptors, N-Methyl-D-Aspartate",FALSE
W2066168019,15,"Receptors, Neurotransmitter",FALSE
W2066168019,16,"Receptors, Neurotransmitter",FALSE
W2066168019,17,Synaptic Transmission,FALSE
W2066168019,18,Synaptic Transmission,FALSE
W2089298737,1,B-Lymphocytes,TRUE
W2089298737,2,"Chromosomes, Human, 13-15",TRUE
W2089298737,3,"Chromosomes, Human, 16-18",TRUE
W2089298737,4,"Cloning, Molecular",TRUE
W2089298737,5,Leukemia,TRUE
W2089298737,6,"Translocation, Genetic",TRUE
W2089298737,7,Animals,FALSE
W2089298737,8,B-Lymphocytes,FALSE
W2089298737,9,Chromosome Banding,FALSE
W2089298737,10,Cricetinae,FALSE
W2089298737,11,Cricetulus,FALSE
W2089298737,12,DNA Restriction Enzymes,FALSE
W2089298737,13,"DNA, Recombinant",FALSE
W2089298737,14,"DNA, Recombinant",FALSE
W2089298737,15,Humans,FALSE
W2089298737,16,Hybrid Cells,FALSE
W2089298737,17,Hybrid Cells,FALSE
W2089298737,18,Karyotyping,FALSE
W2089298737,19,Leukemia,FALSE
W2089298737,20,Mice,FALSE
W2016254453,1,DNA,TRUE
W2016254453,2,"DNA Topoisomerases, Type I",TRUE
W2016254453,3,Doxorubicin,TRUE
W2016254453,4,Adenosine Triphosphate,FALSE
W2016254453,5,Adenosine Triphosphate,FALSE
W2016254453,6,"DNA Topoisomerases, Type I",FALSE
W2016254453,7,Doxorubicin,FALSE
W2016254453,8,Sodium Chloride,FALSE
W2016254453,9,Sodium Chloride,FALSE
W2087166333,1,Biocompatible Materials,TRUE
W2087166333,2,Animals,FALSE
W2087166333,3,Biocompatible Materials,FALSE
W2087166333,4,Biocompatible Materials,FALSE
W2087166333,5,Bone Cements,FALSE
W2087166333,6,Bone Cements,FALSE
W2087166333,7,Bone and Bones,FALSE
W2087166333,8,Bone and Bones,FALSE
W2087166333,9,Ceramics,FALSE
W2087166333,10,Dogs,FALSE
W2087166333,11,Durapatite,FALSE
W2087166333,12,Glass,FALSE
W2087166333,13,Humans,FALSE
W2087166333,14,Hydroxyapatites,FALSE
W2087166333,15,Hydroxyapatites,FALSE
W2087166333,16,Male,FALSE
W2087166333,17,Orthodontics,FALSE
W2087166333,18,Rabbits,FALSE
W2087166333,19,Rats,FALSE
W2087166333,20,"Rats, Inbred Strains",FALSE
W2087166333,21,Surface Properties,FALSE
W2087166333,22,Tissue Adhesives,FALSE
W2087166333,23,Tissue Adhesives,FALSE
W2055296386,1,Growth Inhibitors,TRUE
W2055296386,2,Peptides,TRUE
W2055296386,3,Animals,FALSE
W2055296386,4,Cell Membrane,FALSE
W2055296386,5,Cell Membrane,FALSE
W2055296386,6,Chlorocebus aethiops,FALSE
W2055296386,7,DNA,FALSE
W2055296386,8,DNA,FALSE
W2055296386,9,Growth Inhibitors,FALSE
W2055296386,10,Growth Inhibitors,FALSE
W2055296386,11,Growth Inhibitors,FALSE
W2055296386,12,Peptides,FALSE
W2055296386,13,Peptides,FALSE
W2055296386,14,"Receptors, Cell Surface",FALSE
W2055296386,15,"Receptors, Cell Surface",FALSE
W2055296386,16,Transforming Growth Factors,FALSE
W1975868741,1,B-Lymphocytes,TRUE
W1975868741,2,Genes,TRUE
W1975868741,3,Immunoglobulin J-Chains,TRUE
W1975868741,4,Immunoglobulin Variable Region,TRUE
W1975868741,5,Amino Acid Sequence,FALSE
W1975868741,6,Animals,FALSE
W1975868741,7,B-Lymphocytes,FALSE
W1975868741,8,Base Sequence,FALSE
W1975868741,9,Bone Marrow,FALSE
W1975868741,10,Bone Marrow,FALSE
W1975868741,11,DNA Restriction Enzymes,FALSE
W1975868741,12,Fetus,FALSE
W1975868741,13,Hybridomas,FALSE
W1975868741,14,Hybridomas,FALSE
W1975868741,15,Immunoglobulin J-Chains,FALSE
W1975868741,16,Immunoglobulin Variable Region,FALSE
W1975868741,17,Liver,FALSE
W1975868741,18,Liver,FALSE
W1975868741,19,Mice,FALSE
W1975868741,20,"Mice, Inbred BALB C",FALSE
W1979527189,1,"Cell Transformation, Neoplastic",TRUE
W1979527189,2,Codon,TRUE
W1979527189,3,Mutation,TRUE
W1979527189,4,Oncogenes,TRUE
W1979527189,5,"RNA, Messenger",TRUE
W1979527189,6,Amino Acid Sequence,FALSE
W1979527189,7,Base Sequence,FALSE
W1979527189,8,DNA Restriction Enzymes,FALSE
W1979527189,9,Humans,FALSE
W1979527189,10,Transfection,FALSE
W1981282152,1,Neurons,TRUE
W1981282152,2,Serotonin,TRUE
W1981282152,3,Synapses,TRUE
W1981282152,4,Animal Population Groups,FALSE
W1981282152,5,Animals,FALSE
W1981282152,6,"Cells, Cultured",FALSE
W1981282152,7,Neurons,FALSE
W1981282152,8,Neurons,FALSE
W1981282152,9,Serotonin,FALSE
W1981282152,10,Snails,FALSE
W1981282152,11,Synapses,FALSE
W1981282152,12,Synaptic Transmission,FALSE
W2084492613,1,B-Lymphocytes,TRUE
W2084492613,2,DNA Nucleotidylexotransferase,TRUE
W2084492613,3,DNA Nucleotidyltransferases,TRUE
W2084492613,4,DNA Transposable Elements,TRUE
W2084492613,5,Genes,TRUE
W2084492613,6,Immunoglobulin Heavy Chains,TRUE
W2084492613,7,Immunoglobulin Variable Region,TRUE
W2084492613,8,Animals,FALSE
W2084492613,9,B-Lymphocytes,FALSE
W2084492613,10,Base Sequence,FALSE
W2084492613,11,Cell Line,FALSE
W2084492613,12,"Cell Transformation, Neoplastic",FALSE
W2084492613,13,"Cloning, Molecular",FALSE
W2084492613,14,DNA Nucleotidylexotransferase,FALSE
W2084492613,15,DNA Nucleotidyltransferases,FALSE
W2084492613,16,DNA Restriction Enzymes,FALSE
W2084492613,17,Immunoglobulin Heavy Chains,FALSE
W2084492613,18,Immunoglobulin Variable Region,FALSE
W2084492613,19,"Leukemia, Experimental",FALSE
W2084492613,20,"Leukemia, Experimental",FALSE
W2084492613,21,Mice,FALSE
W2084492613,22,"Mice, Inbred BALB C",FALSE
W1965001673,1,"Cloning, Molecular",TRUE
W1965001673,2,Oncogenes,TRUE
W1965001673,3,Platelet-Derived Growth Factor,TRUE
W1965001673,4,Amino Acid Sequence,FALSE
W1965001673,5,Animals,FALSE
W1965001673,6,Base Sequence,FALSE
W1965001673,7,"Cells, Cultured",FALSE
W1965001673,8,DNA,FALSE
W1965001673,9,DNA,FALSE
W1965001673,10,DNA Restriction Enzymes,FALSE
W1965001673,11,DNA Transposable Elements,FALSE
W1965001673,12,Endonucleases,FALSE
W1965001673,13,Genes,FALSE
W1965001673,14,Genes,FALSE
W1965001673,15,Mice,FALSE
W1965001673,16,"Mice, Inbred BALB C",FALSE
W1965001673,17,Nucleic Acid Hybridization,FALSE
W1965001673,18,Oncogenes,FALSE
W1965001673,19,Platelet-Derived Growth Factor,FALSE
W1965001673,20,Single-Strand Specific DNA and RNA Endonucleases,FALSE
W1965001673,21,"Transcription, Genetic",FALSE
W1965001673,22,"Transcription, Genetic",FALSE
W2012876380,1,Calcium,TRUE
W2012876380,2,Ion Channels,TRUE
W2012876380,3,Learning,TRUE
W2012876380,4,Memory,TRUE
W2012876380,5,Animals,FALSE
W2012876380,6,Calcium,FALSE
W2012876380,7,Electric Conductivity,FALSE
W2012876380,8,Ion Channels,FALSE
W2012876380,9,Mollusca,FALSE
W2012876380,10,Neurons,FALSE
W2012876380,11,Neurons,FALSE
W2012876380,12,Ocular Physiological Phenomena,FALSE
W2012876380,13,Potassium,FALSE
W2012876380,14,Potassium,FALSE
W2012876380,15,Synapses,FALSE
W2012876380,16,Synapses,FALSE
W2059005571,1,Acquired Immunodeficiency Syndrome,TRUE
W2059005571,2,Deltaretrovirus,TRUE
W2059005571,3,Saliva,TRUE
W2059005571,4,Acquired Immunodeficiency Syndrome,FALSE
W2059005571,5,Deltaretrovirus,FALSE
W2059005571,6,Enzyme-Linked Immunosorbent Assay,FALSE
W2059005571,7,Homosexuality,FALSE
W2059005571,8,Humans,FALSE
W2059005571,9,Male,FALSE
W2059005571,10,"Microscopy, Electron",FALSE
W2059005571,11,Monocytes,FALSE
W2059005571,12,Monocytes,FALSE
W2059005571,13,Saliva,FALSE
W2059005571,14,Viral Proteins,FALSE
W2059005571,15,Viral Proteins,FALSE
W2059770652,1,Acquired Immunodeficiency Syndrome,TRUE
W2059770652,2,Deltaretrovirus,TRUE
W2059770652,3,"Disease Models, Animal",TRUE
W2059770652,4,Pan troglodytes,TRUE
W2059770652,5,Acquired Immunodeficiency Syndrome,FALSE
W2059770652,6,Acquired Immunodeficiency Syndrome,FALSE
W2059770652,7,Acquired Immunodeficiency Syndrome,FALSE
W2059770652,8,Animals,FALSE
W2059770652,9,"Antibodies, Viral",FALSE
W2059770652,10,"Antibodies, Viral",FALSE
W2059770652,11,Deltaretrovirus,FALSE
W2059770652,12,Humans,FALSE
W2059770652,13,Leukocyte Count,FALSE
W2059770652,14,Lymph Nodes,FALSE
W2059770652,15,Lymph Nodes,FALSE
W2059770652,16,Pan troglodytes,FALSE
W2059770652,17,T-Lymphocytes,FALSE
W2004250171,1,Genes,TRUE
W2004250171,2,Immunoglobulin Variable Region,TRUE
W2004250171,3,"Receptors, Antigen, T-Cell",TRUE
W2004250171,4,"T-Lymphocytes, Helper-Inducer",TRUE
W2004250171,5,Amino Acid Sequence,FALSE
W2004250171,6,Animals,FALSE
W2004250171,7,Base Sequence,FALSE
W2004250171,8,Cell Line,FALSE
W2004250171,9,DNA Restriction Enzymes,FALSE
W2004250171,10,Humans,FALSE
W2004250171,11,Immunoglobulin Variable Region,FALSE
W2004250171,12,Immunoglobulins,FALSE
