id,abstract_len,title,pub_date,retracted,cite_count,pub_type,pmid,which_athr,athr_id,athr_name,raw_affl,inst,inst_id,which_affl
W2076746211,0,LONG-LIVED CELLS OF THE REDWOOD,1927-11-11,FALSE,12,journal-article,17809002,1,A5089128076,D. T. MacDougal,,,,1
W2076746211,0,LONG-LIVED CELLS OF THE REDWOOD,1927-11-11,FALSE,12,journal-article,17809002,2,A5062160033,Gilbert M. Smith,,,,1
W1969716589,0,What to Believe About Cosmic Rays,1935-03-01,FALSE,6,journal-article,17809028,1,A5028584342,R. A. Millikan,California Institute of Technology,California Institute of Technology,I122411786,1
W2039123756,0,SPECIALIZATION AND COOPERATION IN SCIENTIFIC RESEARCH,1927-11-11,FALSE,6,journal-article,17808995,1,A5070432501,Karl T. Compton,,,,1
W1987256955,0,Certain Aspects of Geologic Classifications and Correlations,1935-02-22,FALSE,5,journal-article,17809029,1,A5089147031,Rollin T. Chamberlin,The University of Chicago,University of Chicago,I40347166,1
W2038700409,0,The Possible Rôle of Micro-Organisms in the Precipitation of Calcium Carbonate in Tropical Seas,1931-05-29,FALSE,5,journal-article,17808976,1,A5044635549,W. Bavendamm,"Technische Hochschule, Dresden",Dresden University of Applied Sciences,I4210165059,1
W1970405039,94,ETIOLOGY OF EUROPEAN FOUL-BROOD OF BEES,1927-11-11,FALSE,3,journal-article,17808998,1,A5071668510,D. R. A. Wharton,,,,1
W1981754039,0,BRAZILIN STAIN ON SMEAR PREPARATIONS OF OENOTHERA POLLEN MOTHER CELLS,1930-10-10,FALSE,2,journal-article,17808986,1,A5058901495,J. M. Capinpin,"Biological Laboratory, Princeton University,",Princeton University,I20089843,1
W1992884798,0,SOME PROBLEMS IN BOTANICAL CLASSIFICATION,1927-11-11,FALSE,2,journal-article,17808996,1,A5008658711,G. P. Van Eseltine,,,,1
W2050591991,0,"Doctorates Conferred in the Sciences by American Universities, 1922-1925",1925-12-25,FALSE,2,journal-article,17809019,1,A5003668931,Clarence J. West,,,,1
W2050591991,0,"Doctorates Conferred in the Sciences by American Universities, 1922-1925",1925-12-25,FALSE,2,journal-article,17809019,2,A5088667269,Callie Hull,,,,1
W2056800341,0,"ON THE RELATIONSHIP BETWEEN FREEZING POINT LOWERING, Dgr, AND SPECIFIC ELECTRICAL CONDUCTIVITY, K, OF PLANT TISSUE FLUIDS",1920-11-19,FALSE,2,journal-article,17809025,1,A5009621148,J. Arthur Harris,,,,1
W2056800341,0,"ON THE RELATIONSHIP BETWEEN FREEZING POINT LOWERING, Dgr, AND SPECIFIC ELECTRICAL CONDUCTIVITY, K, OF PLANT TISSUE FLUIDS",1920-11-19,FALSE,2,journal-article,17809025,2,A5015875249,Ross Aiken Gortner,,,,1
W2056800341,0,"ON THE RELATIONSHIP BETWEEN FREEZING POINT LOWERING, Dgr, AND SPECIFIC ELECTRICAL CONDUCTIVITY, K, OF PLANT TISSUE FLUIDS",1920-11-19,FALSE,2,journal-article,17809025,3,A5066704626,John V. Lawrence,,,,1
W2061428507,0,THE LOW TEMPERATURE LABORATORY OF THE BUREAU OF MINES,1920-11-19,FALSE,2,journal-article,17809020,1,A5065077745,Richard B. Moore,,,,1
W2105608382,40,GEOCHRONOLOGY AS BASED ON SOLAR RADIATION,1927-11-11,FALSE,2,journal-article,17809004,1,A5041042163,Gerard De Geer,,,,1
W4235734364,0,CERTAIN ASPECTS OF GEOLOGIC CLASSIFICATION AND CORRELATIONS. II,1935-03-01,FALSE,2,journal-article,17809029,1,A5010747718,R. T. CHAMBERLIN,,,,1
W4255242440,0,"DOCTORATES CONFERRED IN THE SCIENCES BY AMERICAN UNIVERSITIES, 1929-30",1930-10-10,FALSE,2,journal-article,17808979,1,A5003668931,Clarence J. West,,,,1
W4255242440,0,"DOCTORATES CONFERRED IN THE SCIENCES BY AMERICAN UNIVERSITIES, 1929-30",1930-10-10,FALSE,2,journal-article,17808979,2,A5088667269,Callie Hull,,,,1
W1963658810,0,GLUCOSE AS AN ANTAGONIST,1927-11-11,FALSE,1,journal-article,17809003,1,A5039343444,Alex Baker,"Department of Entomology, Macdonald College, Mcgill University",,,1
W1963658810,0,GLUCOSE AS AN ANTAGONIST,1927-11-11,FALSE,1,journal-article,17809003,2,A5029856431,Wolf-Riidiger Delong,"Department of Entomology, Macdonald College, Mcgill University",,,1
W2022513154,0,The Phyllotax—APractical Apparatus for Demonstrating Divergence,1931-05-29,FALSE,1,journal-article,17808972,1,A5061662610,Richard P. Strong,"Université de Montréal, Canada",University of Montreal,I70931966,1
