id,abstract
https://openalex.org/W2023432353,"The coordination of visual attention among social partners is central to many components of human behavior and human development. Previous research has focused on one pathway to the coordination of looking behavior by social partners, gaze following. The extant evidence shows that even very young infants follow the direction of another's gaze but they do so only in highly constrained spatial contexts because gaze direction is not a spatially precise cue as to the visual target and not easily used in spatially complex social interactions. Our findings, derived from the moment-to-moment tracking of eye gaze of one-year-olds and their parents as they actively played with toys, provide evidence for an alternative pathway, through the coordination of hands and eyes in goal-directed action. In goal-directed actions, the hands and eyes of the actor are tightly coordinated both temporally and spatially, and thus, in contexts including manual engagement with objects, hand movements and eye movements provide redundant information about where the eyes are looking. Our findings show that one-year-olds rarely look to the parent's face and eyes in these contexts but rather infants and parents coordinate looking behavior without gaze following by attending to objects held by the self or the social partner. This pathway, through eye-hand coupling, leads to coordinated joint switches in visual attention and to an overall high rate of looking at the same object at the same time, and may be the dominant pathway through which physically active toddlers align their looking behavior with a social partner."
https://openalex.org/W2087795198,"Background Epithelial ovarian cancer is the leading cause of gynecologic cancer deaths. Most patients respond initially to platinum-based chemotherapy after surgical debulking, however relapse is very common and ultimately platinum resistance emerges. Understanding the mechanism of tumor growth, metastasis and drug resistant relapse will profoundly impact the therapeutic management of ovarian cancer. Methods/Principal Findings Using patient tissue microarray (TMA), in vitro and in vivo studies we report a role of of cystathionine-beta-synthase (CBS), a sulfur metabolism enzyme in ovarian carcinoma. We report here that the expression of cystathionine-beta-synthase (CBS), a sulfur metabolism enzyme, is common in primary serous ovarian carcinoma. The in vitro effects of CBS silencing can be reversed by exogenous supplementation with the GSH and H2S producing chemical Na2S. Silencing CBS in a cisplatin resistant orthotopic model in vivo by nanoliposomal delivery of CBS siRNA inhibits tumor growth, reduces nodule formation and sensitizes ovarian cancer cells to cisplatin. The effects were further corroborated by immunohistochemistry that demonstrates a reduction of H&E, Ki-67 and CD31 positive cells in si-RNA treated as compared to scrambled-RNA treated animals. Furthermore, CBS also regulates bioenergetics of ovarian cancer cells by regulating mitochondrial ROS production, oxygen consumption and ATP generation. This study reports an important role of CBS in promoting ovarian tumor growth and maintaining drug resistant phenotype by controlling cellular redox behavior and regulating mitochondrial bioenergetics. Conclusion The present investigation highlights CBS as a potential therapeutic target in relapsed and platinum resistant ovarian cancer."
https://openalex.org/W2045107638,"Parental education and maternal intelligence are well-known predictors of child IQ. However, the literature regarding other factors that may contribute to individual differences in IQ is inconclusive. The aim of this study was to examine the contribution of a number of variables whose predictive status remain unclarified, in a sample of basically healthy children with a low rate of pre- and postnatal complications. 1,782 5-year-old children sampled from the Danish National Birth Cohort (2003–2007) were assessed with a short form of the Wechsler Preschool and Primary Scale of Intelligence – Revised. Information on parental characteristics, pregnancy and birth factors, postnatal influences, and postnatal growth was collected during pregnancy and at follow-up. A model including study design variables and child’s sex explained 7% of the variance in IQ, while parental education and maternal IQ increased the explained variance to 24%. Other predictors were parity, maternal BMI, birth weight, breastfeeding, and the child’s head circumference and height at follow-up. These variables, however, only increased the explained variance to 29%. The results suggest that parental education and maternal IQ are major predictors of IQ and should be included routinely in studies of cognitive development. Obstetrical and postnatal factors also predict IQ, but their contribution may be of comparatively limited magnitude."
https://openalex.org/W1980608200,"In recent years, it has become accepted that α-synuclein (αSyn) has a key role in the microglia-mediated neuroinflammation, which accompanies the development of Parkinson’s disease and other related disorders, such as Dementia with Lewy Bodies and Alzheimer’s disease. Nevertheless, the cellular and molecular mechanisms underlying its pathological actions, especially in the sporadic forms of the diseases, are not completely understood. Intriguingly, several epidemiological and animal model studies have revealed a link between certain microbial infections and the onset or progression of sporadic forms of these neurodegenerative disorders. In this work, we have characterized the effect of toll-like receptor (TLR) stimulation on primary murine microglial cultures and analysed the impact of priming cells with extracellular wild-type (Wt) αSyn on the subsequent TLR stimulation of cells with a set of TLR ligands. By assaying key interleukins and chemokines we report that specific stimuli, in particular Pam3Csk4 (Pam3) and single-stranded RNA40 (ssRNA), can differentially affect the TLR2/1- and TLR7-mediated responses of microglia when pre-conditioned with αSyn by augmenting IL-6, MCP-1/CCL2 or IP-10/CXCL10 secretion levels. Furthermore, we report a skewing of αSyn-primed microglia stimulated with ssRNA (TLR7) or Pam3 (TLR2/1) towards intermediate but at the same time differential, M1/M2 phenotypes. Finally, we show that the levels and intracellular location of activated caspase-3 protein change significantly in αSyn-primed microglia after stimulation with these particular TLR agonists. Overall, we report a remarkable impact of non-aggregated αSyn pre-sensitization of microglia on TLR-mediated immunity, a phenomenon that could contribute to triggering the onset of sporadic α-synuclein-related neuropathologies."
https://openalex.org/W2144699193,"It is often assumed that social models influence people’s eating behavior by providing a norm of appropriate food intake, but this hypothesis has not been directly tested. In three experiments, female participants were exposed to a low-intake model, a high-intake model, or no model (control condition). Experiments 1 and 2 used a remote-confederate manipulation and were conducted in the context of a cookie taste test. Experiment 3 used a live confederate and was conducted in the context of a task during which participants were given incidental access to food. Participants also rated the extent to which their food intake was influenced by a variety of factors (e.g., hunger, taste, how much others ate). In all three experiments, participants in the low-intake conditions ate less than did participants in the high-intake conditions, and also reported a lower perceived norm of appropriate intake. Furthermore, perceived norms of appropriate intake mediated the effects of the social model on participants’ food intake. Despite the observed effects of the social models, participants were much more likely to indicate that their food intake was influenced by taste and hunger than by the behavior of the social models. Thus, social models appear to influence food intake by providing a norm of appropriate eating behavior, but people may be unaware of the influence of a social model on their behavior."
https://openalex.org/W1973441887,"Obesity is a growing epidemic that causes many serious health related complications. While the causes of obesity are complex, there is conclusive evidence that overconsumption coupled with a sedentary lifestyle is the primary cause of this medical condition. Dietary consumption is controlled by appetite which is in turn regulated by multiple neuronal systems, including the taste system. However, the relationship between taste and obesity has not been well defined. Growing evidence suggests that taste perception in the brain is altered in obese animals and humans, however no studies have determined if there are altered taste responses in the peripheral taste receptor cells, which is the initiation site for the detection and perception of taste stimuli.In this study, we used C57Bl/6 mice which readily become obese when placed on a high fat diet. After ten weeks on the high fat diet, we used calcium imaging to measure how taste-evoked calcium signals were affected in the obese mice. We found that significantly fewer taste receptor cells were responsive to some appetitive taste stimuli while the numbers of taste cells that were sensitive to aversive taste stimuli did not change. Properties of the taste-evoked calcium signals were also significantly altered in the obese mice. Behavioral analyses found that mice on the high fat diet had reduced ability to detect some taste stimuli compared to their littermate controls.Our findings demonstrate that diet-induced obesity significantly influences peripheral taste receptor cell signals which likely leads to changes in the central taste system and may cause altered taste perception."
https://openalex.org/W2008390924,"One of the rationales behind using strength training in the treatment of adolescents with Patellofemoral Pain (PFP) is that reduced strength of the lower extremity is a risk factor for PFP and a common deficit. This rationale is based on research conducted on adolescents >15 years of age but has never been investigated among young adolescents with PFP.To compare isometric muscle strength of the lower extremity among adolescents with PFP compared to age- and gender-matched pain-free adolescents.In 2011 a population-based cohort (APA2011-cohort) consisting of 768 adolescents aged 12-15 years from 8 local schools was formed. In September 2012, all adolescents who reported knee pain in September 2011 were offered a clinical examination if they still had knee pain. From these, 20 adolescents (16 females) were diagnosed with PFP. Pain-free adolescents from the APA2011-cohort (n = 20) were recruited on random basis as age- and gender-matched pairs. Primary outcome was isometric knee extension strength normalized to body weight (%BW) and blinded towards subject information. Secondary outcomes included knee flexion, hip abduction/adduction and hip internal/external rotation strength. Demographic data included Knee Injury and Osteoarthritis Outcome Score (KOOS) and symptom duration.Adolescents with PFP reported long symptom duration and significantly worse KOOS scores compared to pain-free adolescents. There were no significant differences in isometric knee extension strength (Δ0.3% BW, p = 0.97), isometric knee flexion strength (Δ0.4% BW, p = 0.84) or different measures of hip strength (Δ0.4 to 1.1% BW, p>0.35).Young symptomatic adolescents with PFP between 12 and 16 years of age did not have decreased isometric muscle strength of the knee and hip. These results question the rationale of targeting strength deficits in the treatment of adolescents with PFP. However, strength training may still be an effective treatment for those individuals with PFP suffering from strength deficits."
https://openalex.org/W2065976189,"Among anthropogenic pressures, light pollution altering light/dark cycles and changing the nocturnal component of the environment constitutes a threat for biodiversity. Light pollution is widely spread across the world and continuously growing. However, despite the efforts realized to describe and understand the effects of artificial lighting on fauna, few studies have documented its consequences on biological rhythms, behavioral and physiological functions in nocturnal mammals. To determine the impacts of light pollution on nocturnal mammals an experimental study was conducted on a nocturnal primate, the grey mouse lemur Microcebus murinus. Male mouse lemurs (N = 8) were exposed 14 nights to moonlight treatment and then exposed 14 nights to light pollution treatment. For both treatments, chronobiological parameters related to locomotor activity and core temperature were recorded using telemetric transmitters. In addition, at the end of each treatment, the 14(th) night, nocturnal and feeding behaviors were explored using an infrared camera. Finally, throughout the study, body mass and daily caloric food intake were recorded. For the first time in a nocturnal primate, light pollution was demonstrated to modify daily rhythms of locomotor activity and core temperature especially through phase delays and increases in core temperature. Moreover, nocturnal activity and feeding behaviors patterns were modified negatively. This study suggests that light pollution induces daily desynchronization of biological rhythms and could lead to seasonal desynchronization with potential deleterious consequences for animals in terms of adaptation and anticipation of environmental changes."
https://openalex.org/W1963604144,"Human amniotic membrane is a standard substratum used to culture limbal epithelial stem cells for transplantation to patients with limbal stem cell deficiency. Various methods were developed to decellularize amniotic membrane, because denuded membrane is poorly immunogenic and better supports repopulation by dissociated limbal epithelial cells. Amniotic membrane denuding usually involves treatment with EDTA and/or proteolytic enzymes; in many cases additional mechanical scraping is required. Although ensuring limbal cell proliferation, these methods are not standardized, require relatively long treatment times and can result in membrane damage. We propose to use 0.5 M NaOH to reliably remove amniotic cells from the membrane. This method was used before to lyse cells for DNA isolation and radioactivity counting. Gently rubbing a cotton swab soaked in NaOH over the epithelial side of amniotic membrane leads to nearly complete and easy removal of adherent cells in less than a minute. The denuded membrane is subsequently washed in a neutral buffer. Cell removal was more thorough and uniform than with EDTA, or EDTA plus mechanical scraping with an electric toothbrush, or n-heptanol plus EDTA treatment. NaOH-denuded amniotic membrane did not show any perforations compared with mechanical or thermolysin denuding, and showed excellent preservation of immunoreactivity for major basement membrane components including laminin α2, γ1-γ3 chains, α1/α2 and α6 type IV collagen chains, fibronectin, nidogen-2, and perlecan. Sodium hydroxide treatment was efficient with fresh or cryopreserved (10% dimethyl sulfoxide or 50% glycerol) amniotic membrane. The latter method is a common way of membrane storage for subsequent grafting in the European Union. NaOH-denuded amniotic membrane supported growth of human limbal epithelial cells, immortalized corneal epithelial cells, and induced pluripotent stem cells. This simple, fast and reliable method can be used to standardize decellularized amniotic membrane preparations for expansion of limbal stem cells in vitro before transplantation to patients."
https://openalex.org/W2124235498,"In contrast to size, the association of morphological characteristics of intracranial aneurysms with rupture has not been established in a systematic manner. We present an analysis of the morphological variables that are associated with rupture in anterior communicating artery aneurysms to determine site-specific risk variables. One hundred and twenty-four anterior communicating artery aneurysms were treated in a single institution from 2005 to 2010, and CT angiograms (CTAs) or rotational angiography from 79 patients (42 ruptured, 37 unruptured) were analyzed. Vascular imaging was evaluated with 3D Slicer© to generate models of the aneurysms and surrounding vasculature. Morphological parameters were examined using univariate and multivariate analysis and included aneurysm volume, aspect ratio, size ratio, distance to bifurcation, aneurysm angle, vessel angle, flow angle, and parent-daughter angle. Multivariate logistic regression revealed that size ratio, flow angle, and parent-daughter angle were associated with aneurysm rupture after adjustment for age, sex, smoking history, and other clinical risk factors. Simple morphological parameters such as size ratio, flow angle, and parent-daughter angle may thus aid in the evaluation of rupture risk of anterior communicating artery aneurysms."
