PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	HOLDEN, C				HOLDEN, C			THIRD-WORLD POLLUTION	SCIENCE			English	Editorial Material																		WORLD RESOURCES 1990	1	1	1	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1308	1308						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	DJ501	17747515				2022-12-28	WOS:A1990DJ50100017
J	HOLDEN, C				HOLDEN, C			VOYAGERS LAST LIGHT	SCIENCE			English	Editorial Material																			0	1	1	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1308	1308						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747515				2022-12-28	WOS:A1990DJ50100015
J	CRAWFORD, MH				CRAWFORD, MH			NEUROSCIENCE CRISIS AT WASHINGTON-UNIVERSITY	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	NOV 10	1989	246	4931					761	761						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AY756	17748697				2022-12-28	WOS:A1989AY75600027
J	HOLDEN, C				HOLDEN, C			RUSSIAN BUGS DRAFTED IN UNITED-STATES WAR	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 20	1989	246	4928					329	329						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	AV670	17747915				2022-12-28	WOS:A1989AV67000028
J	HOLDEN, C				HOLDEN, C			DAMAGE TO ANIMAL RESEARCH MOUNTS	SCIENCE			English	Editorial Material																			0	1	1	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1308	1308						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747515				2022-12-28	WOS:A1990DJ50100016
J	HAMILTON, DP				HAMILTON, DP			CHRONIC LEAKS PLAGUE SHUTTLE SCIENCE	SCIENCE			English	Editorial Material																			0	0	0	0	2	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1498	1498						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	17748718				2022-12-28	WOS:A1990EA46300016
J	CRAWFORD, MH				CRAWFORD, MH			SELLERS MARKET FOR SCARCE CHEMISTS	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	NOV 10	1989	246	4931					761	761						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	AY756	17748697				2022-12-28	WOS:A1989AY75600028
J	HOLDEN, C				HOLDEN, C			SOVIET MISSILE ON DISPLAY	SCIENCE			English	Editorial Material																			0	1	1	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1308	1309						2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747515				2022-12-28	WOS:A1990DJ50100018
J	HAMILTON, DP				HAMILTON, DP			OUT OF CHINA ... AND NOW BACK IN	SCIENCE			English	Editorial Material																			0	0	0	0	2	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1498	1498						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	17748718				2022-12-28	WOS:A1990EA46300014
J	HOLDEN, C				HOLDEN, C			TECH TRANSFER TRIGGERS PROTEST	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 20	1989	246	4928					329	329						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AV670	17747915				2022-12-28	WOS:A1989AV67000026
J	HOLDEN, C				HOLDEN, C			VANALLEN WINS SPACE NOBEL	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 20	1989	246	4928					329	329						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AV670	17747915				2022-12-28	WOS:A1989AV67000025
J	HAMILTON, DP				HAMILTON, DP			FEDS HUSH UP A BUM BOMB DETECTOR	SCIENCE			English	Editorial Material																		1989, SCIENCE, V245, P926	1	0	0	0	2	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1498	1498						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	17748718				2022-12-28	WOS:A1990EA46300015
J	HOLDEN, C				HOLDEN, C			PEACE CORPS TO HELP ENVIRONMENT	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 20	1989	246	4928					329	329						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AV670	17747915				2022-12-28	WOS:A1989AV67000027
J	HAMILTON, DP				HAMILTON, DP			RETRAINING THE CRANES	SCIENCE			English	Editorial Material																			0	0	0	0	2	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	SEP 28	1990	249	4976					1498	1498						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EA463	17748718				2022-12-28	WOS:A1990EA46300017
J	CRAWFORD, MH				CRAWFORD, MH			CANADIAN SCIENCES NET '240 MILLION	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	NOV 10	1989	246	4931					761	761						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AY756	17748697				2022-12-28	WOS:A1989AY75600025
J	HOLDEN, C				HOLDEN, C			WOULD IT BE MARS WITHOUT NASA	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	OCT 20	1989	246	4928					329	329						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AV670	17747915				2022-12-28	WOS:A1989AV67000029
J	CRAWFORD, MH				CRAWFORD, MH			PHYSICS BUDGET SQUEEZE AHEAD AT ENERGY	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	NOV 10	1989	246	4931					761	761						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AY756	17748697				2022-12-28	WOS:A1989AY75600029
J	CRAWFORD, MH				CRAWFORD, MH			HOW COLOR AFFECTS PEOPLE AND WORK	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	NOV 10	1989	246	4931					761	761						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	AY756	17748697				2022-12-28	WOS:A1989AY75600026
J	HOLDEN, C				HOLDEN, C			SHOCKLEY SHOCKER	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					25	25						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749481				2022-12-28	WOS:A1990CG62000020
J	HOLDEN, C				HOLDEN, C			AMERICANS CAPTURE MORE MATH DEGREES	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					25	25						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749481				2022-12-28	WOS:A1990CG62000023
J	HOLDEN, C				HOLDEN, C			WILL DEUTCH,JOHN OR DR-X LEAD MIT	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					25	25						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749481				2022-12-28	WOS:A1990CG62000022
J	HOLDEN, C				HOLDEN, C			THE BIG SLEEP	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					25	25						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749481				2022-12-28	WOS:A1990CG62000021
J	HOLDEN, C				HOLDEN, C			NSF TO SPELL OUT PRIORITIES	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					24	25						2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749479				2022-12-28	WOS:A1990CG62000019
J	HOLDEN, C				HOLDEN, C			NEW SCIENCE-MINDED LEADERSHIP IN ROMANIA	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					24	24						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749479				2022-12-28	WOS:A1990CG62000017
J	HOLDEN, C				HOLDEN, C			LOBBYING FOR AN ENVIRONMENTAL NIH	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					24	24						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749479				2022-12-28	WOS:A1990CG62000016
J	HOLDEN, C				HOLDEN, C			DEFORESTATION - BRAZIL SURPRISE ROLE	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					24	24						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749479				2022-12-28	WOS:A1990CG62000015
J	HOLDEN, C				HOLDEN, C			ROGUE AIDS DISK ALARMS RESEARCHERS	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					24	24						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749479				2022-12-28	WOS:A1990CG62000018
J	KERR, RA				KERR, RA			CORAL PUSHES BACK THE PAST	SCIENCE			English	Editorial Material																		BARD E, 1990, SCIENCE, V248, P31	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1314	1314		10.1126/science.248.4961.1314	http://dx.doi.org/10.1126/science.248.4961.1314			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747522				2022-12-28	WOS:A1990DJ50100025
J	HOLDEN, C				HOLDEN, C			PRE-COLUMBIAN TREES	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 27	1992	255	5052					1639	1639						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	HK812	17749414				2022-12-28	WOS:A1992HK81200019
J	BALIUNAS, S				BALIUNAS, S			GLOBAL WARMING REPORT	SCIENCE			English	Letter											BALIUNAS, S (corresponding author), HARVARD SMITHSONIAN CTR ASTROPHYS, 60 GARDEN ST, CAMBRIDGE, MA 02138 USA.								0	2	2	1	4	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA	0036-8075	1095-9203		SCIENCE	Science	JAN 5	1990	247	4938					15	15		10.1126/science.247.4938.15	http://dx.doi.org/10.1126/science.247.4938.15			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749472				2022-12-28	WOS:A1990CG62000006
J	HOLDEN, C				HOLDEN, C			TOP SCIENCE JOBS LOSE APPEAL	SCIENCE			English	Editorial Material																		SCI TECHNOLOGY LEADE	1	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 27	1992	255	5052					1639	1639						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics	HK812	17749414				2022-12-28	WOS:A1992HK81200018
J	KERR, RA				KERR, RA			FROM ONE CORAL MANY FINDINGS BLOSSOM	SCIENCE			English	Editorial Material																		BARD E, 1990, NATURE, V345, P405, DOI 10.1038/345405a0; FAIRBANKS RG, 1989, NATURE, V342, P637, DOI 10.1038/342637a0	2	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1314	1314		10.1126/science.248.4961.1314	http://dx.doi.org/10.1126/science.248.4961.1314			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747522				2022-12-28	WOS:A1990DJ50100024
J	JASTROW, R				JASTROW, R			GLOBAL WARMING REPORT	SCIENCE			English	Letter											JASTROW, R (corresponding author), DARTMOUTH COLL,DEPT EARTH SCI,HANOVER,NH 03755, USA.							CESS CD, 1989, SCIENCE, V245, P513; Passell Peter, 1989, NEW YORK TIM D  0201, P2	2	4	4	4	19	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					14	15		10.1126/science.247.4938.14-b	http://dx.doi.org/10.1126/science.247.4938.14-b			2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749470				2022-12-28	WOS:A1990CG62000005
J	NIERENBERG, WA				NIERENBERG, WA			GLOBAL WARMING REPORT	SCIENCE			English	Letter											NIERENBERG, WA (corresponding author), UNIV CALIF SAN DIEGO, SCRIPPS INST OCEANOG, LA JOLLA, CA 92093 USA.								0	4	4	4	19	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005 USA	0036-8075	1095-9203		SCIENCE	Science	JAN 5	1990	247	4938					14	14		10.1126/science.247.4938.14-b	http://dx.doi.org/10.1126/science.247.4938.14-b			1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749470				2022-12-28	WOS:A1990CG62000004
J	STUIVER, M				STUIVER, M			GLOBAL WARMING REPORT	SCIENCE			English	Letter									UNIV WASHINGTON,QUARTERNARY RES CTR,SEATTLE,WA 98195	University of Washington; University of Washington Seattle	STUIVER, M (corresponding author), UNIV WASHINGTON,DEPT GEOL SCI,SEATTLE,WA 98195, USA.							STUIVER M, 1980, SCIENCE, V207, P11, DOI 10.1126/science.207.4426.11; STUIVER M, 1989, NATURE, V338, P405, DOI [10.1038/338405a0, 10.1038/286868a0]; STUIVER M, 1980, NATURE, V286, P868, DOI 10.1038/286868a0; STUIVER M, 1988, SECULAR SOLAR GEOMAG, P245	4	2	2	1	4	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JAN 5	1990	247	4938					15	16		10.1126/science.247.4938.15	http://dx.doi.org/10.1126/science.247.4938.15			2	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	CG620	17749472				2022-12-28	WOS:A1990CG62000007
J	HOLDEN, C				HOLDEN, C			TURTLE NAVIGATION	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1309	1309						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747519				2022-12-28	WOS:A1990DJ50100021
J	HOLDEN, C				HOLDEN, C			UNIVERSITY-OF-MARYLAND GAINS FROM GLASNOST	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1309	1309						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747519				2022-12-28	WOS:A1990DJ50100020
J	HOLDEN, C				HOLDEN, C			ASBESTOS REGS TO BE REEXAMINED	SCIENCE			English	Editorial Material																			0	0	0	0	0	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	MAR 27	1992	255	5052					1639	1639						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	HK812	17749414				2022-12-28	WOS:A1992HK81200020
J	HOLDEN, C				HOLDEN, C			INS PUTS LIMITS ON TOGETHERNESS	SCIENCE			English	Editorial Material																			0	0	0	0	1	AMER ASSOC ADVANCEMENT SCIENCE	WASHINGTON	1200 NEW YORK AVE, NW, WASHINGTON, DC 20005	0036-8075			SCIENCE	Science	JUN 15	1990	248	4961					1309	1309						1	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	DJ501	17747519				2022-12-28	WOS:A1990DJ50100019
